"CHEM_ID","SUPER_PATHWAY","SUB_PATHWAY","CHEMICAL_NAME","SHORT_NAME","CHEMSPIDER","HMDB","PUBCHEM","KEGG","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"100000846","Xenobiotics","Food Component/Plant","erythritol","erythritol",13835932,"HMDB0002994",222285,"C00503","5.18907150257444","0.0937116561404608","0.0081821273307792","0.095844377912684","-0.0832648663717082","0.0429980990822797",0.0626494259346917,1
"100000924","Lipid","Monoacylglycerol","1-oleoylglycerol (18:1)","1-oleoylglycerol (18:1)",4446588,"HMDB0011567",5283468,NA,"2.97776469026826","0.146336897539681","0.235476733454061","0.14907402940969","0.023866977267235","-0.144377473927425",0.434769098883266,1
"100000943","Lipid","Monoacylglycerol","2-oleoylglycerol (18:1)","2-oleoylglycerol (18:1)",4478086,"HMDB0011537",5319879,NA,"3.26525703250347","0.100597848160816","0.629625505715752","0.0968192081021775","-0.0124086864703979","-0.0998296126140228",0.755369595507128,1
"100000961","Amino Acid","Urea cycle; Arginine and Proline Metabolism","homoarginine","homoarginine",8732,"HMDB0000670",9085,"C01924","1.02177404009705","0.237222279052664","0.13009742017089","0.186079855405797","0.202358943049926","0.12379526584913",0.308833085572842,1
"100000963","Amino Acid","Urea cycle; Arginine and Proline Metabolism","homocitrulline","homocitrulline",58582,"HMDB0000679",65072,"C02427","4.95627234508935","0.224671500449601","0.0762956486988021","0.205939620566604","-0.21802292413679","0.0542520752148557",0.237652240342904,1
"100000983","Lipid","Fatty Acid, Monohydroxy","3-hydroxypalmitate","3-hydroxypalmitate",266538,"HMDB0010734",15569776,NA,"1.36406022718635","0.0916194454678989","0.466148419574362","0.0809888529645949","0.0896685098250494","0.0188064120342057",0.641095811315476,1
"100000997","Lipid","Fatty Acid, Monohydroxy","3-hydroxydecanoate","3-hydroxydecanoate",24790,"HMDB0002203",26612,NA,"5.84656858068289","0.102441585817475","0.0327476821666805","0.100750127308836","-0.0433200891517783","0.0928312898794423",0.146162342178805,1
"100001006","Amino Acid","Glycine, Serine and Threonine Metabolism","N-acetylglycine","N-acetylglycine",10507,"HMDB0000532",10972,NA,"5.52416748620049","0.128180156779085","0.263971470340997","0.111242959077948","-0.0882147624104953","0.092996281026558",0.465376339359636,1
"100001007","Carbohydrate","Pentose Metabolism","ribonate","ribonate",4574162,"HMDB0000867",5460677,"C01685","4.94172615798113","0.0556722626209554","0.0804102242996829","0.0554838304056628","-0.0542146118982455","0.0126560926853136",0.239066802827075,1
"100001022","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","threonate","threonate",133224,"HMDB0062620,HMDB0000943",1511525460407,"C01620","5.45290152248014","0.0534893507836099","0.358934235013259","0.0516247995296636","-0.0394817126231574","0.0360874634131368",0.561778832756223,1
"100001034","Amino Acid","Tryptophan Metabolism","indoleacetate","indoleacetate",780,"HMDB0000197",802,"C00954","4.84953376160741","0.245750421520974","0.362328848007923","0.244430205963249","-0.243442919809267","0.0335978343420394",0.564828004579217,1
"100001040","Lipid","Monoacylglycerol","1-linoleoylglycerol (18:2)","1-linoleoylglycerol (18:2)",4446589,"HMDB0011568",5283469,NA,"3.74128695410438","0.0179208846541519","0.972304020105131","0.0197646485439186","-0.0101143706408632","-0.0147938370048701",0.982366674905701,1
"100001048","Lipid","Monoacylglycerol","2-palmitoylglycerol (16:0)","2-palmitoylglycerol (16:0)",110006,"HMDB0011533",123409,NA,"3.53272202504186","0.0328114362083914","0.946190175369728","0.0326549348744749","-0.0125087936741915","-0.0303334868894732",0.962206415317393,1
"100001051","Amino Acid","Histidine Metabolism","1-methylhistidine","1-methylhistidine",83153,"HMDB0000001",92105,"C01152","5.19357969072731","0.245067707099385","0.112893864733735","0.232440468536289","-0.217238908558539","0.113425912697429",0.287405707265533,1
"100001054","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)","butyrylcarnitine (C4)","butyrylcarnitine (C4)",184820,"HMDB0002013",439829,"C02862","5.06600983592144","0.185051946065323","0.0222487117134904","0.194791925681312","-0.173601852142053","0.0640829125072497",0.118032499342097,1
"100001055","Amino Acid","Leucine, Isoleucine and Valine Metabolism","isobutyrylcarnitine (C4)","isobutyrylcarnitine (C4)",NA,"HMDB0000736",168379,NA,"5.13971002225046","0.302831069742752","0.00139621577498793","0.331310794935052","-0.275600277681906","0.125503560679353",0.0198262640048286,1
"100001092","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","trigonelline (N'-methylnicotinate)","trigonelline (N'-methylnicotinate)",5369,"HMDB0000875",5570,"C01004","1.72303601059242","0.567391904221188","0.00272024256117121","0.368106778920612","0.560829395057853","-0.0860462818184983",0.0307899918880393,1
"100001103","Amino Acid","Glutamate Metabolism","glutamate, gamma-methyl ester","glutamate, gamma-methyl ester",66546,"HMDB0061715",68662,NA,"5.09956133225499","0.0737257563290423","0.127401453903258","0.0753783816547682","-0.0682686053277223","0.0278367504011694",0.306834088750436,1
"100001104","Amino Acid","Tyrosine Metabolism","N-acetyltyrosine","N-acetyltyrosine",61606,"HMDB0000866",68310,NA,"5.17668163417853","0.152152794328641","0.107231907778249","0.162174853976516","-0.136045676182147","0.0681325679404213",0.281980201935396,1
"100001112","Lipid","Fatty Acid, Monohydroxy","3-hydroxylaurate","3-hydroxylaurate",85026,"HMDB0000387",94216,NA,"5.29830200678306","0.0751106543251939","0.172803525898865","0.0737532520343607","-0.0625827654593584","0.0415332139451994",0.365744048040687,1
"100001121","Cofactors and Vitamins","Vitamin B6 Metabolism","pyridoxate","pyridoxate",6467,"HMDB0000017",6723,"C00847","0.398222603448449","0.0118977927122318","0.986975744936825","0.0114735099533994","0.00461373364187635","0.0109668105347478",0.992151017673917,1
"100001126","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamylvaline","gamma-glutamylvaline",NA,"HMDB0011172",7015683,NA,"5.09040861887704","0.0405569986510915","0.618777402111213","0.0392045870594604","-0.0376935679091505","0.0149688034880179",0.749265887056343,1
