"CHEM_ID","SUPER_PATHWAY","SUB_PATHWAY","CHEMICAL_NAME","SHORT_NAME","CHEMSPIDER","HMDB","PUBCHEM","KEGG","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"100001417","Peptide","Acetylated Peptides","phenylacetylglutamine","phenylacetylglutamine",270643,"HMDB0006344",92258,"C04148",0.767665318262997,"5.04756775127031","4.70875335404036","0.471284508784707","0.444016150769112",0.996057507306226,1,0.0596010268947706
"100001425","Nucleotide","Pyrimidine Metabolism, Uracil containing","5,6-dihydrouridine","5,6-dihydrouridine",85115,"HMDB0000497",94312,NA,0.920538065713853,"5.15718300054319","4.96274642583931","0.206158816570692","0.210672518755077",0.996057507306226,1,-0.0216580580099159
"100001437","Amino Acid","Glutathione Metabolism","cysteine-glutathione disulfide","cysteine-glutathione disulfide",3455404,"HMDB0000656",3080690,"R00900",0.198392895800177,"6.1925562563683","5.19947277356057","0.125055412235052","0.161218759221264",0.865134457187469,1,-0.2540052586869
"100001456","Nucleotide","Purine Metabolism, Guanine containing","7-methylguanine","7-methylguanine",10883,"HMDB0000897",135398679,"C02242",0.700605074406961,"5.98587583921316","5.6435740733787","0.0606158906284205","0.0904571124073996",0.996057507306226,1,-0.400318762038532
"100001462","Lipid","Lysophospholipid","1-stearoyl-GPG (18:0)","1-stearoyl-GPG (18:0)",21403138,NA,NA,NA,0.00395799526842962,"2.18766488526891","0.348866960939123","0.296927776629392","0.164199235042703",0.341611117024688,1,0.592408394583482
"100001467","Nucleotide","Purine Metabolism, Guanine containing","N2-methylguanosine","N2-methylguanosine",2299669,"HMDB0005862",135501934,NA,0.772945997328544,"5.9455882082024","6.20302984112247","0.10151965357339","0.127075317620342",0.996057507306226,1,-0.224527551798697
"100001468","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","N1-Methyl-2-pyridone-5-carboxamide","N1-Methyl-2-pyridone-5-carboxamide",62899,"HMDB0004193",69698,"C05842",0.884125802748077,"4.91133827198227","4.64195092978812","0.317670586992919","0.347409200534093",0.996057507306226,1,-0.0894883815187174
"100001485","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamylisoleucine*","gamma-glutamylisoleucine*",21403145,"HMDB0011170",22885096,NA,0.2580397450487,"0.309165253618449","1.25606996125769","0.173034282166699","0.187902137184059",0.893713771851669,1,-0.082431542725665
"100001501","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)","oleoylcarnitine (C18:1)","oleoylcarnitine (C18:1)",21403150,"HMDB0005065",6441392,NA,0.907667459673009,"4.78918449896715","4.76820756715913","0.194612324581824","0.232598574282431",0.996057507306226,1,-0.178304609939729
"100001509","Amino Acid","Leucine, Isoleucine and Valine Metabolism","2-methylbutyrylcarnitine (C5)","2-methylbutyrylcarnitine (C5)",4932320,"HMDB0000378",6426901,NA,0.575952739345904,"4.68451322890962","5.14510857472498","0.236722149078744","0.264164212728504",0.996057507306226,1,-0.109683841065078
"100001540","Partially Characterized Molecules","Partially Characterized Molecules","glutamine_degradant*","glutamine_degradant*",NA,NA,NA,NA,0.0653213127766107,"5.06463727584995","5.70571105828334","0.179758246125829","0.0866493088960449",0.524692017077007,1,0.729743830755482
"100001571","Lipid","Lysophospholipid","1-arachidonoyl-GPE (20:4n6)*","1-arachidonoyl-GPE (20:4n6)*",21403171,"HMDB0011517",42607465,NA,0.0275929078737064,"2.45280381823217","0.833832069010176","0.233576761472834","0.110035747894307",0.444298373025921,1,0.752705472154267
"100001580","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","docosapentaenoate (n6 DPA; 22:5n6)","docosapentaenoate (n6 DPA; 22:5n6)",4945614,"HMDB0001976",6441454,"C16513",0.0880556456426856,"2.42969238345737","0.967135678570699","0.330755279546621","0.187184477283654",0.580747948643426,1,0.569284125103632
"100001586","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","gulonate*","gulonate*",7969943,"HMDB0003290",152304,"C00800",0.427291334345982,"5.56251719756929","4.89152362698293","0.093009172165723","0.156354693334051",0.991509055927824,1,-0.519428987851672
"100001593","Amino Acid","Lysine Metabolism","glutarylcarnitine (C5-DC)","glutarylcarnitine (C5-DC)",21403175,"HMDB0013130",71317118,NA,0.418256924743926,"5.65837190663011","4.8373875156508","0.139299033723785","0.1443441412815",0.986793555096671,1,-0.0355773742833857
"100001594","Amino Acid","Leucine, Isoleucine and Valine Metabolism","beta-hydroxyisovaleroylcarnitine","beta-hydroxyisovaleroylcarnitine",21403176,NA,NA,NA,0.43199928879413,"5.26146943471825","5.17904826799718","0.190185028689616","0.12187271614504",0.991509055927824,1,0.445020243679428
"100001597","Amino Acid","Leucine, Isoleucine and Valine Metabolism","tiglylcarnitine (C5:1-DC)","tiglyl carnitine (C5)",17216200,"HMDB0002366",22833596,NA,0.509741895213727,"5.28116379309132","5.62921793983501","0.167278408577915","0.259562665633372",0.996057507306226,1,-0.43933861796359
"100001609","Lipid","Sterol","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","7-HOCA",2338765,"HMDB0012458",3081085,"C17337",0.928537325896575,"5.06438373458863","5.17001318317738","0.166981380496707","0.13549324152423",0.996057507306226,1,0.208960551143298
"100001620","Lipid","Phospholipid Metabolism","glycerophosphoethanolamine","glycerophosphoethanolamine",110410,"HMDB0000114",123874,"C01233",0.467814993693181,"4.98177115910858","5.40993626432628","0.122644769072051","0.092776019292334",0.996057507306226,1,0.279103926966205
"100001628","Carbohydrate","Pentose Phosphate Pathway","sedoheptulose-7-phosphate","sedoheptulose-7-phosphate",596,"HMDB0001068",616,"C05382",0.0804598580144847,"5.48180114580161","3.75972398274512","0.0646758916178685","0.153709588418001",0.543594650488104,1,-0.865676518474855
"100001644","Carbohydrate","Nucleotide Sugar","adenosine-5'-diphosphoglucose","adenosine-5'-diphosphoglucose",193,"HMDB0006557",16500,"C00498",0.535226552312899,"5.66753392877501","5.56000146803682","0.0842233451143149","0.194169932883765",0.996057507306226,1,-0.835261577640083
