"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"SREBF1 (mouse)",0.736633897499796,0.819900497512438,0.250614276517088,"['CYLD', 'ANKRD16', 'SCFD2', 'OPA3', 'RBMS2', 'LHPP']",0.992632504434467,0,0,6,"SREBF1",0.992632504434467,0.000851165208160392,0.0610422429759088,0.970502389423044,0.969564483519823,0.135667752983109,0.677073128593759,0.772025355353577
"RORB (human)",0.736950759074698,0.80972629813739,0.247156160189584,"['SH3BGRL', 'CYP4X1', 'ETNK1', 'S100B', 'CPT1B']",0.992632504434467,0,0,5,"RORB",0.992632504434467,0.00882432907521044,0.000791895482533229,0.609310045648084,0.610702437702275,0.514731314915782,0.021755874438585,0.504075480329256
"RUNX2 (human)",0.740198963619128,0.824764486313544,0.248119062756638,"['IFITM3', 'RAB40A', 'POLR1B', 'DAB2IP', 'PDS5B', 'S100B', 'TMEM19']",0.992632504434467,0,0,7,"RUNX2",0.992632504434467,9.54297638613825e-10,8.33321721689621e-07,0.583253278634686,0.584659931809367,0.291099677387324,4.68480268446333e-06,0.00213346696213659
"FOXL1 (human)",0.740628515642731,0.884961544755359,0.265715108990233,"['PCDH10', 'KLHL15', 'SLC7A14', 'PDS5B', 'ACVR1B', 'FRY', 'SPATA7', 'ABHD10', 'RAB11FIP1', 'UBASH3B', 'SCFD2', 'NAMPT', 'ZNF564', 'NTNG1', 'ZNF562', 'ST8SIA2', 'DAB2IP', 'PEX7', 'TMEM115', 'POLR1B', 'FAM185A', 'ETNK1', 'ASXL3', 'MKX', 'TMEM19', 'RBMS2']",0.992632504434467,0,0,26,"FOXL1",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"THRA (human)",0.741904894017106,0.744182971972501,0.222164082486443,"['ETNK1']",0.992632504434467,0,0,1,"THRA",0.992632504434467,6.96804545303265e-10,0.000755066582574572,0.587630090378858,0.588958741894793,-0.104864034542485,0.0404674010620617,0.148542090758014
"GATA2 (human)",0.743790498907724,0.898996250228645,0.266099178374547,"['B4GALT2', 'IFITM3', 'SLC24A4', 'PCDH10', 'KLHL15', 'DCUN1D3', 'CISD2', 'PDS5B', 'MEA1', 'ACVR1B', 'FRY', 'BACH2', 'CYP4Z1', 'KRTCAP2', 'ABHD10', 'UBASH3B', 'CASP6', 'MBP', 'RALGPS1', 'LHPP', 'RBM11', 'NTNG1', 'ZNF562', 'LEFTY1', 'RAB4A', 'GSDMB', 'GCH1', 'BAD', 'EPHX2', 'LIX1L', 'DAB2IP', 'WDR34', 'CORO2B', 'ANO1', 'CYLD', 'MRPL50', 'IQCK', 'ZNF91', 'TMEM115', 'IGDCC4', 'FAM185A', 'ASXL3', 'NF2', 'MDGA1', 'FKBP3', 'ZNF134']",0.992632504434467,0,0,46,"GATA2",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"BCL6 (human)",0.744985431199317,0.820225464190981,0.241466679851497,"['CYLD', 'SYT4', 'ABHD10', 'CHKA', 'PCDH10', 'FAM185A', 'ETNK1']",0.992632504434467,0,0,7,"BCL6",0.992632504434467,0.000159376049082881,0.147928095142832,0.252329545320972,0.252609888004045,-0.72223602850482,0.302899985763813,0.100793973842025
"YY1 (mouse)",0.746880851573056,0.83239030639479,0.242932785582223,"['BAD', 'FBXO2', 'ST8SIA2', 'DAB2IP', 'MBP', 'NF2', 'FKBP3', 'CORO2B', 'LHPP']",0.992632504434467,0,0,9,"YY1",0.992632504434467,0.0472173512656153,0.109903419665039,NA,NA,NA,0.927367548052344,0.443098219003713
"NR2F1 (human)",0.750661920589893,0.79493290960452,0.227986679691187,"['SH3BGRL', 'CYP4X1', 'ETNK1', 'S100B', 'CPT1B']",0.992632504434467,0,0,5,"NR2F1",0.992632504434467,5.0177386185504e-05,6.18123333230923e-05,0.479015588816396,0.481125180661059,0.315331805315562,0.806733688274543,0.883657240569642
"NRF1 (human)",0.753320040251599,0.820087933561309,0.232302307914027,"['ARHGAP42', 'TMEM115', 'TRIM28', 'BAD', 'TRAF3', 'HNRNPA2B1', 'NOL7', 'LRRC42']",0.992632504434467,0,0,8,"NRF1",0.992632504434467,3.27021819603819e-06,0.151681117684159,NA,NA,NA,0.291124951068865,0.910530018183984
"REL (mouse)",0.754375216664026,0.811285664274462,0.228673358210414,"['RCN1', 'UBASH3B', 'COL4A4', 'MAMDC2', 'FAT4', 'MDGA1', 'BACH2']",0.992632504434467,0,0,7,"REL",0.992632504434467,0.896972540245189,0.505396308115061,NA,NA,NA,0.973806278358158,0.842363278575441
"HOXD9 (human)",0.755514603065413,0.818093195554689,0.229357473739354,"['ANO1', 'LEFTY1', 'DBR1', 'KLHL15', 'ETNK1', 'CDK5RAP1', 'FRY', 'SPATA7']",0.992632504434467,0,0,8,"HOXD9",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"RUNX1 (human)",0.761530589050971,0.859093186372745,0.234038408020297,"['ZNF562', 'SYT4', 'ANKRD16', 'S100A1', 'PCDH10', 'ST8SIA2', 'DCUN1D3', 'S100B', 'CPT1B', 'LRRC42', 'WDR77', 'CYLD', 'TRIM28', 'SCFD2', 'TRAF3', 'FAM185A', 'HNRNPA2B1', 'MDGA1', 'LHPP']",0.992632504434467,0,0,19,"RUNX1",0.992632504434467,0.000231211794443627,0.00266844905234418,0.407835390416994,0.409193582499894,0.311454994991717,0.968727668091942,0.694600735560215
"MZF1 (human)",0.770220079848816,0.796070169404076,0.207837193398674,"['BTC', 'KRTCAP2', 'SLC24A4', 'ST8SIA2', 'TCEA3', 'CPT1B', 'PRR14']",0.992632504434467,0,0,7,"MZF1",0.992632504434467,3.19730234362617e-07,0.309330485981304,0.233837622423147,0.235339862494739,-0.844672610786633,0.254434911662061,0.224199455645028
"XBP1 (human)",0.77270895114865,0.735828877005348,0.189735550871284,"['BAD', 'OPA3', 'PRR14']",0.992632504434467,0,0,3,"XBP1",0.992632504434467,1.33486826411049e-12,1.21843141259669e-10,0.81913064341924,0.819017255921375,0.0527234351059098,2.53995180385837e-05,0.00252645425989178
"E2F4 (human)",0.773316625195636,0.677796528447445,0.174238922650706,"['LRRC42']",0.992632504434467,0,0,1,"E2F4",0.992632504434467,0.0117361814400315,0.0144022076630948,0.421846293035785,0.423099506217322,0.313543270381471,0.362763337930231,0.474596970455689
"PPARG (human)",0.773695691966228,0.850808609879186,0.218297619115534,"['GSDMB', 'MEA1', 'S100B', 'CORO2B', 'MYO19', 'STK3', 'RCN1', 'ZNF91', 'MC1R', 'IGDCC4', 'POLR1B', 'ETNK1', 'NAMPT', 'RALGPS1', 'PRR14', 'ZNF564', 'LHPP', 'ZNF134', 'RBM11']",0.992632504434467,0,0,19,"PPARG",0.992632504434467,1.62112938045234e-05,0.0949383941699264,0.782312287524077,0.78284877905673,-0.366402862715901,0.00614568995147202,0.102248737488678
"HIVEP1 (human)",0.778169866022892,0.667854597291518,0.16750490663517,"['FRY']",0.992632504434467,0,0,1,"HIVEP1",0.992632504434467,0.000236317664614441,0.376828005227385,NA,NA,NA,0.0588948750141347,0.397801202303981
"NRF1 (mouse)",0.779514373570707,0.803743149622583,0.200199680189984,"['IFITM3', 'DBR1', 'DDX19B', 'PTPRN2', 'NAMPT', 'ATXN7L3B', 'PDS5B', 'NF2', 'MEA1']",0.992632504434467,0,0,9,"NRF1",0.992632504434467,3.27021819603819e-06,0.151681117684159,NA,NA,NA,0.291124951068865,0.910530018183984
"SP3 (mouse)",0.783850422102528,0.758770201024833,0.184788667743246,"['DEPTOR', 'PCDH10', 'EYA4', 'FKBP3', 'PRR14']",0.992632504434467,0,0,5,"SP3",0.992632504434467,0.0670760985687042,0.00945206584004817,NA,NA,NA,0.0785093885259795,0.190497264315216
"HNF1A (human)",0.787190644878923,0.796860572483841,0.190676636548813,"['SYT4', 'DBR1', 'SLC24A4', 'ZNF91', 'UBASH3B', 'ETNK1', 'ASXL3', 'CORO2B', 'LHPP']",0.992632504434467,0,0,9,"HNF1A",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"TBP (mouse)",0.790956731257366,0.793459376596832,0.186075756455741,"['PEX7', 'SYT4', 'SH3BGRL', 'KLHL15', 'FAM185A', 'ATXN7L3B', 'NF2', 'RBMS2', 'SPATA7']",0.992632504434467,0,0,9,"TBP",0.992632504434467,3.44112368404817e-07,0.0103552053183747,0.480184673888866,0.482363053115068,-0.29364536463827,0.280167213983447,0.361734749306196
"FOS (human)",0.791578606048209,0.763930668958602,0.178550529687779,"['NTNG1', 'RAB4A', 'SLC24A4', 'DHPS', 'ZNF564', 'ZNF134']",0.992632504434467,0,0,6,"FOS",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"E2F1 (human)",0.793350732542062,0.850599188647279,0.196905095133823,"['SLC24A4', 'ANKRD16', 'PCDH10', 'NOL7', 'ACVR1B', 'BACH2', 'ZNF564', 'NTNG1', 'GSDMB', 'PTPRN2', 'BAD', 'ST8SIA2', 'ENTPD7', 'KSR2', 'CORO2B', 'LRRC42', 'CYLD', 'IGDCC4', 'TRAF3', 'HNRNPA2B1', 'MKX', 'NF2', 'XKR4', 'TMEM19', 'ZNF134']",0.992632504434467,0,0,25,"E2F1",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"MEF2A (human)",0.793432932355734,0.823859791582081,0.190629839133996,"['ZNF562', 'GCH1', 'DHPS', 'CISD2', 'ATXN7L3B', 'WDR34', 'ACVR1B', 'CORO2B', 'CPT1B', 'STK3', 'DDX19B', 'ZNF91', 'DEPTOR', 'FAM185A', 'NF2']",0.992632504434467,0,0,15,"MEF2A",0.992632504434467,0.000358361179017049,0.0521875265445215,NA,NA,NA,0.0349301484581637,0.410865004334382
"PURA (human)",0.795317001192022,0.675133689839572,0.15461540452462,"['MEA1', 'SHISA9']",0.992632504434467,0,0,2,"PURA",0.992632504434467,0.000154688480466184,0.000324411945383727,0.365714415040396,0.367233812068011,0.404141502716733,0.0597133899988757,0.105395406945412
"PRDM1 (human)",0.803652890913174,0.763210121557926,0.166828444873476,"['HEPN1', 'SYT4', 'RAB40A', 'LIX1L', 'EYA4', 'MKX', 'ZNF564']",0.992632504434467,0,0,7,"PRDM1",0.992632504434467,0.883115291131941,0.553821203170038,NA,NA,NA,0.427731048333481,0.690174797101874
"ETS2 (human)",0.806475044381502,0.748296452406041,0.160945340777212,"['MRPL50', 'SLC24A4', 'CASP6', 'CISD2', 'RALGPS1', 'SPATA7']",0.992632504434467,0,0,6,"ETS2",0.992632504434467,0.44585198642316,0.383108184826108,NA,NA,NA,0.338498973129538,0.576760118198673
"SAMD9L (human)",0.810578473601046,0.743939076364144,0.156232503827883,"['SEC14L2', 'FBXO2', 'XKR4', 'S100B', 'CORO2B', 'SPATA7']",0.992632504434467,0,0,6,"SAMD9L",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"PGR (human)",0.814614813279742,0.739628934750886,0.151653442230261,"['GSDMB', 'SH3BGRL', 'ETNK1', 'COL21A1', 'S100B', 'RALGPS1']",0.992632504434467,0,0,6,"PGR",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"UBTF (human)",0.81708254563837,0.749613695510735,0.151433326268604,"['RCN1', 'SLC24A4', 'ANKRD16', 'IGDCC4', 'COL4A4', 'HTR5A', 'PRR14']",0.992632504434467,0,0,7,"UBTF",0.992632504434467,0.0724738210447933,0.7188021801499,NA,NA,NA,0.0758156155340282,0.0767511797960229
"ELK1 (mouse)",0.818682627967,0.758668364562489,0.151778268858367,"['RAB11FIP1', 'CHKA', 'PCDH10', 'FBXO2', 'OPA3', 'RAB24', 'DHPS', 'MDGA1']",0.992632504434467,0,0,8,"ELK1",0.992632504434467,0.00158906358864242,0.00303798375119974,0.574064472595197,0.575660380656649,0.486387404755736,0.879801610123535,0.852046911199861
"FOXA2 (mouse)",0.819953347107604,0.718333957119179,0.142594917997954,"['CASP6', 'KLHL15', 'HNRNPA2B1', 'KSR2', 'CPT1B']",0.992632504434467,0,0,5,"FOXA2",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"MIB2 (human)",0.820788440897716,0.745811073336571,0.147290144888759,"['IQCK', 'S100A1', 'PCDH10', 'TRAF3', 'ERI2', 'PRR14', 'ZNF134']",0.992632504434467,0,0,7,"MIB2",0.992632504434467,0.00329878253208905,0.117701404402005,0.854719423344633,0.855329011820536,0.0527851396661172,0.743667700261498,0.815984495901729
"FOXF2 (human)",0.820788440897716,0.745811073336571,0.147290144888759,"['ZNF562', 'DDX19B', 'MC1R', 'TMEM115', 'KLHL15', 'DHPS', 'CDK5RAP1']",0.992632504434467,0,0,7,"FOXF2",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"ZBTB16 (human)",0.820788440897716,0.745811073336571,0.147290144888759,"['PEX7', 'ETNK1', 'SLC7A14', 'ACVR1B', 'PDIA6', 'TMEM19', 'RALGPS1']",0.992632504434467,0,0,7,"ZBTB16",0.992632504434467,0.00506572831134745,0.311286068122948,NA,NA,NA,0.716457628784199,0.742645937747366
"KLF4 (human)",0.83745091259511,0.714718352513628,0.126785767423574,"['B4GALT2', 'DAB2IP', 'MBP', 'S100B', 'CORO2B', 'LRRC42']",0.992632504434467,0,0,6,"KLF4",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
"CREB1 (human)",0.842614616060319,0.773824451410658,0.132514019481684,"['NTNG1', 'GSDMB', 'ST8SIA2', 'SLC7A14', 'HTR5A', 'SPATA7', 'SH3BGRL', 'MC1R', 'TRIM28', 'ASXL3', 'OPA3', 'NF2', 'FKBP3']",0.992632504434467,0,0,13,"CREB1",0.992632504434467,0.176459503872099,0.00182583329249674,NA,NA,NA,0.222946314484912,0.739674091175694
"HOXA5 (human)",0.842614616060319,0.773824451410658,0.132514019481684,"['SLC24A4', 'ANKRD16', 'GCH1', 'CLEC2L', 'MAMDC2', 'ENTPD7', 'SHISA9', 'BTC', 'UBASH3B', 'SCFD2', 'NAMPT', 'MKX', 'RBM11']",0.992632504434467,0,0,13,"HOXA5",0.992632504434467,NA,NA,NA,NA,NA,NA,NA
