GENE_SYMBOLS,refseq_ids
EVC2,NM_001166136
BCL2L14,NM_001370268
RANBP3L,NM_001161429
GABARAP,NM_007278
GLS2,NM_001280796
MRPS6,NM_032476
SYCP3,NM_001177948
LCNL1,NM_207510
EIF4B,NM_001300821
EDF1,NM_001281297
BTBD11,NA
DCTN3,NM_001281425
GCLM,NM_001308253
TOLLIP,NM_001318512
ANTKMT,NM_001271285
PNRC1,NM_006813
FUT2,NM_000511
SRGAP2,NM_001042758
EEF1B2,NM_001037663
HMGCR,NM_000859
ZNF98,NM_001098626
BEX2,NM_001168399
TMPRSS3,NM_001256317
ACTB,NM_001101
C1QTNF7,NM_001135170
ISCU,NM_001301140
ARHGEF10,NM_001308152
NDUFA7,NM_005001
UQCRH,NM_001297565
CD9,NM_001330312
CNTNAP3,NM_001393379
PPM1E,NM_014906
TMBIM1,NM_001321427
SPAG1,NM_001374321
TRNAU1AP,NM_017846
VCL,NM_003373
CSPG5,NM_001206942
TMEM160,NM_017854
GUK1,NM_000858
TMTC1,NM_001193451
PLN,NM_002667
RPS29,NM_001030001
HPCAL4,NM_001282396
STUB1,NM_001293197
CBR3,NM_001236
SNHG15,NR_003697
FILIP1L,NM_001042459
EID1,NM_014335
TMEM14A,NM_014051
PRKAR1A,NM_001276289
HAAO,NM_012205
S100A6,NM_014624
ST6GAL1,NM_001353916
LGALS3,NM_001177388
DLGAP1,NM_001003809
TMX4,NM_021156
RAB11A,NM_001206836
PNKD,NM_001077399
ERI2,NM_001142725
ZNF596,NM_001042415
MEI4,NM_001282136
GFAP,NM_001131019
DUSP18,NM_001304794
UGCG,NM_003358
BCAN,NM_021948
C1RL,NM_001297640
RPL35A,NM_000996
HINT1,NM_005340
VWA3A,NM_173615
ENOSF1,NM_001126123
HNRNPA1,NM_002136
RNF43,NM_001305544
RPL27,NM_000988
ZNHIT3,NM_001033577
ZNF69,NM_001321163
B4GALT6,NM_001330570
EPHX1,NM_000120
RBPMS,NM_001008710
STMN1,NM_001145454
CD81,NM_001297649
DSTN,NM_001011546
COLEC12,NM_030781
COA3,NM_001040431
TANC1,NM_001145909
EFNA1,NM_004428
LNX2,NM_153371
PEX11B,NM_001184795
THSD1,NM_018676
STMN2,NM_001199214
LXN,NM_020169
PDZK1,NM_001201325
GRK5,NM_005308
RANBP1,NM_001278639
DPH6-DT,NR_038251
SULT4A1,NM_014351
BTF3,NM_001037637
WHRN,NM_001083885
PLP1,NM_000533
RAB34,NM_001142624
CC2D2B,NM_001001732
PRKCQ,NM_001242413
SYTL4,NM_001129896
PSMG4,NM_001128591
CPLX1,NM_006651
PPIA,NM_001300981
FER1L5,NM_001077400
ERC2,NM_015576
TAGLN3,NM_001008272
RBIS,NM_001099670
CDK5R1,NM_003885
GNAI1,NM_001256414
STMN3,NM_001276310
SBDS,NM_016038
TSTA3,NA
EAF1,NM_033083
RPL37,NM_000997
NEDD8,NM_006156
NRN1,NM_001278710
PHPT1,NM_001135860
ARPC5L,NM_030978
BEX5,NM_001012978
RPLP2,NM_001004
FADS3,NM_021727
PRSS35,NM_001170423
SLC25A35,NM_001320870
CIAO2B,NM_016062
STK16,NM_001008910
NDUFAF8,NM_001086521
MLLT11,NM_006818
SMIM29,NM_001008703
PXDC1,NM_183373
HEG1,NM_020733
HELB,NM_001370285
GGCX,NM_000821
HPN,NM_001375441
CCNG1,NM_001364015
NNAT,NM_001322802
MDH2,NM_001282403
MICOS13,NM_001308240
GAD1,NM_000817
ARMCX3,NM_016607
MRPS12,NM_021107
CYP39A1,NM_001278738
RAB5IF,NM_001199534
LIMK2,NM_001031801
IZUMO4,NM_001031735
VDAC1,NM_001401008
C14orf132,NM_001252507
CLEC11A,NM_002975
RASD1,NM_001199989
SIVA1,NM_006427
EGLN3,NM_001308103
SEZ6,NM_001098635
NBPF10,NM_001039703
CCND3,NM_001136017
POLR2I,NM_006233
PCP4,NM_006198
NDUFB8,NM_001284367
UBA52,NM_001033930
MORF4L2,NM_001142418
NFATC1,NM_001278669
NUMBL,NM_001289979
COX19,NM_001031617
GMPR,NM_006877
MOAP1,NM_022151
RLBP1,NM_000326
SMAD9,NM_001127217
CCDC3,NM_001282658
EPCAM-DT,NR_110207
HGF,NM_000601
HRAS,NM_001130442
PIGM,NM_145167
SPRY1,NM_001258038
OVOL2,NM_001303461
PET117,NM_001164811
CXCL14,NM_004887
LYPD1,NM_001077427
FXYD7,NM_022006
C12orf57,NM_001301834
FXYD6,NM_001164831
MKRN2OS,NM_001195279
CST3,NM_000099
SPATA13,NM_001166271
UBASH3B,NM_001363365
GALK1,NM_000154
ENTPD3,NM_001248
SLC13A3,NM_001011554
RPS25,NM_001028
SLC38A2,NM_001307936
MRTFB,NM_001308142
H2AFJ,NA
SNHG25,NR_132278
ZNF345,NM_001242472
IRS1,NM_005544
ATP1A1,NM_000701
SNHG3,NR_002909
ATP5F1B,NM_001686
DUSP22,NM_001286555
NWD1,NM_001007525
IFNAR2,NM_000874
EIF1,NM_005801
PDLIM2,NM_001368120
POLR2L,NM_021128
RPL22L1,NM_001099645
MZT2B,NM_001330282
PCAT1,NR_045262
GTPBP2,NM_001286216
HDDC2,NM_016063
NEDD4L,NM_001144964
RPS24,NM_001026
ZCCHC24,NM_153367
SPDYE21P,NA
IL13RA1,NM_001560
GLRX,NM_001118890
COX6A1,NM_004373
PDCD4,NM_001199492
JPT1,NM_001002032
TSNARE1,NM_001291931
NLRP1,NM_001033053
SURF1,NM_001280787
CNTNAP3B,NM_001201380
NOTCH2NLA,NM_001364006
LAMTOR5,NM_001382293
GAPDH,NM_001256799
MRPL36,NM_032479
JAKMIP1,NM_001099433
TTLL9,NM_001008409
MAN1A1,NM_005907
CNN3,NM_001286055
THNSL1,NM_024838
SH3PXD2A,NM_001365079
KLKB1,NM_000892
CLMP,NM_024769
COX5B,NM_001862
RAB6B,NM_001363953
NDUFA13,NM_015965
TTLL6,NM_001130918
SNHG9,NR_003142
TNFRSF1A,NM_001065
EIF5A,NM_001143760
AFF3,NM_001025108
TUBB,NM_001293212
CFAP47,NM_001304548
CYP51A1,NM_000786
CHST6,NM_021615
OSMR,NM_001168355
NDUFB9,NM_001278645
MGST1,NM_001260511
SEPTIN9,NM_001113491
NDUFS6,NM_004553
NOL7,NM_001317724
DRAP1,NM_006442
MAPRE2,NM_001143826
FAM20C,NM_020223
SCN1B,NM_001037
CHMP5,NM_001195536
CMTM5,NM_001037288
SLC29A3,NM_001174098
NME2,NM_001018137
C1orf56,NM_017860
MRPL34,NM_001382342
PLSCR1,NM_001363872
MAPK8IP1,NM_005456
HEY1,NM_001040708
HLF,NM_001330375
MIF,NM_002415
WDR83OS,NM_016145
SEPTIN3,NM_001363845
IER5L,NM_203434
POLR2E,NM_001316323
C12orf56,NM_001099676
DNA2,NM_001080449
ARL4C,NM_001282431
SMIM26,NM_001348957
MOGAT1,NM_058165
FTL,NM_000146
DHCR24,NM_014762
IL1R1,NM_000877
CHMP4B,NM_176812
SLC26A8,NM_001193476
SNCA,NM_000345
SAMHD1,NM_001363729
GAP43,NM_001130064
KLRG1,NM_001329099
S100A1,NM_006271
GRIA4,NM_000829
FEZF2,NM_018008
ROM1,NM_000327
XYLT1,NM_022166
RBP2,NM_004164
NECAB1,NM_022351
MYL12B,NM_001144944
AP2S1,NM_001301076
FXYD3,NM_001136007
HIGD2A,NM_138820
RPL28,NM_000991
PRELID1,NM_001271828
KIF21B,NM_001252100
MAL2,NM_052886
GAREM2,NM_001168241
LAMTOR4,NM_001008395
DSC2,NM_001406506
MINCR,NR_120682
ATOX1,NM_004045
RPL30,NM_000989
