"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"POU2F2 (mouse)",0.897317331663429,0.772591857000993,0.0837070129121331,"['NDUFA13', 'GTF2A2', 'DCLRE1C', 'UQCRB', 'RPLP1', 'RPL36A', 'COX7C', 'CLN5', 'RPS4X', 'PURB', 'RPL7A', 'TCEAL7', 'SEC61G', 'OPA3', 'TMSB4X', 'ACP2', 'TAF9B', 'LEKR1', 'H3F3B', 'SLC39A11', 'ATP1B2', 'OCEL1', 'GADD45G', 'BCKDK', 'AIMP2', 'RCN1', 'NDUFS6', 'UBE2S', 'CROCC', 'KIT', 'PSMG3', 'OCIAD2', 'TMEM19', 'CENPQ', 'PVALB']",0.999862716124211,0,0,35,"POU2F2",0.999862716124211,2.69517822800193e-06,0.0225714829067232,0.861404295473166,0.862010781676057,-0.165021166633324,0.925176968620996,0.516785928525849
"SRY (human)",0.899443054419827,0.628901734104046,0.0666507137394991,"['BEX2', 'CDKN2A', 'PIM1', 'ETV1', 'PARK7', 'KRT10', 'ATP1A1', 'SEC62']",0.999862716124211,0,0,8,"SRY",0.999862716124211,NA,NA,NA,NA,NA,NA,NA
"NR3C1 (mouse)",0.899499672835376,0.754893194237456,0.0799557124269103,"['IFITM3', 'BEX2', 'SAT2', 'ATP1A1', 'RPL9', 'RPL6', 'TCEAL8', 'SCUBE2', 'RPL7A', 'PDGFC', 'POLR2I', 'RPL17', 'CHGB', 'DNAJC19', 'GABARAPL1', 'GABBR1', 'RPS5', 'MRPS23', 'PCDHGA1', 'LSM5', 'DEXI', 'ARMCX3', 'MRPL51', 'CRH', 'TOMM7', 'TACC3', 'NAA38', 'RBMS2', 'PPIL6']",0.999862716124211,0,0,29,"NR3C1",0.999862716124211,0.0782853965622571,0.178507900003748,NA,NA,NA,0.267978775338528,0.714593055780828
"Gata1 (mouse)",0.903131192630663,0.764784014784015,0.0779218936886955,"['SET', 'POP4', 'COX17', 'COX7A1', 'HDDC3', 'HAPLN1', 'CPLX3', 'DUSP12', 'CCDC85B', 'MED10', 'DNAJB9', 'SEC61B', 'NTNG1', 'PLEKHG3', 'NDUFA6', 'KCNJ10', 'IGFBP5', 'RPS5', 'PCDHGA1', 'AIP', 'CHCHD10', 'ACYP1', 'AMPD3', 'DNAJC14', 'NSG1', 'CORO2B', 'RRAGA', 'PRKAR1A', 'KIT', 'CYCS', 'PTPN9', 'SNRNP25', 'SERINC3', 'FKBP4']",0.999862716124211,0,0,34,"Gata1",0.999862716124211,NA,NA,NA,NA,NA,NA,NA
"Nr2e3 (mouse)",0.904792845202112,0.473352435530086,0.0473585617521934,"['NDUFAF4', 'PPIL6']",0.999862716124211,0,0,2,"Nr2e3",0.999862716124211,NA,NA,NA,NA,NA,NA,NA
"ELF5 (mouse)",0.911982229321945,0.62364859112965,0.0574597223048938,"['TMEM47', 'BEX4', 'RAB3A', 'RPL32', 'WIPF1', 'SEC61G', 'BANF1', 'NAP1L5', 'ARF6']",0.999862716124211,0,0,9,"ELF5",0.999862716124211,NA,NA,NA,NA,NA,NA,NA
"PDX1 (human)",0.91348912435563,0.394849785407725,0.0357275124489519,"['SNAPC5']",0.999862716124211,0,0,1,"PDX1",0.999862716124211,NA,NA,NA,NA,NA,NA,NA
"SOX9 (human)",0.91348912435563,0.394849785407725,0.0357275124489519,"['USH2A']",0.999862716124211,0,0,1,"SOX9",0.999862716124211,0.262528926680977,0.521123886726987,NA,NA,NA,0.296941133570091,0.819680998335093
"STAT3 (human)",0.915049975654742,0.81666954221302,0.0725011428281421,"['HDDC2', 'IFI27L2', 'COX7B', 'UBXN1', 'RAB3A', 'COX4I1', 'PARK7', 'COX7C', 'HDDC3', 'CNDP2', 'RPS14', 'C3ORF18', 'RPS16', 'RPL36AL', 'SEC61G', 'MED10', 'HMGN2', 'SEPHS2', 'CHGB', 'MRPS26', 'VBP1', 'DUSP1', 'SSR2', 'HLA-B', 'NDUFC1', 'AMPD3', 'C1ORF122', 'RUNX1', 'MZT2B', 'RCN1', 'DPM3', 'MMP16', 'MRTO4', 'CARD18', 'HECA', 'NAA38', 'RPL26', 'SGK1', 'SCG2', 'C22ORF39', 'FTL', 'TOMM40', 'BEX1', 'RGS16', 'RPL36A', 'UQCR10', 'PHB', 'WDR66', 'TCEAL8', 'PURB', 'TCEAL7', 'NFIL3', 'RPL14', 'CD59', 'PCBD1', 'SLIT3', 'ATP6V0E2', 'AAMP', 'POLR2K', 'RANBP1', 'FIS1', 'RPL41', 'SURF1', 'GABBR1', 'PMM1', 'RPL35A', 'TBCC', 'TPD52L1', 'CORO2B', 'USH2A', 'SYT6', 'GFAP', 'EFNA3', 'FABP3', 'SST', 'ASXL3', 'TMEM19', 'RPS24', 'ZNF134']",0.999862716124211,0,0,79,"STAT3",0.999862716124211,0.697829666008642,0.0471146514552524,NA,NA,NA,0.591790941410396,0.146144100171511
"FEV (human)",0.916349949631364,0.524904214559387,0.0458540292234625,"['MESP1', 'PHYH', 'PRKY', 'U2AF1L4']",0.999862716124211,0,0,4,"FEV",0.999862716124211,NA,NA,NA,NA,NA,NA,NA
