NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
C11orf87	1	C11orf87	
WBP11	1	WBP11	
RBFOX3	1	RBFOX3	
ATP6AP2	1	ATP6AP2	
SPIN4	1	SPIN4	
PNMA8C	1	PNMA8C	
HNRNPA3	1	HNRNPA3	
NGRN	1	NGRN	
KCNMA1	1	KCNMA1	
SSRP1	1	SSRP1	
CATSPERB	1	CATSPERB	
ZDHHC20	1	ZDHHC20	
SDF2	1	SDF2	
STRAP	1	STRAP	
POLR2D	1	POLR2D	
SUB1	1	SUB1	
AASS	1	AASS	
MISFA	1	SPTY2D1OS	
RRN3	1	RRN3	
SPRYD7	1	SPRYD7	
ST13	1	ST13	
NUCKS1	1	NUCKS1	
IGIP	1	IGIP	
MAPK6	1	MAPK6	
GPRASP1	1	GPRASP1	
RCC1	1	RCC1	
PPFIBP2	1	PPFIBP2	
DOCK5	1	DOCK5	
OTUD5	1	OTUD5	
BTBD3	1	BTBD3	
ACCS	1	ACCS	
NF2	1	NF2	
C5orf24	1	C5orf24	
SNRNP27	1	SNRNP27	
MAK16	1	MAK16	
EEPD1	1	EEPD1	
KBTBD7	1	KBTBD7	
LDB2	1	LDB2	
EIF1AX	1	EIF1AX	
CAPRIN1	1	CAPRIN1	
CRKL	1	CRKL	
VPS35	1	VPS35	
DPM3	1	DPM3	
PCYOX1	1	PCYOX1	
PJA2	1	PJA2	
NEUROD1	1	NEUROD1	
KLF6	1	KLF6	
MOCS2	1	MOCS2	
RTL6	1	RTL6	
THAP1	1	THAP1	
MRPL49	1	MRPL49	
CCNA1	1	CCNA1	
DCTN5	1	DCTN5	
PRKN	1	PRKN	
PPP2CA	1	PPP2CA	
TVP23C	1	TVP23C	
YIPF5	1	YIPF5	
PLCH2	1	PLCH2	
ABI3BP	1	ABI3BP	
SLC39A6	1	SLC39A6	
PRRT1	1	PRRT1	
DEPDC5	1	DEPDC5	
WTIP	1	WTIP	
CLCN4	1	CLCN4	
SSTR3	1	SSTR3	
LAMTOR3	1	LAMTOR3	
ATP6V1D	1	ATP6V1D	
RAB39B	1	RAB39B	
ILF2	1	ILF2	
NDOR1	1	NDOR1	
NUDT11	1	NUDT11	
SRP68	1	SRP68	
VPS25	1	VPS25	
GSK3A	1	GSK3A	
STAR	1	STAR	
IMPA1	1	IMPA1	
HS1BP3	1	HS1BP3	
FAM32A	1	FAM32A	
CITED2	1	CITED2	
PRPF19	1	PRPF19	
SLC18A2	1	SLC18A2	
TMEM178B	1	TMEM178B	
RAB37	1	RAB37	
SULT1A2	1	SULT1A2	
GRID1	1	GRID1	
ENTPD1	1	ENTPD1	
UGCG	1	UGCG	
TMED10	1	TMED10	
SCYL1	1	SCYL1	
PIGBOS1	1	PIGBOS1	
DUSP2	1	DUSP2	
ID2	1	ID2	
SERTM1	1	SERTM1	
RPAP2	1	RPAP2	
NELFA	1	NELFA	
SF1	1	SF1	
MAP1LC3B	1	MAP1LC3B	
SLC25A11	1	SLC25A11	
RTRAF	1	RTRAF	
BPTF	1	BPTF	
PHLDB3	1	PHLDB3	
HECA	1	HECA	
ACP2	1	ACP2	
ATP6AP1L	1	ATP6AP1L	
RBMXL1	1	RBMXL1	
DPH2	1	DPH2	
C2orf80	1	C2orf80	
TRAPPC4	1	TRAPPC4	
RGS4	1	RGS4	
FLOT1	1	FLOT1	
RPN1	1	RPN1	
SHLD3	1	SHLD3	
CTSB	1	CTSB	
TP53INP2	1	TP53INP2	
YWHAB	1	YWHAB	
EYA1	1	EYA1	
TRAF3	1	TRAF3	
MRAS	1	MRAS	
HOMER2	1	HOMER2	
LRSAM1	1	LRSAM1	
BLCAP	1	BLCAP	
NEK5	1	NEK5	
CHST1	1	CHST1	
MADD	1	MADD	
CACTIN	1	CACTIN	
RESF1	1	RESF1	
RAP1GAP2	1	RAP1GAP2	
HDAC4	1	HDAC4	
TSPAN7	1	TSPAN7	
MRPS30	1	MRPS30	
DGLUCY	1	DGLUCY	
USP27X	1	USP27X	
ENO1	1	ENO1	
SYT11	1	SYT11	
HTATSF1	1	HTATSF1	
COL12A1	1	COL12A1	
TOE1	1	TOE1	
TMEM271	1	TMEM271	
KARS1	1	KARS	
ASTN2	1	ASTN2	
DCAF11	1	DCAF11	
LAMP1	1	LAMP1	
PGRMC2	1	PGRMC2	
EIF4G2	1	EIF4G2	
ARF1	1	ARF1	
PGM2L1	1	PGM2L1	
USP6NL	1	USP6NL	
TNFAIP1	1	TNFAIP1	
RAB6B	1	RAB6B	
TINF2	1	TINF2	
CEP89	1	CEP89	
KCNAB3	1	KCNAB3	
UBE2V2	1	UBE2V2	
LSM14B	1	LSM14B	
MACROD2	1	MACROD2	
WBP1	1	WBP1	
CACYBP	1	CACYBP	
ERCC6L	1	ERCC6L	
FAM171A1	1	FAM171A1	
SUSD1	1	SUSD1	
CNST	1	CNST	
DEDD2	1	DEDD2	
ELOVL2	1	ELOVL2	
GPAT2	1	GPAT2	
TRAPPC6A	1	TRAPPC6A	
GNB1	1	GNB1	
WDR77	1	WDR77	
PHKA2	1	PHKA2	
FAM3C	1	FAM3C	
TPST1	1	TPST1	
CCN3	1	CCN3	
PFDN1	1	PFDN1	
FREM3	1	FREM3	
HNRNPUL2	1	HNRNPUL2	
CAMK1	1	CAMK1	
DMD	1	DMD	
SHC4	1	SHC4	
NKAPD1	1	NKAPD1	
CLPTM1L	1	CLPTM1L	
TANGO6	1	TANGO6	
NAP1L2	1	NAP1L2	
ZNF304	1	ZNF304	
ZNF174	1	ZNF174	
BGLAP	1	BGLAP	
KIAA1191	1	KIAA1191	
ENOPH1	1	ENOPH1	
ZNF672	1	ZNF672	
GRHPR	1	GRHPR	
NPIPB11	1	NPIPB11	
CBLN4	1	CBLN4	
RIC8A	1	RIC8A	
ALKBH5	1	ALKBH5	
HOMEZ	1	HOMEZ	
PCDHB7	1	PCDHB7	
WSB2	1	WSB2	
G3BP2	1	G3BP2	
ATP6V1B2	1	ATP6V1B2	
CALR	1	CALR	
LIPI	1	LIPI	
DNAJB6	1	DNAJB6	
TMEM47	1	TMEM47	
GYS2	1	GYS2	
MRPS7	1	MRPS7	
PLD5	1	PLD5	
SNX11	1	SNX11	
CNDP1	1	CNDP1	
SBDS	1	SBDS	
KBTBD12	1	KBTBD12	
MKX	1	MKX	
TMEM132A	1	TMEM132A	
SLC12A5	1	SLC12A5	
KIAA1143	1	KIAA1143	
SLC25A53	1	SLC25A53	
KIAA1328	1	KIAA1328	
DNAJA4	1	DNAJA4	
WDCP	1	WDCP	
GOT1	1	GOT1	
CALM1	1	CALM1	
RPA1	1	RPA1	
RAD23B	1	RAD23B	
ATMIN	1	ATMIN	
EID2	1	EID2	
ANKS4B	1	ANKS4B	
KIF13B	1	KIF13B	
RAB14	1	RAB14	
CHMP1B	1	CHMP1B	
VDAC1	1	VDAC1	
ARL6IP5	1	ARL6IP5	
DAPK2	1	DAPK2	
TRNP1	1	TRNP1	
PTPRM	1	PTPRM	
ANAPC13	1	ANAPC13	
THSD4	1	THSD4	
DEGS1	1	DEGS1	
AARS1	1	AARS	
SMIM10L2A	1	SMIM10L2A	
STMN3	1	STMN3	
NR6A1	1	NR6A1	
SNX12	1	SNX12	
PYGO2	1	PYGO2	
SMG6	1	SMG6	
EGLN2	1	EGLN2	
C19orf18	1	C19orf18	
MRPL30	1	MRPL30	
EIF4H	1	EIF4H	
UPF1	1	UPF1	
ROGDI	1	ROGDI	
HMCES	1	HMCES	
RTN3	1	RTN3	
CDR1	1	CDR1	
SLC25A33	1	SLC25A33	
ST8SIA6	1	ST8SIA6	
CALM2	1	CALM2	
TOX4	1	TOX4	
MINCR	1	MINCR	
HLA-F	1	HLA-F	
RNF41	1	RNF41	
SLC25A18	1	SLC25A18	
S100A1	1	S100A1	
IER5	1	IER5	
ATP8B4	1	ATP8B4	
PCTP	1	PCTP	
TNRC18	1	TNRC18	
DUSP3	1	DUSP3	
SPARC	1	SPARC	
MYO5B	1	MYO5B	
BHLHE41	1	BHLHE41	
NEU1	1	NEU1	
GOT2	1	GOT2	
ZMAT3	1	ZMAT3	
EIF3I	1	EIF3I	
AZIN1	1	AZIN1	
GID8	1	GID8	
MAD2L1	1	MAD2L1	
TMEM167A	1	TMEM167A	
CAMK2N1	1	CAMK2N1	
HSP90AA1	1	HSP90AA1	
SYTL3	1	SYTL3	
DNAJC12	1	DNAJC12	
MFN2	1	MFN2	
B4GAT1	1	B4GAT1	
NSF	1	NSF	
MINAR1	1	MINAR1	
GNB4	1	GNB4	
HEY1	1	HEY1	
SCN2B	1	SCN2B	
ACLY	1	ACLY	
CALB1	1	CALB1	
CLDND2	1	CLDND2	
CERS1	1	CERS1	
YPEL5	1	YPEL5	
EXOC8	1	EXOC8	
NUDT17	1	NUDT17	
DUSP5	1	DUSP5	
COX20	1	COX20	
C12orf56	1	C12orf56	
GPR39	1	GPR39	
NECAP1	1	NECAP1	
GNAZ	1	GNAZ	
HDGF	1	HDGF	
ACTG1	1	ACTG1	
BAIAP3	1	BAIAP3	
ABCA7	1	ABCA7	
PCDHA12	1	PCDHA12	
POU3F1	1	POU3F1	
PSD3	1	PSD3	
NPL	1	NPL	
ECHS1	1	ECHS1	
SORCS1	1	SORCS1	
PTP4A2	1	PTP4A2	
BASP1	1	BASP1	
AKIRIN2	1	AKIRIN2	
DSTYK	1	DSTYK	
SLC30A3	1	SLC30A3	
RPL7L1	1	RPL7L1	
KCNQ5	1	KCNQ5	
GUCY1B1	1	GUCY1B1	
KCNA5	1	KCNA5	
GSTM4	1	GSTM4	
DYNC2H1	1	DYNC2H1	
MLLT11	1	MLLT11	
PLA2R1	1	PLA2R1	
PCGF1	1	PCGF1	
ARF3	1	ARF3	
PPP2R5D	1	PPP2R5D	
FBXO45	1	FBXO45	
NMT1	1	NMT1	
PABPC1L2B	1	PABPC1L2B	
PLCD4	1	PLCD4	
HS6ST1	1	HS6ST1	
BTBD8	1	BTBD8	
GALNT12	1	GALNT12	
IPO5	1	IPO5	
ZNF573	1	ZNF573	
SPR	1	SPR	
EHMT1	1	EHMT1	
MACF1	1	MACF1	
GTF2IRD2	1	GTF2IRD2	
NUDT21	1	NUDT21	
C1QBP	1	C1QBP	
CHMP1A	1	CHMP1A	
ENPP1	1	ENPP1	
DNALI1	1	DNALI1	
SLC26A3	1	SLC26A3	
UROD	1	UROD	
ZNF831	1	ZNF831	
RAPGEF4	1	RAPGEF4	
SLC22A15	1	SLC22A15	
GABRA1	1	GABRA1	
EZH2	1	EZH2	
BNIP3	1	BNIP3	
PCDH20	1	PCDH20	
NOX4	1	NOX4	
NUDT4	1	NUDT4	
SGTB	1	SGTB	
AHI1	1	AHI1	
SPATA2	1	SPATA2	
ANKRD53	1	ANKRD53	
COMMD8	1	COMMD8	
ADAMTS8	1	ADAMTS8	
CREBL2	1	CREBL2	
UBA1	1	UBA1	
SH3BGRL3	1	SH3BGRL3	
RALBP1	1	RALBP1	
MRPL17	1	MRPL17	
CCDC40	1	CCDC40	
ATP6V1G2	1	ATP6V1G2	
ZNF664	1	ZNF664	
SLBP	1	SLBP	
TRPV1	1	TRPV1	
FBXO5	1	FBXO5	
PHF13	1	PHF13	
MCL1	1	MCL1	
VPS13B	1	VPS13B	
MAPK1	1	MAPK1	
RAD21	1	RAD21	
FAM217B	1	FAM217B	
NHP2	1	NHP2	
MVB12B	1	MVB12B	
MRPL46	1	MRPL46	
DTNA	1	DTNA	
CD6	1	CD6	
COPS7A	1	COPS7A	
SATL1	1	SATL1	
PPP2CB	1	PPP2CB	
SKP1	1	SKP1	
NDP	1	NDP	
ASB8	1	ASB8	
KYAT1	1	KYAT1	
ANKRD36C	1	ANKRD36C	
TBC1D24	1	TBC1D24	
ZFAND4	1	ZFAND4	
GANC	1	GANC	
VPS11	1	VPS11	
BMPER	1	BMPER	
HSP90AB1	1	HSP90AB1	
FAM210B	1	FAM210B	
JPT1	1	JPT1	
DDX4	1	DDX4	
HK1	1	HK1	
UPK3BL1	1	UPK3BL1	
RANBP6	1	RANBP6	
SLC47A1	1	SLC47A1	
YOD1	1	YOD1	
DLC1	1	DLC1	
SLC5A3	1	SLC5A3	
CCDC150	1	CCDC150	
NKAPL	1	NKAPL	
SOSTDC1	1	SOSTDC1	
EBLN3P	1	EBLN3P	
KMO	1	KMO	
RNF11	1	RNF11	
MNT	1	MNT	
DNAJA2	1	DNAJA2	
KCNJ9	1	KCNJ9	
MRPS10	1	MRPS10	
APMAP	1	APMAP	
MRPL23	1	MRPL23	
JUN	1	JUN	
TERF2	1	TERF2	
G6PC3	1	G6PC3	
UBXN6	1	UBXN6	
EIF4G3	1	EIF4G3	
PNPLA3	1	PNPLA3	
WDR82	1	WDR82	
GNL3	1	GNL3	
FNDC9	1	FNDC9	
HNRNPA0	1	HNRNPA0	
LUCAT1	1	LUCAT1	
THAP5	1	THAP5	
PUS7	1	PUS7	
ZNF483	1	ZNF483	
TPI1	1	TPI1	
TAF13	1	TAF13	
PLCXD3	1	PLCXD3	
PITHD1	1	PITHD1	
SPOCK2	1	SPOCK2	
GALNT10	1	GALNT10	
UNG	1	UNG	
GDA	1	GDA	
ZBTB21	1	ZBTB21	
QPCT	1	QPCT	
CALM3	1	CALM3	
PPM1K-DT	1	PPM1K-DT	
ENO2	1	ENO2	
EPB41	1	EPB41	
AR	1	AR	
CAND1	1	CAND1	
SELENOW	1	SELENOW	
ZNF860	1	ZNF860	
ZNF138	1	ZNF138	
GOLGA7	1	GOLGA7	
SYT4	1	SYT4	
PTPRJ	1	PTPRJ	
CLSPN	1	CLSPN	
C4orf3	1	C4orf3	
PLN	1	PLN	
DYRK2	1	DYRK2	
TMED9	1	TMED9	
EVA1C	1	EVA1C	
KCTD12	1	KCTD12	
KDM2B	1	KDM2B	
TMEM143	1	TMEM143	
SPAG4	1	SPAG4	
NUDT6	1	NUDT6	
FKBP4	1	FKBP4	
SRP14	1	SRP14	
IFTAP	1	C11orf74	
PHB2	1	PHB2	
SSTR1	1	SSTR1	
ITPRIPL1	1	ITPRIPL1	
HOPX	1	HOPX	
SNX15	1	SNX15	
OAZ2	1	OAZ2	
ADO	1	ADO	
CYFIP2	1	CYFIP2	
MRTFA	1	MRTFA	
SIRPA	1	SIRPA	
C1orf122	1	C1orf122	
PPP1CC	1	PPP1CC	
TNRC6A	1	TNRC6A	
DNAJC22	1	DNAJC22	
SEC14L5	1	SEC14L5	
ZNF843	1	ZNF843	
CCDC39	1	CCDC39	
PDK2	1	PDK2	
VAMP4	1	VAMP4	
MAP3K15	1	MAP3K15	
THAP8	1	THAP8	
FNBP1	1	FNBP1	
GPRASP2	1	GPRASP2	
RMND5A	1	RMND5A	
UCHL1	1	UCHL1	
FEM1B	1	FEM1B	
SOX2-OT	1	SOX2-OT	
BAG6	1	BAG6	
PARP1	1	PARP1	
DDX24	1	DDX24	
DEGS2	1	DEGS2	
C1QL3	1	C1QL3	
NFE2L1	1	NFE2L1	
ANXA4	1	ANXA4	
PELO	1	PELO	
GYG2	1	GYG2	
EIF5	1	EIF5	
TSPYL2	1	TSPYL2	
VPS13C	1	VPS13C	
NUDT16	1	NUDT16	
CSTF1	1	CSTF1	
STRIP1	1	STRIP1	
ABHD18	1	ABHD18	
ASPHD2	1	ASPHD2	
ZHX1	1	ZHX1	
RAG1	1	RAG1	
TNFAIP8L1	1	TNFAIP8L1	
IPO7	1	IPO7	
BLOC1S3	1	BLOC1S3	
SELP	1	SELP	
MOAP1	1	MOAP1	
ALPK1	1	ALPK1	
AFG1L	1	AFG1L	
ATP1B1	1	ATP1B1	
FOSL2	1	FOSL2	
RETREG2	1	RETREG2	
PDXP	1	PDXP	
GPATCH11	1	GPATCH11	
NUDT10	1	NUDT10	
B3GNT4	1	B3GNT4	
RTEL1	1	RTEL1	
LRRC49	1	LRRC49	
RNF144A	1	RNF144A	
TPPP	1	TPPP	
PRELID2	1	PRELID2	
PIR	1	PIR	
FEZ1	1	FEZ1	
ERLIN2	1	ERLIN2	
NFIL3	1	NFIL3	
RRP9	1	RRP9	
USP40	1	USP40	
FBXL14	1	FBXL14	
SHISAL1	1	SHISAL1	
DUXAP8	1	DUXAP8	
ASAP3	1	ASAP3	
CYTH2	1	CYTH2	
UBQLN2	1	UBQLN2	
NAA30	1	NAA30	
MAL2	1	MAL2	
NSMCE3	1	NSMCE3	
PIGL	1	PIGL	
TCP1	1	TCP1	
PKM	1	PKM	
ZNF689	1	ZNF689	
GPRIN1	1	GPRIN1	
YWHAE	1	YWHAE	
ZNF598	1	ZNF598	
BORCS8	1	BORCS8	
JAKMIP3	1	JAKMIP3	
NPAS3	1	NPAS3	
ATP2B3	1	ATP2B3	
SEPTIN8	1	SEPTIN8	
CRTAC1	1	CRTAC1	
CHN1	1	CHN1	
UBE2QL1	1	UBE2QL1	
SLC38A6	1	SLC38A6	
CDCP1	1	CDCP1	
TPRG1L	1	TPRG1L	
CCT2	1	CCT2	
HSPB8	1	HSPB8	
CDON	1	CDON	
FAM135B	1	FAM135B	
SLC35E1	1	SLC35E1	
PTGES3L	1	PTGES3L	
ALDH1A3	1	ALDH1A3	
CHML	1	CHML	
MAPK8IP1	1	MAPK8IP1	
PHF10	1	PHF10	
UBAP2	1	UBAP2	
DACT3	1	DACT3	
IGSF21	1	IGSF21	
ANKRD62	1	ANKRD62	
PPP1CB	1	PPP1CB	
TKT	1	TKT	
HIPK1	1	HIPK1	
ADAMTS17	1	ADAMTS17	
MIF4GD	1	MIF4GD	
TMEM9B	1	TMEM9B	
ZNF830	1	ZNF830	
GPR22	1	GPR22	
HLF	1	HLF	
PITPNC1	1	PITPNC1	
HSPD1	1	HSPD1	
MRFAP1L1	1	MRFAP1L1	
CRACD	1	KIAA1211	
POLR1F	1	TWISTNB	
KCTD2	1	KCTD2	
STBD1	1	STBD1	
CD59	1	CD59	
GMFB	1	GMFB	
MAN2B1	1	MAN2B1	
CACNG2	1	CACNG2	
KCNJ4	1	KCNJ4	
STMN4	1	STMN4	
ETS2	1	ETS2	
EFNB3	1	EFNB3	
BCL2L2	1	BCL2L2	
KLHL22	1	KLHL22	
TOMM40L	1	TOMM40L	
SLC8A3	1	SLC8A3	
OR2L3	1	OR2L3	
MRFAP1	1	MRFAP1	
FGFR1OP2	1	FGFR1OP2	
LRRC4	1	LRRC4	
CNTN6	1	CNTN6	
AKR1C1	1	AKR1C1	
KCNIP4	1	KCNIP4	
BCL2	1	BCL2	
CD81	1	CD81	
CCNDBP1	1	CCNDBP1	
ASIC2	1	ASIC2	
WDR47	1	WDR47	
FOXG1	1	FOXG1	
ING1	1	ING1	
GPR88	1	GPR88	
HSPA1A	1	HSPA1A	
LRRTM2	1	LRRTM2	
NRIP2	1	NRIP2	
KRAS	1	KRAS	
TOR3A	1	TOR3A	
KBTBD11	1	KBTBD11	
C5orf63	1	C5orf63	
VPS26A	1	VPS26A	
FKBP1A	1	FKBP1A	
FAM106C	1	FAM106C	
BLOC1S4	1	BLOC1S4	
ZNF491	1	ZNF491	
SPRYD3	1	SPRYD3	
NPIPB3	1	NPIPB3	
ABL1	1	ABL1	
SLC8A2	1	SLC8A2	
PRDX3	1	PRDX3	
CMYA5	1	CMYA5	
ARPC5	1	ARPC5	
PATJ	1	PATJ	
ARL6IP1	1	ARL6IP1	
CCDC170	1	CCDC170	
DUSP22	1	DUSP22	
C12orf43	1	C12orf43	
LDOC1	1	LDOC1	
COMMD10	1	COMMD10	
TACO1	1	TACO1	
DOK3	1	DOK3	
EXOSC6	1	EXOSC6	
TMEM177	1	TMEM177	
WNK2	1	WNK2	
HSF5	1	HSF5	
BCL7A	1	BCL7A	
H1-0	1	H1F0	
HABP2	1	HABP2	
MINDY4	1	MINDY4	
MEA1	1	MEA1	
PPP1R11	1	PPP1R11	
CACNB1	1	CACNB1	
CLIP2	1	CLIP2	
TMTC1	1	TMTC1	
RAP2A	1	RAP2A	
KCNK3	1	KCNK3	
ARPP19	1	ARPP19	
MORF4L1	1	MORF4L1	
PREPL	1	PREPL	
MPP1	1	MPP1	
EGR3	1	EGR3	
TCEAL1	1	TCEAL1	
TMEM115	1	TMEM115	
POLD2	1	POLD2	
TYR	1	TYR	
TMEM30A	1	TMEM30A	
IMPDH2	1	IMPDH2	
SPDYE16	1	SPDYE16	
FOXP2	1	FOXP2	
SHANK1	1	SHANK1	
ELOC	1	ELOC	
NUDT18	1	NUDT18	
SLC7A5	1	SLC7A5	
NLGN2	1	NLGN2	
MLEC	1	MLEC	
DYSF	1	DYSF	
SPOCK3	1	SPOCK3	
SP110	1	SP110	
FAM86C1P	1	FAM86C1	
OPRD1	1	OPRD1	
