"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ"
"TFE3","TFE3","MA0831.2","1.30368",0.0958221,0.860642,0.852278,0.0697196,79,"False",0.638917643410853,0.00448441506441203,0.233903059540924,NA,NA,NA,0.260251566412858,0.261297092948775
"Smad4","Smad4","MA1153.1","1.30323",0.0959861,0.864406,0.855839,0.061628,79,"False",0.638917643410853,2.6143173958053e-06,0.000415163766704799,NA,NA,NA,0.987751854577839,0.881859982037229
"RELB","RELB","MA1117.1","1.30289",0.0960687,0.831865,0.824403,0.0511077,79,"False",0.638917643410853,NA,NA,NA,NA,NA,NA,NA
"CREM","CREM","MA0609.2","1.29914",0.0966446,0.735696,0.727025,0.0673154,79,"False",0.638917643410853,0.0014716026769734,0.0984595810516735,NA,NA,NA,0.529559804063605,0.188452966581522
"ZFP57","ZFP57","MA1583.1","1.28507",0.0991771,0.830266,0.822293,0.0514914,79,"False",0.638917643410853,NA,NA,NA,NA,NA,NA,NA
"ELF1","ELF1","MA0473.3","1.28011",0.100032,0.814701,0.80716,0.0503706,79,"False",0.638917643410853,0.614585429976922,0.949404139237116,NA,NA,NA,0.658742593458731,0.781952476166463
"CTCFL","CTCFL","MA1102.2","1.27714",0.100584,0.849264,0.839568,0.0604099,79,"False",0.638917643410853,NA,NA,NA,NA,NA,NA,NA
"IRF6","IRF6","MA1509.1","1.27565",0.100707,0.799256,0.792275,0.0575442,79,"False",0.638917643410853,NA,NA,NA,NA,NA,NA,NA
"EGR1","EGR1","MA0162.4","1.27384",0.101157,0.822375,0.812172,0.0656872,79,"False",0.638917643410853,NA,NA,NA,NA,NA,NA,NA
"EBF3","EBF3","MA1637.1","1.26735",0.102295,0.807759,0.799623,0.0548282,79,"False",0.638917643410853,NA,NA,NA,NA,NA,NA,NA
"SPIC","SPIC","MA0687.1","1.26465",0.102816,0.810214,0.803793,0.0393032,79,"False",0.638917643410853,NA,NA,NA,NA,NA,NA,NA
"NFYC","NFYC","MA1644.1","1.2598",0.103654,0.826833,0.817713,0.06099,79,"False",0.638917643410853,8.75764117179246e-06,0.117687433091877,NA,NA,NA,0.568302564047709,0.774288703643399
"ZFP42","ZFP42","MA1651.1","1.25844",0.103804,0.740405,0.732999,0.0596137,79,"False",0.638917643410853,NA,NA,NA,NA,NA,NA,NA
"ZKSCAN5","ZKSCAN5","MA1652.1","1.24787",0.105763,0.828635,0.821351,0.0555923,79,"False",0.644595666666667,0.295331786908979,0.00592668115038846,0.361688097381747,0.362905106780193,1.09042455012363,0.484306763894514,0.901459321829965
"ZIC1","ZIC1","MA0696.1","1.24374",0.1066,0.781041,0.774242,0.0439948,79,"False",0.644595666666667,NA,NA,NA,NA,NA,NA,NA
"TFAP2B","TFAP2B","MA0811.1","1.24087",0.107162,0.864308,0.857551,0.039802,79,"False",0.644595666666667,NA,NA,NA,NA,NA,NA,NA
"BHLHE41","BHLHE41","MA0636.1","1.23414",0.108275,0.783499,0.775543,0.0637768,79,"False",0.646393609022556,5.30306451292405e-10,0.0022397771615651,0.605175147219752,0.606225733753681,-0.4256828106044,0.0395055375912522,0.170885971903098
"SP2","SP2","MA0516.2","1.22201",0.110648,0.79693,0.78945,0.0496396,79,"False",0.654485377777778,0.14624771027964,0.303469038840229,NA,NA,NA,0.985075302460173,0.936367154571206
"CREB3L4","CREB3L4","MA1474.1","1.21857",0.111279,0.80148,0.795119,0.044466,79,"False",0.654485377777778,NA,NA,NA,NA,NA,NA,NA
