"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ"
"HES2","HES2","MA0616.2","6.95629",9.87558e-13,0.822145,0.807232,0.0623026,930,"False",3.136484208e-11,NA,NA,NA,NA,NA,NA,NA
"ZIC1","ZIC1","MA0696.1","6.93734",1.17112e-12,0.785405,0.774242,0.045404,930,"False",3.57642030769231e-11,NA,NA,NA,NA,NA,NA,NA
"ZIC4","ZIC4","MA0751.1","6.79548",3.3094e-12,0.816431,0.806296,0.0411196,930,"False",9.73208740740741e-11,NA,NA,NA,NA,NA,NA,NA
"KLF2","KLF2","MA1515.1","6.7278",5.41262e-12,0.908146,0.894352,0.0556406,930,"False",1.53486438571429e-10,NA,NA,NA,NA,NA,NA,NA
"EGR3","EGR3","MA0732.1","6.6103",1.20737e-11,0.794411,0.780667,0.0572796,930,"False",3.30569579310345e-10,0.931899948885277,0.332811309569395,NA,NA,NA,0.453960487135005,NA
"MAZ","MAZ","MA1522.1","6.58842",1.40613e-11,0.894561,0.877914,0.0694716,930,"False",3.7215574e-10,0.0980598580763489,0.378813150782559,NA,NA,NA,0.468938457619758,0.4359137964672
"GLIS2","GLIS2","MA0736.1","6.53428",1.98093e-11,0.798113,0.7882,0.0429546,930,"False",5.07373683870968e-10,0.0818894312497024,0.617361657347814,0.987229232062437,NA,-0.19636386581106,0.758648691210538,0.552538839505653
"E2F6","E2F6","MA0471.2","6.40164",4.9767e-11,0.864462,0.852237,0.0526131,930,"False",1.2348436875e-09,0.0254386621253323,0.0057825017508549,NA,0.647651659585844,NA,0.544844919818492,0.533628725817631
"ZBTB7A","ZBTB7A","MA0750.2","6.34917",6.42817e-11,0.842167,0.829929,0.0584978,930,"False",1.54665666060606e-09,1.02652146461004e-08,4.29478012571766e-07,0.496541238105794,0.499031780348777,0.401455401368414,0.0134068361578396,0.404503886701976
"KLF3","KLF3","MA1516.1","6.32535",7.95025e-11,0.858968,0.846119,0.0584006,930,"False",1.85661720588235e-09,0.104388823672148,0.103764143197439,NA,NA,NA,0.0832397723623701,0.265883519067963
"EGR2","EGR2","MA0472.2","6.31322",8.93521e-11,0.819622,0.808129,0.0502647,930,"False",2.02701621142857e-09,NA,NA,NA,NA,NA,NA,NA
"ZNF740","ZNF740","MA0753.2","6.31168",9.2655e-11,0.817217,0.803708,0.0572802,930,"False",2.0435575e-09,0.0968876275054715,0.730481077452253,NA,NA,NA,0.548268878590269,0.542212727547952
"KLF4","KLF4","MA0039.4","6.02937",5.66529e-10,0.893373,0.879556,0.062075,930,"False",1.21574061081081e-08,NA,NA,NA,NA,NA,NA,NA
"KLF6","KLF6","MA1517.1","6.01209",6.27516e-10,0.891815,0.880258,0.0525236,930,"False",1.31117816842105e-08,0.734701345634589,0.68767627238193,NA,NA,NA,0.509268360060863,0.667488138803003
"KLF10","KLF10","MA1511.1","5.9421",9.71241e-10,0.872356,0.861439,0.0502754,930,"False",1.97734706153846e-08,NA,NA,NA,NA,NA,NA,NA
"E2F1","E2F1","MA0024.3","5.90811",1.15099e-09,0.77892,0.7698,0.0445078,930,"False",2.28471515e-08,NA,NA,NA,NA,NA,NA,NA
"ZFP57","ZFP57","MA1583.1","5.90485",1.18613e-09,0.833079,0.822293,0.0520373,930,"False",2.297042e-08,NA,NA,NA,NA,NA,NA,NA
"HEY1","HEY1","MA0823.1","5.86987",1.44919e-09,0.817859,0.805772,0.0598096,930,"False",2.73965919047619e-08,NA,NA,NA,NA,NA,NA,NA
"ZNF263","ZNF263","MA0528.2","5.63529",6.00191e-09,0.86844,0.856546,0.0611626,930,"False",1.10825966046512e-07,0.119039055427212,0.30278161607353,NA,NA,NA,0.653602788471038,0.612004028071349
"VEZF1","VEZF1","MA1578.1","5.51199",1.27853e-08,0.878576,0.867548,0.0553643,930,"False",2.3071655e-07,0.0140586242885703,0.0421450138653392,0.87384771260217,0.874393877899727,0.367979095164418,0.366708516332676,0.46165522933884
"ELK1","ELK1","MA0028.2","5.44983",1.59341e-08,0.816257,0.805366,0.0658991,930,"False",2.81148342222222e-07,0.00158906358864242,0.00303798375119974,0.574064472595197,0.575660380656649,0.486387404755736,0.879801610123535,0.852046911199861
"TFAP2C","TFAP2C","MA0815.1","5.46063",1.71836e-08,0.820434,0.809526,0.0553517,930,"False",2.9660387826087e-07,NA,NA,NA,NA,NA,NA,NA
"ELK4","ELK4","MA0076.2","5.43136",1.86092e-08,0.862833,0.852902,0.05708,930,"False",3.1437669787234e-07,0.379764053330191,0.180806311354717,NA,NA,NA,0.648036873391849,0.597582024855895
"E2F2","E2F2","MA0864.2","5.35772",2.94846e-08,0.763345,0.755513,0.0433585,930,"False",4.87724425e-07,NA,NA,NA,NA,NA,NA,NA
"CTCF","CTCF","MA0139.1","5.29812",4.11197e-08,0.787085,0.779428,0.0430509,930,"False",6.66306975510204e-07,4.84807928799479e-10,0.000677365593218238,0.980178453189282,0.97919213546869,0.035084249109359,0.224347289636522,0.0880201141891233
"EGR4","EGR4","MA0733.1","5.27452",4.98782e-08,0.789015,0.780201,0.0453062,930,"False",7.92065816e-07,NA,NA,NA,NA,NA,NA,NA
"YY2","YY2","MA0748.2","5.25222",5.41707e-08,0.832765,0.821895,0.0599364,930,"False",8.43363447058823e-07,NA,NA,NA,NA,NA,NA,NA
"CENPB","CENPB","MA0637.1","5.24355",5.64458e-08,0.789157,0.78272,0.0359156,930,"False",8.61883946153846e-07,3.27157912855731e-09,0.000564328840066553,0.883148430496944,0.883273393265773,-0.137749813406483,0.00307062785573352,0.190008692966558
"TFAP2A","TFAP2A","MA0872.1","5.24054",5.90714e-08,0.815027,0.804318,0.0572016,930,"False",8.84956445283019e-07,NA,NA,NA,NA,NA,NA,NA
"ARNT","ARNT::HIF1A","MA0259.1","5.16676",8.7521e-08,0.900918,0.890666,0.0566618,930,"False",1.26348498181818e-06,0.0174937797992605,0.116806791524892,NA,NA,NA,0.652439793633765,0.744383070556009
"HIF1A","ARNT::HIF1A","MA0259.1","5.16676",8.7521e-08,0.900918,0.890666,0.0566618,930,"False",1.26348498181818e-06,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805
"CREB3L4","CREB3L4","MA1474.1","5.1077",1.17637e-07,0.802975,0.795119,0.0456853,930,"False",1.66792460714286e-06,NA,NA,NA,NA,NA,NA,NA
"TFAP2B","TFAP2B","MA0813.1","5.02681",1.89333e-07,0.82573,0.816155,0.0528394,930,"False",2.63737547368421e-06,NA,NA,NA,NA,NA,NA,NA
"ELK3","ELK3","MA0759.1","4.91988",2.99824e-07,0.836531,0.827514,0.0597493,930,"False",4.10448717241379e-06,NA,NA,NA,NA,NA,NA,NA
"TFAP2E","TFAP2E","MA1569.1","4.92362",3.27597e-07,0.886631,0.876258,0.0579301,930,"False",4.40867827118644e-06,0.957860088784154,0.843546397076076,NA,NA,NA,0.383299289705684,0.249405103683996
"ETV5","ETV5","MA0765.2","4.88748",3.62568e-07,0.862013,0.853063,0.0580464,930,"True",4.7979832e-06,1.55710763469331e-65,3.92862471590314e-30,0.566279651364164,0.567394843946028,-0.0991789326619443,0.522678906783712,0.403126347872561
"HIF1A","HIF1A","MA1106.1","4.77633",6.5892e-07,0.843317,0.833935,0.0599869,930,"False",8.57676196721311e-06,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805
"KLF9","KLF9","MA1107.2","4.75237",7.98478e-07,0.803948,0.794726,0.0520058,930,"False",1.02256698709677e-05,0.0253061073771051,0.358562756734065,NA,NA,NA,0.350657424031714,0.422347409921093
"HES7","HES7","MA0822.1","4.70504",9.6629e-07,0.738946,0.730391,0.0534332,930,"False",1.21783215873016e-05,NA,NA,NA,NA,NA,NA,NA
"HEY2","HEY2","MA0649.1","4.68416",1.08348e-06,0.823272,0.814695,0.0528236,930,"False",1.344192375e-05,NA,NA,NA,NA,NA,NA,NA
"Wt1","Wt1","MA1627.1","4.67753",1.16262e-06,0.838436,0.828844,0.0548085,930,"False",1.40753342424242e-05,NA,NA,NA,NA,NA,NA,NA
"Atf1","Atf1","MA0604.1","4.65737",1.16999e-06,0.847974,0.839285,0.0592982,930,"False",1.40753342424242e-05,5.9742164859843e-07,1.16775240718079e-05,0.65991239379855,0.661082812336543,0.285320519749345,0.0102641499516712,0.404057918177016
"NHLH2","NHLH2","MA1529.1","4.61609",1.54707e-06,0.743699,0.736319,0.044405,930,"False",1.83339340298507e-05,NA,NA,NA,NA,NA,NA,NA
"Zfx","Zfx","MA0146.2","4.57364",1.914e-06,0.865139,0.855406,0.0584502,930,"False",2.23487647058824e-05,0.556800751944705,0.168063249296086,NA,NA,NA,0.0522166574196875,0.257445501097556
"HES5","HES5","MA0821.1","4.54528",2.14194e-06,0.756223,0.748255,0.050753,930,"False",2.46478313043478e-05,NA,NA,NA,NA,NA,NA,NA
"ETV6","ETV6","MA0645.1","4.5004",2.55554e-06,0.859363,0.851358,0.0555071,930,"False",2.89871251428571e-05,0.00254558615242309,0.11529977794899,NA,NA,NA,0.0985824253984127,0.459487113852795
"E2F4","E2F4","MA0470.2","4.48489",2.84038e-06,0.754013,0.747338,0.0438713,930,"False",3.17642495774648e-05,0.0117361814400315,0.0144022076630948,0.421846293035785,0.423099506217322,0.313543270381471,0.362763337930231,0.474596970455689
"NFYB","NFYB","MA0502.2","4.43835",3.363e-06,0.811689,0.803189,0.0621362,930,"False",3.70864166666667e-05,1.75633598383374e-05,0.203297302239033,0.488317555508378,0.490328599411045,-0.889141432686776,0.683186410497695,0.420344016712901
"KLF17","KLF17","MA1514.1","4.41357",4.07065e-06,0.789958,0.782544,0.0474448,930,"False",4.42752890410959e-05,NA,NA,NA,NA,NA,NA,NA
"ZNF682","ZNF682","MA1599.1","4.40235",4.32635e-06,0.774521,0.766683,0.0493802,930,"False",4.58301034666667e-05,0.555883102535779,0.759378967239156,NA,NA,NA,0.7832203763163,0.57005578236662
"FEV","FEV","MA0156.2","4.38593",4.32904e-06,0.848286,0.840666,0.0560229,930,"False",4.58301034666667e-05,NA,NA,NA,NA,NA,NA,NA
"MYCN","MYCN","MA0104.4","4.31228",6.32595e-06,0.796443,0.788166,0.0580572,930,"False",6.60895302631579e-05,NA,NA,NA,NA,NA,NA,NA
"SOHLH2","SOHLH2","MA1560.1","4.25906",7.97308e-06,0.810759,0.802357,0.0613223,930,"False",8.22159158441559e-05,NA,NA,NA,NA,NA,NA,NA
"PLAG1","PLAG1","MA0163.1","4.1933",1.13251e-05,0.807512,0.800424,0.0468263,930,"False",0.0001137494325,0.000145962360983419,0.216194480544597,0.445070220157088,0.446880309697702,-0.292216041701491,0.488992218027619,0.409479431732321
"Ahr","Ahr::Arnt","MA0006.1","4.18489",1.14609e-05,0.922347,0.913397,0.0630105,930,"False",0.0001137494325,1.5596867764787e-10,0.00575697917429244,0.715139405512206,0.716153926596011,-0.317537630122562,0.508364865099555,0.66163177394438
"Arnt","Ahr::Arnt","MA0006.1","4.18489",1.14609e-05,0.922347,0.913397,0.0630105,930,"False",0.0001137494325,0.0174937797992605,0.116806791524892,NA,NA,NA,0.652439793633765,0.744383070556009
"FLI1","FLI1","MA0475.2","4.12706",1.41885e-05,0.836611,0.82927,0.0575642,930,"False",0.000139082333333333,NA,NA,NA,NA,NA,NA,NA
"ZNF460","ZNF460","MA1596.1","4.1139",1.64535e-05,0.78772,0.777914,0.0625684,930,"False",0.000159318036585366,0.154296583740618,0.0170821400572209,0.285385838258403,0.285933651772624,1.04771434825597,0.974452230221434,0.545485029429376
"PLAGL2","PLAGL2","MA1548.1","4.10773",1.67455e-05,0.85584,0.846444,0.0617206,930,"False",0.000160191891566265,NA,NA,NA,NA,NA,NA,0.463531546009391
"ELF2","ELF2","MA1483.1","4.07774",1.8022e-05,0.797127,0.790052,0.0539305,930,"False",0.00017035080952381,3.67868709383811e-12,0.000550557409944469,NA,NA,NA,0.5868245754344,0.908071014187523
"ERG","ERG","MA0474.2","4.02802",2.21303e-05,0.855349,0.84857,0.0537106,930,"False",0.000206723037647059,NA,NA,NA,NA,NA,NA,NA
"PAX5","PAX5","MA0014.3","3.93832",3.41373e-05,0.819633,0.813171,0.0469767,930,"False",0.000315174606976744,NA,NA,NA,NA,NA,NA,NA
"Klf1","Klf1","MA0493.1","3.92782",3.63004e-05,0.872326,0.865753,0.0456959,930,"False",0.000331293305747126,NA,NA,NA,NA,NA,NA,NA
"ETS2","ETS2","MA1484.1","3.83702",5.02259e-05,0.855013,0.848397,0.0545833,930,"False",0.000453174597727273,0.44585198642316,0.383108184826108,NA,NA,NA,0.338498973129538,0.576760118198673
"CREB3L4","CREB3L4","MA1475.1","3.75813",6.85263e-05,0.786878,0.780213,0.0581835,930,"False",0.000611346991011236,NA,NA,NA,NA,NA,NA,NA
"ELF4","ELF4","MA0641.1","3.75611",7.05086e-05,0.786579,0.779983,0.054996,930,"False",0.000617478094505495,NA,NA,NA,NA,NA,NA,NA
"ETS1","ETS1","MA0098.3","3.75292",7.07689e-05,0.852698,0.846278,0.0547763,930,"True",0.000617478094505495,0.0277094862463311,0.00364508157153728,0.645169618814241,0.646783083282732,0.586921721259125,0.92349159644547,0.756565992420676
"Klf12","Klf12","MA0742.1","3.69426",9.24216e-05,0.815886,0.809666,0.0501439,930,"False",0.000797638591304348,0.00935045075252866,0.0517126788555227,NA,NA,NA,0.631603016957751,0.894700653714394
"GLIS1","GLIS1","MA0735.1","3.65145",0.000110984,0.706981,0.701599,0.0424281,930,"False",0.000942452659574468,4.39140704024171e-11,0.0065917324773616,0.753734695321017,0.755329782792218,-0.290234292067122,0.872841695034211,0.649807073238282
"TFAP2B","TFAP2B","MA0812.1","3.65265",0.000111575,0.860104,0.853532,0.0501767,930,"False",0.000942452659574468,NA,NA,NA,NA,NA,NA,NA
"ERF","ERF","MA0760.1","3.62229",0.000118998,0.837329,0.83128,0.054412,930,"False",0.000994572757894737,0.0300425814501729,0.166927784293228,0.605677040606972,0.606958728307776,0.614180698836712,0.163773530339404,0.119192288847875
"TFAP2A","TFAP2A","MA0810.1","3.60338",0.000139434,0.879396,0.873406,0.0417423,930,"False",0.001153235375,NA,NA,NA,NA,NA,NA,NA
"TFAP2C","TFAP2C","MA0814.2","3.52416",0.000184865,0.832151,0.825276,0.053968,930,"False",0.00151322484536082,NA,NA,NA,NA,NA,NA,NA
"Arnt","Arnt","MA0004.1","3.50749",0.000189412,0.869055,0.86117,0.0703947,930,"False",0.00153462375510204,0.0174937797992605,0.116806791524892,NA,NA,NA,0.652439793633765,0.744383070556009
"KLF13","KLF13","MA0657.1","3.40411",0.000285522,0.744221,0.739248,0.0433873,930,"False",0.00228994412121212,0.480951922188092,0.402985200935648,NA,NA,NA,0.803034632545519,0.850080875160929
"NFYA","NFYA","MA0060.3","3.34761",0.00034082,0.825953,0.818924,0.0688817,930,"False",0.0027061108,0.775043217150689,0.678386797817695,NA,NA,NA,0.609052322024312,0.289852380605596
"Plagl1","Plagl1","MA1615.1","3.34913",0.000356886,0.832698,0.825969,0.055804,930,"False",0.00280561865346535,0.00222497960109377,0.00256330808393796,0.366239923260334,0.36805733692327,0.476358653359398,0.574059391728259,0.323317315338056
"ZBTB7B","ZBTB7B","MA0694.1","3.32452",0.000384867,0.801485,0.796231,0.0463544,930,"False",0.00299592547058824,NA,NA,NA,NA,NA,NA,NA
"MZF1","MZF1","MA0057.1","3.296",0.000424601,0.914191,0.909997,0.038097,930,"False",0.00327313780582524,3.19730234362617e-07,0.309330485981304,0.233837622423147,0.235339862494739,-0.844672610786633,0.254434911662061,0.224199455645028
"NR2C2","NR2C2","MA0504.1","3.2182",0.000569609,0.827798,0.823751,0.0358038,930,"False",0.00434874563461538,0.402056473031875,0.277010757371613,NA,NA,NA,0.114398968750216,0.431767702098037
"Creb3l2","Creb3l2","MA0608.1","3.1806",0.000632583,0.836853,0.831136,0.056684,930,"False",0.0047835324,0.0158723034126972,0.206091571611561,NA,0.882434270648127,NA,0.898829011622573,0.705887891545886
"MYC","MYC","MA0147.3","3.16019",0.000687801,0.813743,0.807524,0.0596223,930,"False",0.00515201881132076,NA,NA,NA,NA,NA,NA,NA
"INSM1","INSM1","MA0155.1","3.11588",0.000811564,0.861363,0.857047,0.0402752,930,"False",0.00602225996261682,NA,NA,NA,NA,NA,NA,NA
"NFYC","NFYC","MA1644.1","3.07323",0.000909242,0.824287,0.817713,0.0701256,930,"False",0.00668461248148148,8.75764117179246e-06,0.117687433091877,NA,NA,NA,0.568302564047709,0.774288703643399
"ZBTB7C","ZBTB7C","MA0695.1","3.04393",0.0010337,0.826661,0.822194,0.0435155,930,"False",0.0075298880733945,0.000146387311627334,0.0615306436003341,0.841730009710151,0.842052380969885,-0.111113598555839,0.114819001187304,0.5207126601296
"RFX7","RFX7","MA1554.1","3.01282",0.00114664,0.888205,0.884452,0.0371745,930,"False",0.008276656,4.75428112184119e-16,8.69397897961777e-09,0.987787918336598,0.987147288608958,-0.0398052936003031,0.00633310070347821,0.182611734768356
"ETV3","ETV3","MA0763.1","2.99777",0.0011759,0.840662,0.835857,0.0525298,930,"False",0.00841139279279279,0.00250706931348498,0.00184111286956937,0.799273361705527,0.799619672407888,0.369060773288238,0.371919648238596,0.329456421841823
"Zic1","Zic1::Zic2","MA1628.1","2.86427",0.00189092,0.874701,0.869542,0.0512566,930,"False",0.0132866414159292,NA,NA,NA,NA,NA,NA,NA
"Zic2","Zic1::Zic2","MA1628.1","2.86427",0.00189092,0.874701,0.869542,0.0512566,930,"False",0.0132866414159292,NA,NA,NA,NA,NA,NA,NA
"TFAP2B","TFAP2B","MA0811.1","2.68984",0.00333384,0.861854,0.857551,0.0403215,930,"False",0.0232199031578947,NA,NA,NA,NA,NA,NA,NA
"ARNT2","ARNT2","MA1464.1","2.63766",0.0037584,0.809341,0.803892,0.06477,930,"False",0.0259493008695652,0.00354610784125982,1.38599278767853e-05,NA,NA,NA,0.670408312825888,0.208167241223543
"GCM2","GCM2","MA0767.1","2.61753",0.00405641,0.838912,0.835222,0.0407883,930,"False",0.0277654270689655,NA,NA,NA,NA,NA,NA,NA
"TFAP2C","TFAP2C","MA0524.2","2.59094",0.00448313,0.857784,0.853662,0.0401714,930,"False",0.0304239762393162,NA,NA,NA,NA,NA,NA,NA
"EWSR1-FLI1","EWSR1-FLI1","MA0149.1","2.45377",0.00649301,0.693213,0.688734,0.0550307,930,"False",0.0436902537288136,NA,NA,NA,NA,NA,NA,NA
"BHLHE40","BHLHE40","MA0464.2","2.41524",0.00717657,0.814598,0.809721,0.0639403,930,"False",0.0478840048739496,0.669000201118665,0.742857268372954,NA,NA,NA,0.454747857318843,0.690151744369153
"FERD3L","FERD3L","MA1485.1","2.39305",0.00773492,0.773826,0.770135,0.0453352,930,"False",0.0511793873333333,NA,NA,NA,NA,NA,NA,NA
"CREB3","CREB3","MA0638.1","2.37694",0.00803879,0.763938,0.760337,0.046267,930,"False",0.0524492970491803,5.45979393466241e-06,0.000337225825875713,0.997721109956083,0.997485546894885,-0.0104583215646815,0.0136105509309793,0.201241788735542
"GLIS3","GLIS3","MA0737.1","2.37885",0.00805896,0.74595,0.742723,0.0394554,930,"False",0.0524492970491803,0.00113076176103921,0.0990147522308275,NA,NA,NA,0.00843655978975234,0.170323349455618
"PAX1","PAX1","MA0779.1","2.32",0.00948503,0.751118,0.74848,0.032711,930,"False",0.0612285676422764,NA,NA,NA,NA,NA,NA,NA
"CREB3L1","CREB3L1","MA0839.1","2.28585",0.0103384,0.740461,0.73715,0.0434201,930,"False",0.0661991096774193,NA,NA,NA,NA,NA,NA,NA
"ZBTB6","ZBTB6","MA1581.1","2.28394",0.0104776,0.829992,0.826086,0.0483815,930,"True",0.0665537152,1.83098131187282e-07,0.000120975188511793,0.815459603392206,0.814873557520255,0.159862629846357,0.0828138588525227,0.187231212146549
"NR2F1","NR2F1","MA1538.1","2.25954",0.0109571,0.739936,0.736735,0.0458253,930,"False",0.0690471222222222,5.0177386185504e-05,6.18123333230923e-05,0.479015588816396,0.481125180661059,0.315331805315562,0.806733688274543,0.883657240569642
"PAX9","PAX9","MA0781.1","2.25104",0.0114119,0.725328,0.722568,0.0352656,930,"False",0.0713468393700787,NA,NA,NA,NA,NA,NA,NA
"SPDEF","SPDEF","MA0686.1","2.23335",0.0118701,0.805229,0.801715,0.0476927,930,"False",0.0736317140625,NA,NA,NA,NA,NA,NA,NA
"TCF12","TCF12","MA1648.1","2.21565",0.0126368,0.875655,0.871576,0.049273,930,"False",0.0777799937984496,2.79902146123809e-12,0.0739681105237214,0.116954792736043,0.117888843892195,-0.860530098897144,3.23544717402457e-06,0.00410320279775937
"GMEB2","GMEB2","MA0862.1","2.19226",0.0132001,0.816912,0.813104,0.0531815,930,"False",0.0806221492307692,0.523133859433627,0.60552972961011,NA,NA,NA,0.839814097126083,0.61220407766448
"NHLH1","NHLH1","MA0048.2","2.12499",0.0158327,0.832712,0.828809,0.0525065,930,"False",0.0959630824427481,NA,NA,NA,NA,NA,NA,NA
"Arntl","Arntl","MA0603.1","2.09244",0.0169496,0.821591,0.817467,0.0626171,930,"False",0.101954412121212,0.694379640861019,0.000823368228762307,NA,NA,NA,0.214997476352131,0.841664983265933
"REL","REL","MA0101.1","2.0563",0.0186028,0.872773,0.869717,0.046277,930,"False",0.111057317293233,0.896972540245189,0.505396308115061,NA,NA,NA,0.973806278358158,0.842363278575441
"NR2F6","NR2F6","MA1539.1","1.98309",0.022161,0.724917,0.722049,0.0464491,930,"False",0.131312194029851,7.83800112096831e-09,0.00260951776783122,0.38991214616334,0.391118562557093,-0.140495677843034,0.104761165026884,0.275348645125863
"NFKB2","NFKB2","MA0778.1","1.964",0.023516,0.759395,0.755761,0.0531179,930,"False",0.138308918518519,NA,NA,NA,NA,NA,NA,NA
"ZSCAN29","ZSCAN29","MA1602.1","1.92043",0.0258538,0.787275,0.784442,0.0456919,930,"False",0.150940567647059,0.679582845430388,0.665206009667339,NA,NA,NA,0.896394098685314,0.632310236549938
"MTF1","MTF1","MA0863.1","1.89883",0.0273623,0.731435,0.728912,0.0389602,930,"False",0.158581505109489,NA,NA,NA,NA,NA,NA,NA
