"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"RBPJ","RBPJ","MA1116.1","-0.451784",0.675165,0.886768,0.888201,0.0634513,392,"False",1,1.04115446992256e-08,1.25854462262146e-07,0.981432193557065,0.981488350650513,0.0162469708064852,0.138497752700214,0.988364721688265
"NFATC1","NFATC1","MA0624.1","-0.488249",0.688175,0.878627,0.879874,0.0491509,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXC9","HOXC9","MA0485.2","-0.50155",0.692858,0.777534,0.779078,0.0582153,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"ZEB1","ZEB1","MA0103.3","-0.525832",0.701313,0.872128,0.87369,0.0540848,392,"False",1,5.05221037183822e-28,8.94172595589434e-19,0.784205071381966,0.78431656764514,0.130103971622608,1.73018356532747e-09,0.00169795778748234
"STAT1","STAT1","MA0137.3","-0.533055",0.703841,0.824222,0.82571,0.0513067,392,"False",1,5.14316795836664e-22,1.09226405872005e-13,0.806137344885755,0.806039870300106,-0.187290317467321,0.000560816873840159,0.0251036674837417
"Esrrg","Esrrg","MA0643.1","-0.55168",0.710449,0.816327,0.81775,0.0519427,392,"False",1,6.36019654196936e-24,7.00702071035187e-15,0.922031913600157,0.922141744229997,0.0624714848703097,4.41425303263775e-05,0.115663718915783
"BCL6","BCL6","MA0463.2","-0.55937",0.713034,0.737744,0.738985,0.0435179,392,"False",1,1.76619089695212e-05,7.19727115465115e-05,0.604213911117766,0.603220741273213,0.0810961098733328,0.358328785439272,0.344180728106485
"RXRA","RXRA::VDR","MA0074.1","-0.582316",0.720886,0.754831,0.755991,0.0399614,392,"False",1,0.0253397830817513,0.0696143243971587,NA,NA,NA,0.175594717197463,0.771439033779531
"VDR","RXRA::VDR","MA0074.1","-0.582316",0.720886,0.754831,0.755991,0.0399614,392,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXD12","HOXD12","MA0873.1","-0.58819",0.722748,0.78178,0.783365,0.0509753,392,"False",1,NA,NA,NA,NA,NA,NA,NA
