"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"NR1D2","NR1D2","MA1532.1","-1.72503",0.957991,0.796114,0.800923,0.0306671,162,"False",1,1.51889046812041e-29,1.97566992061912e-16,0.925117529495916,0.925344185567835,0.0892274549975934,0.419063219897274,0.674599545464255
"POU4F3","POU4F3","MA0791.1","-1.72848",0.958326,0.698465,0.708699,0.0684241,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"NEUROG2","NEUROG2","MA1642.1","-1.73144",0.958577,0.82523,0.832284,0.0459633,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"Lhx8","Lhx8","MA0705.1","-1.73963",0.959317,0.854674,0.863363,0.0582914,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"FOXA3","FOXA3","MA1683.1","-1.74017",0.959347,0.803539,0.81337,0.0637931,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"Sox6","Sox6","MA0515.1","-1.77072",0.961942,0.855928,0.863219,0.0459265,162,"False",1,0.0441861778273404,0.00712724010435167,0.65728593452107,0.656620226595271,0.720068405233476,0.775915561683614,0.584874379515432
"JUNB","JUNB","MA0490.2","-1.77115",0.961998,0.758063,0.767068,0.0590646,162,"False",1,6.71748920319628e-11,3.8155471366722e-09,0.758629649188065,0.75942229034888,0.154754981778615,0.00544929074912458,0.15167485229194
"HOXB3","HOXB3","MA0903.1","-1.77599",0.962383,0.861446,0.870484,0.0574536,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"TCF7L2","TCF7L2","MA0523.1","-1.784",0.963063,0.806137,0.81315,0.0467775,162,"False",1,3.8083460947348e-05,0.00463977376569974,0.900598178079658,0.900542732090097,-0.0413434000956361,0.745276370968129,0.253468516339703
"FOXA1","FOXA1","MA0148.4","-1.78645",0.963217,0.777177,0.786924,0.0594908,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"GATA3","GATA3","MA0037.3","-1.78865",0.96339,0.853782,0.862595,0.0532714,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"NOTO","NOTO","MA0710.1","-1.80872",0.964969,0.840246,0.8494,0.0541863,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"Six3","Six3","MA0631.1","-1.81981",0.965852,0.723157,0.729997,0.0432497,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"GATA2","GATA2","MA0036.3","-1.82176",0.965971,0.809327,0.818733,0.0557922,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"MAFF","MAFF","MA0495.3","-1.82339",0.966107,0.736098,0.743798,0.0470509,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"MEOX1","MEOX1","MA0661.1","-1.84498",0.967694,0.826453,0.835225,0.0518889,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"BARX1","BARX1","MA0875.1","-1.84564",0.967787,0.869317,0.879305,0.0649898,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"SIX2","SIX2","MA1119.1","-1.84826",0.967966,0.730369,0.737451,0.0451518,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"CEBPG","CEBPG","MA1636.1","-1.84955",0.968033,0.752868,0.761107,0.0497385,162,"False",1,0.000137563926801565,0.000487892093467464,0.761784691042324,0.762430868162488,0.389663137417563,0.159244051803056,0.196821930139563
"TGIF1","TGIF1","MA0796.1","-1.86427",0.969113,0.688957,0.696999,0.0521284,162,"False",1,0.000346280104944965,0.00938198954010884,0.881534944139567,0.881312330490619,0.0367425955329484,0.0638329946629404,0.211376506535248
"HLF","HLF","MA0043.3","-1.86786",0.969352,0.761929,0.771213,0.0586624,162,"False",1,2.80326819902206e-20,3.63917625243371e-14,0.716166255839223,0.716736679560039,0.14123408930761,0.0559761997195386,0.257722142846824
"HOXB6","HOXB6","MA1500.1","-1.87395",0.969784,0.880004,0.887805,0.0503375,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"SOX2","SOX2","MA0143.4","-1.87928",0.970132,0.814189,0.823216,0.0561946,162,"False",1,0.310635494725755,0.160010797568856,NA,NA,NA,0.361661266714671,NA
"Stat6","Stat6","MA0520.1","-1.90068",0.971542,0.801109,0.809161,0.0480091,162,"False",1,0.347631231125761,0.549519116002549,NA,NA,NA,0.74456348868205,0.696324416429879
"FOXA2","FOXA2","MA0047.3","-1.90427",0.971773,0.79946,0.810188,0.063483,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"PKNOX2","PKNOX2","MA0783.1","-1.90492",0.971857,0.715237,0.723001,0.05025,162,"False",1,1.6646246222448e-19,3.23761850120408e-11,0.906447562050304,0.906408468791982,0.0664534710108268,0.646625064066225,0.254932422017009
"MEF2D","MEF2D","MA0773.1","-1.92131",0.972863,0.745213,0.756895,0.0691571,162,"False",1,3.7270350140841e-37,4.87682429844599e-24,0.937302122130042,0.937252628780653,-0.0631769767746317,9.00186362263848e-09,0.0152832230020046
"TCF7","TCF7","MA0769.2","-1.92454",0.97311,0.815977,0.825329,0.0609229,162,"False",1,2.54977013514057e-05,0.000317035877807838,0.911463683159329,0.911102551587798,0.104842307539739,0.961543680387776,0.855950598495664
"CEBPD","CEBPD","MA0836.2","-1.92711",0.97324,0.76791,0.776794,0.0543493,162,"False",1,3.76061616705065e-09,0.00162652807703534,0.635858440247454,0.635012071511032,-0.0790039083740929,0.593544308385582,0.69971837344919
"MZF1","MZF1","MA0056.2","-1.92704",0.973295,0.811902,0.819369,0.0513863,162,"False",1,0.00069309332204974,0.00573401190399135,NA,0.817979153094259,NA,0.386032968488004,0.0925578408036219
"PPARG","PPARG","MA0066.1","-1.9415",0.97409,0.735776,0.740964,0.0292103,162,"False",1,1.93450847097623e-23,1.30219110937832e-14,0.787533504463605,0.787374581503896,0.184752774588106,1.70252263064877e-06,0.0118963121032116
"HOXA1","HOXA1","MA1495.1","-1.94302",0.974207,0.859749,0.869061,0.0559188,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"RELA","RELA","MA0107.1","-1.98452",0.976617,0.817849,0.826197,0.050783,162,"False",1,0.0149342318487538,0.34873178822299,NA,NA,NA,0.213890538881729,0.5892990649623
"DMRTA2","DMRTA2","MA1478.1","-1.9924",0.97702,0.796706,0.804898,0.0460842,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"TBX20","TBX20","MA0689.1","-1.9927",0.977093,0.792867,0.800256,0.0476189,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXC4","HOXC4","MA1504.1","-2.01316",0.978116,0.871406,0.882558,0.0597032,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"PDX1","PDX1","MA0132.2","-2.01546",0.97824,0.848893,0.861063,0.0659164,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"NFE2L1","NFE2L1","MA0089.2","-2.01972",0.978427,0.729761,0.737551,0.0375263,162,"False",1,2.98746442816721e-32,1.48820883014659e-23,0.558911057735706,0.558116959788681,0.169074244241564,0.00636038444802971,0.412493095982493
"CREB1","CREB1","MA0018.4","-2.03449",0.97922,0.776008,0.786928,0.0600015,162,"False",1,0.203842840058736,0.164067012684051,NA,NA,NA,0.438563819938428,0.694495446885467
"MAFG","MAFG","MA0659.2","-2.03917",0.979455,0.740901,0.749157,0.0453815,162,"False",1,3.10062843832375e-07,7.49626885930417e-06,0.68506901964184,0.684763681333511,0.16870253369817,0.997485816632115,0.7146400647286
"FOXC2","FOXC2","MA0846.1","-2.06143",0.980524,0.806923,0.818261,0.0597541,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"POU3F3","POU3F3","MA0788.1","-2.07761",0.981292,0.749659,0.761638,0.0652268,162,"False",1,1.00836771383245e-09,4.56988987370376e-05,0.740958091444281,0.741568422466295,0.227937627910548,0.1742024245762,0.336250558424983
"TBXT","TBXT","MA0009.2","-2.14359",0.984151,0.692953,0.700128,0.0423871,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"JUN","JUN","MA0489.1","-2.15449",0.984548,0.791563,0.800788,0.049187,162,"False",1,1.508912433933e-17,2.46806570041244e-14,0.884159232342222,0.883946268755348,0.053288392672907,0.000533383968000846,0.112885154565561
"GATA4","GATA4","MA0482.2","-2.20176",0.986304,0.792645,0.802708,0.0540732,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"Foxl2","Foxl2","MA1607.1","-2.20754",0.986479,0.762416,0.774689,0.0592677,162,"False",1,NA,NA,NA,NA,NA,NA,NA
"MEIS3","MEIS3","MA0775.1","-2.24425",0.98773,0.877644,0.886699,0.0482702,162,"False",1,1.68076433326766e-11,2.97199100528655e-09,0.813140276984272,0.812682888257173,-0.112686105271641,2.21995068651551e-11,7.33930400989926e-06
"HOXA4","HOXA4","MA1496.1","-2.26799",0.988444,0.886238,0.895059,0.0421243,162,"False",1,NA,NA,NA,NA,NA,NA,NA
