"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ","diff_mesor_BHQ"
"KLF6","KLF6","MA1517.1","6.00858",8.5033e-10,0.900612,0.880258,0.0469278,295,"False",3.06891827272727e-08,0.734701345634589,0.68767627238193,NA,NA,NA,0.509268360060863,0.667488138803003,0.509268360060863
"NRF1","NRF1","MA0506.1","5.706",5.19835e-09,0.86778,0.844252,0.0633742,295,"False",1.79456082608696e-07,3.27021819603819e-06,0.151681117684159,NA,NA,NA,0.291124951068865,0.910530018183984,0.291124951068865
"TCFL5","TCFL5","MA0632.2","5.63116",7.98367e-09,0.85758,0.835763,0.0624403,295,"False",2.64126415833333e-07,0.503071333960818,0.946498457928511,NA,NA,NA,0.773359736245657,0.57996203594556,0.773359736245657
"EGR3","EGR3","MA0732.1","5.61849",8.73272e-09,0.801259,0.780667,0.0548226,295,"False",2.773511872e-07,0.931899948885277,0.332811309569395,NA,NA,NA,0.453960487135005,NA,0.453960487135005
"KLF10","KLF10","MA1511.1","5.57407",1.13685e-08,0.879489,0.861439,0.046865,295,"False",3.471765e-07,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB7A","ZBTB7A","MA0750.2","5.42546",2.5918e-08,0.848332,0.829929,0.0553564,295,"False",7.62181185185185e-07,1.02652146461004e-08,4.29478012571766e-07,0.496541238105794,0.499031780348777,0.401455401368414,0.0134068361578396,0.404503886701976,0.0134068361578396
"YY2","YY2","MA0748.2","5.39949",2.98945e-08,0.841585,0.821895,0.0604191,295,"False",8.47722607142857e-07,NA,NA,NA,NA,NA,NA,NA,NA
"E2F1","E2F1","MA0024.3","5.38974",3.19171e-08,0.784456,0.7698,0.0428149,295,"False",8.64806273333333e-07,NA,NA,NA,NA,NA,NA,NA,NA
"HES1","HES1","MA1099.2","5.38639",3.26753e-08,0.873086,0.85239,0.0590613,295,"False",8.64806273333333e-07,NA,NA,NA,NA,NA,NA,NA,NA
"ZIC5","ZIC5","MA1584.1","5.30278",5.28626e-08,0.789389,0.774101,0.0401302,295,"False",1.35396465806452e-06,NA,NA,NA,NA,NA,NA,NA,NA
