"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ","diff_mesor_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"Arntl","Arntl","MA0603.1","6.76493",4.54452e-12,0.835064,0.817467,0.0639285,528,"False",6.80820543396226e-11,0.694379640861019,0.000823368228762307,NA,NA,NA,0.214997476352131,0.841664983265933,0.214997476352131,NA,NA,NA,NA
"TFEC","TFEC","MA0871.2","6.71637",6.35313e-12,0.813077,0.79543,0.0649569,528,"False",9.34145411111111e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOHLH2","SOHLH2","MA1560.1","6.67078",9.42927e-12,0.819707,0.802357,0.0573518,528,"False",1.36124370545455e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGR2","EGR2","MA0472.2","6.62866",1.3568e-11,0.824058,0.808129,0.0459394,528,"False",1.92374857142857e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MLX","MLX","MA0663.1","6.57469",1.64715e-11,0.789396,0.77323,0.0627909,528,"False",2.29445105263158e-10,4.03519585761193e-09,0.000107010699210604,0.689313640510985,0.689910191553051,-0.0876032774033511,0.477332045124646,0.524765679705527,0.477332045124646,NA,NA,NA,NA
"GMEB2","GMEB2","MA0862.1","6.50639",2.73971e-11,0.82803,0.813104,0.0551589,528,"False",3.75056851724138e-10,0.523133859433627,0.60552972961011,NA,NA,NA,0.839814097126083,0.61220407766448,0.839814097126083,NA,NA,NA,NA
"CENPB","CENPB","MA0637.1","6.47036",3.72504e-11,0.793206,0.78272,0.0350807,528,"False",5.01301993220339e-10,3.27157912855731e-09,0.000564328840066553,0.883148430496944,0.883273393265773,-0.137749813406483,0.00307062785573352,0.190008692966558,0.00307062785573352,NA,NA,NA,NA
"GLIS1","GLIS1","MA0735.1","6.35506",7.99373e-11,0.71397,0.701599,0.0423264,528,"False",1.04482590163934e-09,4.39140704024171e-11,0.0065917324773616,0.753734695321017,0.755329782792218,-0.290234292067122,0.872841695034211,0.649807073238282,0.872841695034211,NA,NA,NA,NA
"EGR3","EGR3","MA0732.1","6.36539",8.027e-11,0.798133,0.780667,0.0509744,528,"False",1.04482590163934e-09,0.931899948885277,0.332811309569395,NA,NA,NA,0.453960487135005,NA,0.453960487135005,NA,NA,NA,NA
"KLF6","KLF6","MA1517.1","6.06243",5.53293e-10,0.895647,0.880258,0.0492587,528,"False",7.05931536507937e-09,0.734701345634589,0.68767627238193,NA,NA,NA,0.509268360060863,0.667488138803003,0.509268360060863,NA,NA,NA,NA
"TFAP2B","TFAP2B","MA0813.1","6.06107",5.60122e-10,0.831393,0.816155,0.0483209,528,"False",7.05931536507937e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGR1","EGR1","MA0162.4","6.03242",6.8658e-10,0.830925,0.812172,0.0557798,528,"False",8.517883125e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YY1","YY1","MA0095.2","5.95453",9.14181e-10,0.81243,0.796807,0.070213,528,"False",1.11670725230769e-08,0.0472173512656153,0.109903419665039,NA,NA,NA,0.927367548052344,0.443098219003713,0.927367548052344,0.627732509500388,0.969508128147537,NA,0.811269443848896
"TFAP2C","TFAP2C","MA0815.1","5.97979",9.36342e-10,0.825291,0.809526,0.0497362,528,"False",1.1264478e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zfx","Zfx","MA0146.2","5.94386",1.14577e-09,0.872112,0.855406,0.0559798,528,"False",1.35782295522388e-08,0.556800751944705,0.168063249296086,NA,NA,NA,0.0522166574196875,0.257445501097556,0.0522166574196875,NA,NA,NA,NA
"CREB3L4","CREB3L4","MA1474.1","5.88286",1.60857e-09,0.80706,0.795119,0.0439547,528,"False",1.87824202941176e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TFAP2A","TFAP2A","MA0872.1","5.78343",3.09698e-09,0.819914,0.804318,0.0511058,528,"False",3.5637711884058e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF11","KLF11","MA1512.1","5.75227",3.74082e-09,0.880649,0.865068,0.050979,528,"False",4.24315868571429e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Klf12","Klf12","MA0742.1","5.71166",4.56972e-09,0.822353,0.809666,0.0468528,528,"False",5.11036292957747e-08,0.00935045075252866,0.0517126788555227,NA,NA,NA,0.631603016957751,0.894700653714394,0.631603016957751,0.18893883639127,0.628059260060968,NA,0.968009836222104
"Ahr","Ahr::Arnt","MA0006.1","5.66469",5.97384e-09,0.929387,0.913397,0.0610486,528,"False",6.49757391780822e-08,1.5596867764787e-10,0.00575697917429244,0.715139405512206,0.716153926596011,-0.317537630122562,0.508364865099555,0.66163177394438,0.508364865099555,NA,NA,NA,NA
"Arnt","Ahr::Arnt","MA0006.1","5.66469",5.97384e-09,0.929387,0.913397,0.0610486,528,"False",6.49757391780822e-08,0.0174937797992605,0.116806791524892,NA,NA,NA,0.652439793633765,0.744383070556009,0.652439793633765,NA,NA,NA,NA
"MYCN","MYCN","MA0104.4","5.65693",6.17655e-09,0.802494,0.788166,0.0563601,528,"False",6.62727121621622e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SP8","SP8","MA0747.1","5.66217",6.36781e-09,0.883403,0.870403,0.0434981,528,"False",6.74138818666667e-08,0.0738561260032527,0.0233201675346577,0.489674303021828,0.491509014189112,0.610156461538826,0.254434911662061,0.3759277822583,0.254434911662061,NA,NA,NA,NA
"HEY2","HEY2","MA0649.1","5.65394",6.54272e-09,0.828355,0.814695,0.0487132,528,"False",6.83542063157895e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGR4","EGR4","MA0733.1","5.65163",6.73897e-09,0.792673,0.780201,0.0424943,528,"False",6.94901581818182e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLIS2","GLIS2","MA0736.1","5.62016",7.98232e-09,0.799455,0.7882,0.0402938,528,"False",8.12559241025641e-08,0.0818894312497024,0.617361657347814,0.987229232062437,NA,-0.19636386581106,0.758648691210538,0.552538839505653,0.758648691210538,NA,NA,NA,NA
"Creb3l2","Creb3l2","MA0608.1","5.55603",1.09304e-08,0.844308,0.831136,0.0550897,528,"False",1.09857437974684e-07,0.0158723034126972,0.206091571611561,NA,0.882434270648127,NA,0.898829011622573,0.705887891545886,0.898829011622573,NA,NA,NA,NA
"TFAP2E","TFAP2E","MA1569.1","5.56018",1.15544e-08,0.89172,0.876258,0.0525567,528,"False",1.1467742e-07,0.957860088784154,0.843546397076076,NA,NA,NA,0.383299289705684,0.249405103683996,0.383299289705684,NA,NA,NA,NA
"CTCFL","CTCFL","MA1102.2","5.50587",1.5725e-08,0.855803,0.839568,0.0565361,528,"False",1.54143827160494e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTCF","CTCF","MA0139.1","5.45978",1.93238e-08,0.789845,0.779428,0.0428102,528,"False",1.87110941463415e-07,4.84807928799479e-10,0.000677365593218238,0.980178453189282,0.97919213546869,0.035084249109359,0.224347289636522,0.0880201141891233,0.224347289636522,0.771502239191367,0.899747450097321,NA,0.811927095122464
"E2F6","E2F6","MA0471.2","5.46432",1.99403e-08,0.866012,0.852237,0.048313,528,"False",1.90754195180723e-07,0.0254386621253323,0.0057825017508549,NA,0.647651659585844,NA,0.544844919818492,0.533628725817631,0.544844919818492,NA,NA,NA,NA
"THAP11","THAP11","MA1573.1","5.2473",5.56962e-08,0.72692,0.713794,0.0724148,528,"False",5.264617e-07,0.153699636289666,0.0318758558656622,0.24533647959175,0.246751349953081,0.84212135827332,0.696745192032705,0.662535428630224,0.696745192032705,NA,NA,NA,NA
"ZNF460","ZNF460","MA1596.1","5.16903",1.00183e-07,0.794209,0.777914,0.0653397,528,"False",9.35827082352941e-07,0.154296583740618,0.0170821400572209,0.285385838258403,0.285933651772624,1.04771434825597,0.974452230221434,0.545485029429376,0.974452230221434,NA,NA,NA,NA
"Mlxip","Mlxip","MA0622.1","5.12446",1.22753e-07,0.840227,0.823892,0.0733069,528,"False",1.13332420930233e-06,0.01567056010237,0.0412464270132939,NA,NA,NA,0.919820957818775,0.584368247130429,0.919820957818775,NA,NA,NA,NA
"PAX5","PAX5","MA0014.3","5.12438",1.27311e-07,0.824272,0.813171,0.045031,528,"False",1.16189579310345e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIC5","ZIC5","MA1584.1","5.0341",2.07663e-07,0.784981,0.774101,0.0436439,528,"False",1.87368661363636e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
