GENE_SYMBOLS,refseq_ids
DYNLT3,NM_006520
PGM2L1,NM_173582
FJX1,NM_014344
ATP1A1,NM_000701
MAMDC2,NM_001347990
DRAP1,NM_006442
JAKMIP1,NM_001099433
SYT13,NM_001247987
PIP4P1,NM_001100814
FAM89B,NM_001098784
DSTN,NM_001011546
C12orf49,NA
THEM6,NM_001363000
PELI3,NM_001098510
FTH1,NM_002032
ZNF428,NM_182498
SCN2B,NM_004588
TMED9,NM_017510
EIF6,NM_001267810
EIF4G2,NM_001042559
RBMS3,NM_001003792
RPL7A,NM_000972
TMEM250,NM_001256526
HRAS,NM_001130442
GNG10,NM_001017998
ICMT,NM_012405
DUSP2,NM_004418
SYT11,NM_152280
LAMA3,NM_000227
STOML2,NM_001287031
NOP9,NM_001286367
JPT1,NM_001002032
B3GALT1,NM_020981
ARPP19,NM_001306191
HSBP1,NM_001537
NPM3,NM_006993
MANBAL,NM_001003897
CDK5R2,NM_003936
VPS35,NM_018206
VKORC1,NM_001311311
LRTM2,NM_001039029
ANAPC15,NM_001278485
MAGEH1,NM_014061
RPL41,NM_001035267
DEXI,NM_014015
PSMG3,NM_001134340
IDS,NM_000202
TCEAL8,NM_001006684
L3MBTL2,NM_001003689
SURF2,NM_001278928
ODC1,NM_001287188
GPR27,NM_018971
AKAP5,NM_004857
B3GNT2,NM_001319075
HMGA1,NM_001319077
CCDC106,NM_001370467
SNX29,NM_001009607
DIRAS1,NM_145173
TMEM35A,NM_021637
PSMD2,NM_001278708
H3F3B,NA
PPCDC,NM_001301101
MRPS12,NM_021107
PDE10A,NM_001130690
TUBA1A,NM_001270399
RND1,NM_014470
C6orf120,NM_001029863
CCT6A,NM_001009186
SUPT4H1,NM_003168
C22orf39,NM_001166242
GPRASP2,NM_001004051
PIANP,NM_001244014
FBXO45,NM_001105573
SLC39A3,NM_144564
TMSB10,NM_021103
CDKN2AIPNL,NM_080656
SNHG32,NM_001040437
FKBP1B,NM_001322963
RPS19BP1,NM_194326
FITM2,NM_001080472
XBP1,NM_001079539
MCM4,NM_005914
SEZ6L2,NM_001114099
BEX5,NM_001012978
GSK3A,NM_019884
SOD2,NM_000636
BAG5,NM_001015048
KCNJ9,NM_004983
DLC1,NM_001164271
SVIP,NM_001320340
RNLS,NM_001031709
TOMM40L,NM_001286373
MYDGF,NM_019107
ARL6IP1,NM_001313858
NEFM,NM_001105541
SH2D5,NM_001103160
RPLP0,NM_001002
CHST2,NM_004267
PMM1,NM_002676
ILF2,NM_001267809
HDDC3,NM_001286451
SYN3,NM_001135774
CISD3,NM_001136498
SLC1A6,NM_001272087
TMEM121,NM_001331238
PGRMC1,NM_001282621
FXYD6,NM_001164831
PNMA8B,NM_020709
PRR13,NM_001005354
SYVN1,NM_032431
ANTKMT,NM_001271285
KBTBD7,NM_032138
TMEM219,NM_001083613
SELENOM,NM_080430
TOLLIP,NM_001318512
CTSF,NM_003793
CREG2,NM_153836
UBXN6,NM_001171091
GPR12,NM_005288
C9orf16,NA
CAMKV,NM_001320147
TRAPPC4,NM_001318486
UBE2L6,NM_004223
MPI,NM_001289155
HAPLN4,NM_023002
PRDX3,NM_001302272
NCKIPSD,NM_016453
RHOB,NM_004040
MFSD3,NM_138431
SNRPE,NM_001304464
NPTN-IT1,NR_103844
PPP1CC,NM_001244974
ZPR1,NM_001317086
HSP90AA1,NM_001017963
HNRNPUL2,NM_001079559
DUSP4,NM_001394
SHC4,NM_203349
KAZN,NM_001017999
TTC9B,NM_152479
ZFAND5,NM_001102420
TOMM22,NM_020243
BTBD6,NM_001387567
RPS27,NM_001030
FKBP5,NM_001145775
ABHD14A,NM_015407
PKNOX1,NM_001286258
SLC22A17,NM_001289050
RANBP6,NM_001243202
CDK20,NM_001039803
BCAP31,NM_001139441
SLITRK1,NM_001281503
USP1,NM_001017415
H2AFZ,NA
GDE1,NM_001324066
ETS2,NM_001256295
SRPRA,NM_001177842
BCKDK,NM_001122957
RPS2,NM_002952
NGRN,NM_001033088
SPINT2,NM_001166103
ARF3,NM_001412914
DDX54,NM_001111322
GZF1,NM_001317012
TMEM183A,NM_001322955
SUMO3,NM_001286416
DIRAS2,NM_017594
FIBP,NM_004214
FNDC5,NM_001171940
RAB3A,NM_002866
CDKN2D,NM_001800
CTSB,NM_001317237
MRPL35,NM_001363782
NR4A3,NM_006981
KBTBD12,NM_001370224
KMO,NM_001410944
TIMM10,NM_012456
PNMA8C,NM_001386793
ZNF770,NM_014106
SNHG29,NM_152350
VPS18,NM_020857
CHCHD2,NM_001320327
ALDH1B1,NM_000692
KCTD17,NM_001282684
CELSR2,NM_001408
GPAA1,NM_003801
SF3A1,NM_001005409
DUSP7,NM_001947
SNU13,NM_001003796
C5orf24,NM_001135586
ARL6IP4,NM_001002251
IMP4,NM_001320304
MFSD5,NM_001170790
MPC2,NM_001143674
TIMM10B,NM_012192
CYC1,NM_001916
TFDP2,NM_001178138
SLC25A4,NM_001151
COA8,NM_001302652
DNA2,NM_001080449
FTL,NM_000146
BEX3,NM_001282674
C20orf27,NA
NOLC1,NM_001284388
RAC1,NM_006908
PNMA6A,NM_032882
SGTB,NM_019072
SCG5,NM_001144757
CD2BP2,NM_001243646
IER5,NM_016545
YKT6,NM_001363678
KCTD2,NM_015353
ANKRD30BL,NM_001024655
PYCR2,NM_001271681
ENO1,NM_001201483
CANX,NM_001024649
