"Gene_Symbols","p_cogdx","p_ceradsc","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","amplitude_cerad3to5","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad"
"TBC1D4","0.0861899027028473","0.418167554213901","5.94900393521744","4.70085448808236","5.87856152526966","6.2053340976955","25.5484243250974","16.6277348080572","24.2335210132998","24.4370655718187",0.397959991929677,1,0.998657205197301,1
"KCTD12","0.541660997230612","0.873444893037675","3.03343363350743","2.24695500434953","2.96363381281015","3.08950628373362","6.57027842520956","4.87108334533452","6.32385682001585","7.02485560646138",0.786175671338307,1,0.998657205197301,1
"SPRY2","0.182992840386873","0.0519000302342842","2.2370112691685","1.79764020327476","2.28200733349304","1.49951160526698","7.51448617387035","4.85930288651696","7.45736803292333","7.29926715847376",0.533947299350304,1,0.998657205197301,1
"SLITRK1","0.807438069101018","0.598604444715304","3.09811287030389","2.91751369464758","3.04741243605396","3.14453652428438","10.2088309557624","7.67274041301316","10.1679452671579","8.1231966549455",0.917227842893888,1,0.998657205197301,1
"GPC5","0.187027159688893","0.417797207641805","5.96581936852913","4.154499148272","5.92945010716012","0.146340134272786","30.1778596455953","25.7346339415341","28.9853683801306","18.6991813604291",0.539543454276282,1,0.998657205197301,1
"DNAJC3-DT","0.484553889247751","0.66523062646712","5.47456590607506","4.57224368809246","5.38160691981958","5.67774644381672","3.05943316968233","5.02547360774799","2.96744404374085","4.07217439180681",0.758501444076756,1,0.998657205197301,1
"OXGR1","0.136944728132535","0.53178434309936","2.97661390035578","3.34646274726997","2.92721905099329","3.09721246739002","0.847791607624725","1.85520746925298","0.850277063905971","1.18303384453305",0.47524574492365,1,0.998657205197301,1
"IPO5","0.324180107034955","0.333255566214364","2.80351346657189","2.55347345062898","2.75342590437839","3.02306208457201","29.2853981834574","18.3411081041723","28.6683150949908","26.7378337666602",0.656845697640804,1,0.998657205197301,1
"CLYBL","0.0259868939659047","0.812638080153088","6.25678329341928","4.54153883311037","6.22276750274656","0.0619786765641343","12.8922552924748","6.05213601790121","12.092096104838","11.4771398188298",0.240410460518723,1,0.998657205197301,1
"PCCA-DT","0.0918488807220895","0.880485317881893","6.01957890894807","4.44137221506649","6.00334940774466","6.15831837842193","3.32058553046962","2.61946907843433","3.13739641499971","3.2970629349589",0.406629543358143,1,0.998657205197301,1
"ITGBL1","0.0664110760072516","0.605450205708872","2.64488331015505","3.5776312705365","2.72363442245728","3.21746777128677","1.8123473412504","7.03730565730489","1.88447231492413","2.55736380726674",0.359421519379829,1,0.998657205197301,1
"FGF14","0.122681922479363","0.389594955837544","6.10349834618686","5.29484031111663","6.09177789881934","6.16606516245061","739.956596463828","379.535602981685","732.651333781944","538.97005099969",0.455672646839841,1,0.998657205197301,1
"FGF14-IT1","0.161484493414409","0.3697731345385","6.22342613929826","4.67976734511317","6.25153141951706","6.2232400328161","2.63051274123927","0.773068788922903","2.6592499794108","1.23556458661871",0.507142140391509,1,0.998657205197301,1
"TNFSF13B","0.637347848012646","0.502619340445565","5.29031551409212","4.65224410237765","5.16075767068399","5.78259314679184","12.3486870272898","19.7214137138316","12.8861987674041","14.54526328634",0.843202088424125,1,0.998657205197301,1
"MYO16","0.0361109181153929","0.629248765736249","6.05996224101119","4.103078646905","5.98599417747846","6.26382988539017","35.8131521646772","58.4770053922331","33.8259803104727","25.4552305328826",0.286545423455409,1,0.998657205197301,1
"ING1","0.362401771083555","0.3689126598132","3.72139397312166","4.2154032739151","3.74768078034559","4.01240740349309","2.44248246763598","2.20153581613207","2.51746732746756","1.15666195667599",0.682178619215843,1,0.998657205197301,1
"ANKRD10-IT1","0.439598796639134","0.674413440848018","5.97265096112218","0.369521237340608","5.93395584749062","0.0169902384956115","1.29192478289798","1.38240442749233","1.25078096869666","1.25125056379615",0.737786829934617,1,0.998657205197301,1
"LAMP1","0.152888815676481","0.431838481890235","3.02323826932461","2.76703317657462","3.02925096879385","2.86229671078317","22.1441253790241","13.1491270010748","21.8009091681948","17.9341225526652",0.498202128746471,1,0.998657205197301,1
"APEX1","0.29375166843936","0.805133936234837","2.92668826384359","3.24676594635873","2.92416808437772","3.01960344416996","6.93000493758023","10.5483015892803","7.11811994456445","6.87790378548984",0.631981641689368,1,0.998657205197301,1
"PIP4P1","0.647753365696512","0.974833226738952","3.1399142802666","2.73373569079719","3.11166338943367","3.15287796188861","6.32112933758633","4.45260212563128","6.18884020546974","6.16812001270286",0.848386918538284,1,0.998740768003497,1
"TOX4","0.142556559811491","0.242826977770415","2.92010026469588","2.92569421987414","2.94488750866117","2.8622400018515","9.07533365164642","4.74244193716714","9.11590906121792","5.51755949961023",0.484013345389437,1,0.998657205197301,1
"SALL2","0.886611134012895","0.631698639610565","3.27052643378908","3.36470145414648","3.21291803633437","3.37602358503611","3.26637796572782","4.18628534656282","3.14302496419097","3.97564225605405",0.957100878056877,1,0.998657205197301,1
"MRPL52","0.220395040959378","0.0429955638430074","3.14616578834942","3.79943992181155","3.03615170529613","3.82390892183173","3.08538160559664","2.10890796368154","2.9379786074499","3.25005534334562",0.57174229364125,1,0.998657205197301,1
"PSMB5","0.325558290920013","0.989400070250949","3.25510279058782","1.90397326353763","3.2466903722503","3.20852777130846","9.73063563036184","3.52733166125941","9.22624880619561","8.8651346850982",0.658278957458445,1,0.999185876850267,1
"C14orf119","0.610381745760819","0.135591918382166","2.95158986338065","3.18240386917599","2.82415532683777","3.32535152124782","2.22196406082041","3.38076182031634","2.24828294993841","2.66657519611782",0.828032175132613,1,0.998657205197301,1
"RNF212B","0.10027211243445","0.955324436296373","2.01809127237478","3.49449981809072","2.1467090496532","2.32838626442005","1.65641161888573","6.29543203215291","1.67452485231622","1.44644750358812",0.418407175427799,1,0.998657205197301,1
"BCL2L2","0.975115016224385","0.858248348930507","3.06975582970064","3.03404062880492","3.05754134656415","3.02156563535155","20.2024015577607","20.4636784906066","20.3874448625449","18.2338855633397",0.99111756613968,1,0.998657205197301,1
"SLC22A17","0.338909499142512","0.349267120694025","3.16425280724916","2.35671787971362","3.10069635206181","3.33741958495442","91.6528533648529","51.4262145351192","86.4355729049007","108.960810751337",0.668130836927,1,0.998657205197301,1
"MYH7","0.937922641887875","0.611780690071943","3.72207321758916","3.85196502711747","3.76266115974497","3.59842282383289","1.13051879070503","1.06326236689607","1.19381474347193","0.751082641172644",0.976719928150721,1,0.998657205197301,1
"CPNE6","0.603260833895728","0.875152166394928","2.34496572042251","1.49222357327798","2.26838105832683","2.04190834550834","3.5054634490663","4.43370286885285","3.58922167475186","3.0933115771938",0.825755446758028,1,0.998657205197301,1
"DCAF11","0.493899345739718","0.181691195132846","2.79354379342361","3.15466474621606","2.7316127739163","3.09101269504328","8.12023043731682","8.65529331708383","8.02172425197466","8.19825204216027",0.762458371343407,1,0.998657205197301,1
"PSME1","0.258881086835329","0.398611674921433","3.4329757649822","1.48450756170864","3.29105481213621","3.55583443858592","1.23488293892208","1.13763857117524","1.05543602233925","1.84483770681056",0.60280951309011,1,0.998657205197301,1
"MDP1","0.30541746210459","0.509894997865681","2.47506947087694","3.44983983148093","2.50955339154635","2.66030623610975","1.90834003888963","3.1918763904308","1.98074524776622","1.16114313877244",0.639562325038062,1,0.998657205197301,1
"NEDD8","0.99673206183696","0.0930230139995434","2.85774295294221","2.87288861774163","2.76474538832483","3.19502955384677","19.7437176067449","19.4950374392956","19.1661917821264","26.3404169079332",0.998487103768178,1,0.998657205197301,1
"GMPR2","0.969629042605775","0.36338666142382","3.06018680468585","3.16101088319173","3.02014318486682","3.34190854947302","3.76837431609916","3.95110181959858","3.75301343215702","3.8979516049324",0.988922548696882,1,0.998657205197301,1
"TINF2","0.245584913712576","0.518456687075034","2.93691480762185","3.36432506014845","2.9172715639109","3.13695697434924","3.45228607400118","5.62786190105754","3.49124896201636","3.50502806435983",0.594181753961634,1,0.998657205197301,1
"TGM1","0.309088043245916","0.833777405808006","5.73827183950091","4.10027099686599","5.79904697594891","5.76304303078529","0.629072921929083","0.733587221495348","0.548479951374866","0.758645018629502",0.644050360265454,1,0.998657205197301,1
"NOP9","0.0936291948300449","0.691888593697549","3.02429362861975","1.74390075810906","2.98647890787274","2.94641566659589","5.58854770282584","4.11703057393713","5.50573382539844","4.3324810966045",0.40969804446746,1,0.998657205197301,1
"LTB4R","0.195025191711771","0.283894365492137","6.01572998889559","4.13706638941969","5.95679318679411","0.223292085097333","0.876168401322877","1.02541462099323","0.868237877430558","0.312037305168015",0.547542969772574,1,0.998657205197301,1
"FOXG1","0.025729907736889","0.617552876540311","3.0641928020215","1.19664455481193","3.03573132634227","3.01776358819738","17.6764699975837","12.2354727639897","17.0666402099122","12.07373444932",0.240046174666985,1,0.998657205197301,1
"PRKD1","0.109417326206005","0.581166812188551","6.01820457457887","4.39225134614808","5.99460021612405","5.83029284099664","70.6365056137281","62.4148923231384","69.0530357260504","43.0895819360789",0.435487847113722,1,0.998657205197301,1
"COCH","0.326700863054877","0.946795505332261","2.69572320213159","3.47056070191848","2.78182352538087","2.66801021515602","1.03834109178018","1.87717360932478","1.01083764068573","1.05197424747204",0.658785950859728,1,0.998657205197301,1
"EGLN3","0.10506468564942","0.683248055010213","6.14736845754227","4.28556694735485","6.10839086759898","0.00779905606112659","5.49782098266248","4.8679549990315","5.28626715245726","4.04438921991089",0.428468805507265,1,0.998657205197301,1
"CFL2","0.864855923317654","0.552261409993698","3.26213743011247","3.22612603269426","3.1811370392754","3.38494421643279","7.57385856061689","8.61169012132488","7.44003648905209","8.04185193331829",0.947544343484651,1,0.998657205197301,1
"NFKBIA","0.605747301510811","0.760371940079278","4.45771658143004","6.15532970679398","4.4016906519666","4.8276727785646","4.24645908380718","2.66426691849342","4.10076492155128","4.38248476372105",0.826177459414062,1,0.998657205197301,1
"MIPOL1","0.224962711132825","0.686837177309069","5.87499110774298","5.30778284265789","5.89038169923468","5.78586247974051","63.9621617808474","37.5916528803184","62.8864783180369","49.6794270637199",0.572833209961403,1,0.998657205197301,1
"TTC6","0.80184503363863","0.602568825361073","3.43334053820783","3.97199538119598","3.4308333990152","1.49164103088037","6.16737567645675","5.43034704411301","6.1205092833359","0.553284370755889",0.915954346789667,1,0.998657205197301,1
"SSTR1","0.9929982155099","0.828414458266235","3.1026646472493","3.07263402797101","3.06122161158457","3.13055726899735","5.76522597783862","5.8121213508542","5.76785173638306","5.01064401166988",0.996808164093359,1,0.998657205197301,1
