"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"JUND (mouse)",0.643404297579071,0.914760914760915,0.40339308373278,"['FIS1', 'GALNT13', 'TUBB3', 'LRRC6']",0.997467786331646,0,0,4,"JUND",0.997467786331646,0.00652683745910033,0.00204700602110751,0.93415829881836,0.936643983782849,0.24087168856251,0.805984440885129,0.996926631576978,0.125047817580638,0.634573841963653,NA,0.794448381561388
"Nkx2-5 (mouse)",0.645040651480611,1.00213903743316,0.439379782340031,"['RPL21']",0.997467786331646,0,0,1,"Nkx2-5",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RELB (human)",0.653737444222256,0.901538461538462,0.383198444870283,"['TOMM7', 'ABCA7', 'CKLF', 'TMSB10']",0.997467786331646,0,0,4,"RELB",0.997467786331646,0.606731894908083,0.317686354066459,NA,NA,NA,0.795859038015992,0.920070323927514,NA,NA,NA,NA
"EGR1 (mouse)",0.663878549002953,0.888663967611336,0.364046574626689,"['GADD45GIP1', 'SLC6A6', 'ABCB4', 'SLC4A2']",0.997467786331646,0,0,4,"EGR1",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHR (mouse)",0.66507860811248,0.945454545454545,0.385603671935722,"['ABCA7']",0.997467786331646,0,0,1,"AHR",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HNF4A (human)",0.674095872394741,0.884210526315789,0.348717541886523,"['ARHGAP9', 'RPL34', 'NDUFB2', 'LRRC6', 'TBC1D17', 'TMSB10']",0.997467786331646,0,0,6,"HNF4A",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NFKB1 (human)",0.680351679484193,0.891653103929319,0.343416125960612,"['ADCY9', 'TEF', 'TUBB3', 'SNRPE', 'ABCA7', 'SLC4A2', 'TBC1D17', 'RPL10A', 'CKLF', 'GALNT10']",0.997467786331646,0,0,10,"NFKB1",0.997467786331646,0.587567475598372,0.727316273007724,NA,NA,NA,0.946033039661953,0.94948959310235,0.651094097430347,0.876243297421722,NA,0.99089712194382
"ETS1 (human)",0.696009077087969,0.883636363636364,0.32022325889581,"['TIMM8B', 'ARHGAP9', 'SLC6A6', 'TUBB3', 'MGST1', 'TOMM7', 'LRRC6', 'SNHG6', 'LTBR', 'RPL26', 'RPL10A', 'HCN1']",0.997467786331646,0,0,12,"ETS1",0.997467786331646,0.560092424979624,0.764976770413016,NA,NA,NA,0.915899847354454,0.999790090091945,NA,NA,NA,NA
"ETS1 (mouse)",0.702488581470187,0.840384615384615,0.296761768657786,"['FIS1', 'ADCY9', 'SNRPE', 'TMSB10']",0.997467786331646,0,0,4,"ETS1",0.997467786331646,0.560092424979624,0.764976770413016,NA,NA,NA,0.915899847354454,0.999790090091945,NA,NA,NA,NA
"NR1I2 (human)",0.705058258544287,0.828642128054439,0.289589577895883,"['GADD45GIP1', 'TEF', 'RPL10A']",0.997467786331646,0,0,3,"NR1I2",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
