"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"NFIC (human)",0.716428041501704,0.887506518661998,0.29596342607363,"['C11ORF95', 'SYT4', 'LYPD1', 'NR2F2', 'DNAJC28', 'ADAMTS5', 'TTC30B', 'TMEM98', 'C12ORF49', 'CHEK2', 'MMRN2', 'C18ORF54', 'CLNK', 'HLA-DRA', 'TNFSF9', 'HORMAD1', 'NUPR1', 'GAL3ST3', 'FERMT3']",0.94962776922441,0,0,19,"NFIC",0.94962776922441,3.73093590121451e-16,1.39297506557345e-07,0.818476583769866,0.817190798898952,0.0814151928728418,0.0281512682236517,0.816377479084564,0.512555377113181,0.811313715497116,NA,0.274939862818154
"IKZF1 (human)",0.721826949844717,0.834424335772045,0.271997175962701,"['C1QB', 'MAVS', 'DCAKD', 'HORMAD1', 'FUT2', 'SLC26A6']",0.94962776922441,0,0,6,"IKZF1",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USF2 (human)",0.722669596466547,0.88140744938437,0.286283916828909,"['HOMER1', 'TMEM200C', 'LYPD1', 'AMPD2', 'RAB3IL1', 'NR2F2', 'FUT2', 'C1ORF53', 'SLC5A3', 'USP19', 'DNAJC28', 'SCNN1G', 'ADORA2A', 'NUPR1', 'KPTN', 'GAL3ST3', 'CARD14', 'SLC26A6']",0.94962776922441,0,0,18,"USF2",0.94962776922441,0.0951380888237865,0.710972863716659,NA,NA,NA,0.357597789605213,0.843078441929372,0.705703653783413,0.81125149684925,NA,0.806038635050613
"NR5A1 (human)",0.733595652756329,0.822464226921616,0.254797183656319,"['IFITM3', 'ENPEP', 'DIAPH3', 'C2ORF16', 'SLC38A3', 'SLC5A3']",0.94962776922441,0,0,6,"NR5A1",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPIB (human)",0.740549918923475,0.778655208454303,0.233878618776319,"['TMEM98', 'CDHR2', 'OR6A2']",0.94962776922441,0,0,3,"SPIB",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RELA (mouse)",0.745052717984206,0.826630222569309,0.243277523079122,"['C1QB', 'SVOPL', 'HOMER1', 'COL5A1', 'ERG', 'KPTN', 'SLC26A6', 'RBMS2']",0.94962776922441,0,0,8,"RELA",0.94962776922441,0.126716491736631,0.0431649051103596,0.57367488279371,0.569732190582124,0.890991964365854,0.321014294066414,0.721934112624158,0.824840308810098,0.811313715497116,NA,0.996681573002696
"CREM (human)",0.748076004430334,0.768577981651376,0.223080294080489,"['DCUN1D3', 'ZNF511', 'CARD14']",0.94962776922441,0,0,3,"CREM",0.94962776922441,0.000688485339097018,0.0191417939344255,NA,NA,NA,0.800361390112003,0.351162770782401,NA,NA,NA,NA
"SND1 (human)",0.749701698627547,0.814857142857143,0.234743953417586,"['PLEKHF1', 'TTC30B', 'COL5A1', 'RAB24', 'AMPD2', 'AXDND1', 'CARD14']",0.94962776922441,0,0,7,"SND1",0.94962776922441,1.18828213073786e-10,1.42141256283925e-06,0.922280649112291,0.920616223008333,0.108319915656157,2.15518166729569e-05,0.0120199180637375,0.740094102048453,0.850003844920546,NA,0.992979544086396
"CREB1 (human)",0.752526908336259,0.845724122251453,0.2404550344982,"['NTNG1', 'IL1R1', 'PTGS2', 'NUDT16L1', 'MCHR1', 'PPCDC', 'COL5A1', 'HORMAD1', 'NUPR1', 'KPTN', 'GAL3ST3', 'CARD14', 'PCK2']",0.94962776922441,0,0,13,"CREB1",0.94962776922441,0.000111100418808146,0.000284304991876731,NA,NA,NA,0.0298309116879616,0.971257851830633,0.347169342748563,0.747950401575455,NA,0.529142979951732
"TEAD4 (human)",0.759181650305212,0.785046728971963,0.216291522873579,"['C11ORF95', 'SALL1', 'DCAKD', 'SLC38A3', 'GAL3ST3']",0.94962776922441,0,0,5,"TEAD4",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CREB1 (mouse)",0.762611064577257,0.749160886104274,0.203027936141866,"['SLC14A1', 'MARS2', 'AMPD2']",0.94962776922441,0,0,3,"CREB1",0.94962776922441,0.000111100418808146,0.000284304991876731,NA,NA,NA,0.0298309116879616,0.971257851830633,0.347169342748563,0.747950401575455,NA,0.529142979951732
"ZNF281 (human)",0.762611064577257,0.749160886104274,0.203027936141866,"['SALL1', 'PLEKHF1', 'RAB3IL1']",0.94962776922441,0,0,3,"ZNF281",0.94962776922441,0.036858892008089,0.00067485378063373,0.450207944315965,0.448941003023934,0.94677025350591,0.689196293053921,0.450803524835248,NA,NA,NA,NA
