"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"Foxo1","Foxo1","MA0480.1","-1.01876",0.846815,0.827765,0.831147,0.057464,288,"False",1,0.45623111883309,0.954034022836514,NA,NA,NA,0.599387356437057,0.632985622258138
"TEAD1","TEAD1","MA0090.3","-1.0215",0.847324,0.789413,0.792671,0.0510403,288,"False",1,0.284903305426061,0.620874960358228,NA,NA,NA,0.882735460577027,0.995397726935177
"Atoh1","Atoh1","MA0461.2","-1.02287",0.847785,0.820556,0.823517,0.0500544,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"GATA2","GATA2","MA0036.3","-1.02593",0.848432,0.814752,0.818733,0.064439,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"PAX7","PAX7","MA0680.1","-1.0281",0.848858,0.714193,0.718947,0.072996,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"POU1F1","POU1F1","MA0784.1","-1.03217",0.849862,0.729069,0.733381,0.067954,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"PAX4","PAX4","MA0068.2","-1.03288",0.850173,0.811335,0.81558,0.0722288,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXA1","HOXA1","MA1495.1","-1.03469",0.850589,0.865333,0.869061,0.0631223,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXC8","HOXC8","MA1505.1","-1.03667",0.851018,0.868388,0.871986,0.0598099,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"MEF2D","MEF2D","MA0773.1","-1.03845",0.851377,0.75215,0.756895,0.0764381,288,"False",1,0.628206867806569,0.134239794251456,NA,NA,NA,0.912130424246269,0.995397726935177
"ISX","ISX","MA0654.1","-1.03914",0.851515,0.836517,0.841417,0.0778714,288,"False",1,NA,NA,NA,NA,NA,NA,NA
