TF_NAME,Pscan_TERM,MATRIX_ID,Z_SCORE,P_VALUE,SAMPLE_AVERAGE,BACKGROUND_AVERAGE,SAMPLE_DEVSTD,SAMPLE_SIZE,In_original_list,FDR
NFE2L1,NFE2L1,MA0089.2,-0.775509,0.781053,0.731381,0.737551,0.0382838,38.0,False,0.9808576972010178
JUN,JUN,MA0488.1,-0.780356,0.782535,0.787616,0.794577,0.0571583,38.0,False,0.9808576972010178
MGA,MGA,MA0801.1,-0.781345,0.782832,0.850294,0.856725,0.0540828,38.0,False,0.9808576972010178
ZNF263,ZNF263,MA0528.2,-0.786369,0.784263,0.848425,0.856546,0.0553214,38.0,False,0.9808576972010178
Dlx3,Dlx3,MA0880.1,-0.786874,0.784424,0.860628,0.869648,0.0657561,38.0,False,0.9808576972010178
HOXA7,HOXA7,MA1498.1,-0.791722,0.785865,0.867024,0.874915,0.0637233,38.0,False,0.9808576972010178
TBX18,TBX18,MA1565.1,-0.794956,0.786834,0.809696,0.815464,0.0512136,38.0,False,0.9808576972010178
ALX3,ALX3,MA0634.1,-0.796124,0.787132,0.823885,0.8326,0.0658611,38.0,False,0.9808576972010178
ATF4,ATF4,MA0833.2,-0.797306,0.787489,0.755562,0.762907,0.0587017,38.0,False,0.9808576972010178
GBX1,GBX1,MA0889.1,-0.797656,0.787587,0.808761,0.817305,0.0671868,38.0,False,0.9808576972010178
POU4F1,POU4F1,MA0790.1,-0.800677,0.788394,0.718629,0.728739,0.0516181,38.0,False,0.9808576972010178
Wt1,Wt1,MA1627.1,-0.801241,0.788571,0.820791,0.828844,0.046426,38.0,False,0.9808576972010178
SCRT1,SCRT1,MA0743.2,-0.803114,0.78914,0.7529,0.759067,0.0422115,38.0,False,0.9808576972010178
DLX6,DLX6,MA0882.1,-0.803202,0.789174,0.860133,0.869207,0.0650594,38.0,False,0.9808576972010178
GSX1,GSX1,MA0892.1,-0.804364,0.7895,0.858263,0.865483,0.049043,38.0,False,0.9808576972010178
Lhx4,Lhx4,MA0704.1,-0.805996,0.789972,0.842751,0.85153,0.0599298,38.0,False,0.9808576972010178
TCF7,TCF7,MA0769.2,-0.807855,0.790523,0.817237,0.825329,0.0594919,38.0,False,0.9808576972010178
CENPB,CENPB,MA0637.1,-0.811673,0.791594,0.777846,0.78272,0.0309307,38.0,False,0.9808576972010178
Hand1,Hand1::Tcf3,MA0092.1,-0.814361,0.792384,0.875578,0.880692,0.0359761,38.0,False,0.9808576972010178
Tcf3,Hand1::Tcf3,MA0092.1,-0.814361,0.792384,0.875578,0.880692,0.0359761,38.0,False,0.9808576972010178
FOXH1,FOXH1,MA0479.1,-0.819696,0.793908,0.812546,0.8201,0.0527584,38.0,False,0.9808576972010178
PRRX2,PRRX2,MA0075.3,-0.820092,0.794025,0.802423,0.8135,0.0786701,38.0,False,0.9808576972010178
HOXB2,HOXB2,MA0902.2,-0.82046,0.794135,0.865048,0.873685,0.0628754,38.0,False,0.9808576972010178
DLX5,DLX5,MA1476.1,-0.829785,0.796769,0.821736,0.833255,0.0778305,38.0,False,0.9808576972010178
Sox11,Sox11,MA0869.1,-0.834061,0.797975,0.648589,0.656775,0.0545721,38.0,False,0.9808576972010178
SOX2,SOX2,MA0143.4,-0.842914,0.800433,0.814869,0.823216,0.0464812,38.0,False,0.9808576972010178
E2F6,E2F6,MA0471.2,-0.845604,0.801166,0.844328,0.852237,0.037585,38.0,False,0.9808576972010178
EN2,EN2,MA0642.1,-0.847214,0.8017,0.85748,0.86434,0.0535857,38.0,False,0.9808576972010178
Sox5,Sox5,MA0087.1,-0.859969,0.805187,0.853427,0.863871,0.0642782,38.0,False,0.9808576972010178
TFAP4,TFAP4,MA1570.1,-0.86049,0.805353,0.854274,0.860875,0.0456383,38.0,False,0.9808576972010178
DUXA,DUXA,MA0884.1,-0.861912,0.805695,0.776619,0.785032,0.0429953,38.0,False,0.9808576972010178
Arid3a,Arid3a,MA0151.1,-0.864998,0.80661,0.878258,0.890637,0.0916403,38.0,False,0.9808576972010178
ESRRB,ESRRB,MA0141.3,-0.866872,0.807072,0.763745,0.771515,0.0440821,38.0,False,0.9808576972010178
ZNF317,ZNF317,MA1593.1,-0.86881,0.807614,0.788872,0.796164,0.044198,38.0,False,0.9808576972010178
BACH2,BACH2,MA1470.1,-0.879738,0.810563,0.688558,0.694831,0.0313218,38.0,False,0.9808576972010178
JUN,JUN::JUNB,MA1132.1,-0.882762,0.811401,0.810496,0.817917,0.0425692,38.0,False,0.9808576972010178
JUNB,JUN::JUNB,MA1132.1,-0.882762,0.811401,0.810496,0.817917,0.0425692,38.0,False,0.9808576972010178
ZNF274,ZNF274,MA1592.1,-0.883014,0.811518,0.769978,0.775754,0.0421337,38.0,False,0.9808576972010178
VSX2,VSX2,MA0726.1,-0.885335,0.812116,0.809095,0.820343,0.0724602,38.0,False,0.9808576972010178
Msx3,Msx3,MA0709.1,-0.895109,0.814753,0.834014,0.845244,0.076058,38.0,False,0.9808576972010178
NFIX,NFIX,MA0671.1,-0.89705,0.815284,0.925005,0.93025,0.037251,38.0,False,0.9808576972010178
Mafb,Mafb,MA0117.2,-0.899521,0.815903,0.805955,0.812943,0.0409887,38.0,False,0.9808576972010178
