"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"TCF21","TCF21","MA1568.1","-1.10607",0.866518,0.80803,0.810428,0.0355828,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"GATA6","GATA6","MA1104.2","-1.10982",0.867519,0.774872,0.778888,0.0656785,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"POU4F1","POU4F1","MA0790.1","-1.11294",0.868109,0.723847,0.728739,0.0766738,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"GATA5","GATA5","MA0766.2","-1.11375",0.868396,0.84278,0.846353,0.0590817,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"PAX3","PAX3","MA0780.1","-1.11536",0.868795,0.724238,0.72919,0.0837885,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"SMAD3","SMAD3","MA0795.1","-1.11697",0.868938,0.749653,0.752813,0.0484895,316,"False",1,5.15845114541239e-05,0.0195287456167577,0.990113802316206,0.989849502884552,0.0369736585940141,0.950928949579823,0.988109310598121
"HOXC11","HOXC11","MA0651.1","-1.13178",0.872165,0.787197,0.790853,0.0579966,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"Foxd3","Foxd3","MA0041.1","-1.13568",0.873028,0.835859,0.840069,0.0679818,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"TGIF2","TGIF2","MA0797.1","-1.14901",0.875654,0.727625,0.730896,0.048697,316,"False",1,0.00184760827248261,0.778754516546014,0.771839976036446,0.780138091458573,-0.83964211974154,0.960453377877969,0.980551156905643
"NKX2-3","NKX2-3","MA0672.1","-1.15018",0.875982,0.859674,0.862678,0.046716,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"POU3F1","POU3F1","MA0786.1","-1.15145",0.876239,0.771967,0.776844,0.0756078,316,"False",1,0.0222676319887945,0.862712852240526,0.829772610285603,0.838154831452626,-0.869859985020759,0.49572356058125,0.417895286028915
"Nkx3-2","Nkx3-2","MA0122.3","-1.15339",0.876679,0.771733,0.775699,0.0626451,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"Arid3a","Arid3a","MA0151.1","-1.15466",0.876916,0.884885,0.890637,0.0898118,316,"False",1,0.0387319930184728,0.0816325314768552,0.84895618234814,0.856258655167873,0.34824579537513,0.0501320728006155,0.0419760814503091
"POU6F1","POU6F1","MA1549.1","-1.16154",0.87822,0.82996,0.833784,0.0564384,316,"False",1,0.0694087897575998,0.440634807400933,NA,NA,NA,0.840514482698236,0.906482497265966
"TEAD1","TEAD1","MA0090.3","-1.16303",0.878661,0.789126,0.792671,0.0560169,316,"False",1,3.07415301753891e-07,0.00512243136858045,0.756655516886529,0.766580639422017,0.0243272901873152,0.00302555863565122,0.022638980262479
"FOXL1","FOXL1","MA0033.2","-1.16573",0.879169,0.877579,0.88206,0.0693935,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"TBX21","TBX21","MA0690.1","-1.16708",0.879539,0.796261,0.799524,0.0528063,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"POU4F2","POU4F2","MA0683.1","-1.1709",0.880175,0.681113,0.685626,0.0684255,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"POU3F2","POU3F2","MA0787.1","-1.17758",0.881529,0.762386,0.767246,0.073948,316,"False",1,0.00085702782044343,0.0179744784005721,0.872857606622873,0.878604922520574,0.154023318740807,0.609164709082908,0.979939034883824
"CEBPG","CEBPG","MA0838.1","-1.18377",0.882742,0.771946,0.775369,0.0514204,316,"False",1,0.0837527586311,0.219227980612936,0.959094028038934,0.959153344284077,0.143708176731684,0.963827713887383,0.972978071362694
"HMBOX1","HMBOX1","MA0895.1","-1.1851",0.883159,0.828412,0.83189,0.0560958,316,"False",1,1.29250481852223e-07,2.78827576935757e-05,0.66317096678645,0.665742351608418,0.36160932636254,0.0164365643560467,0.033581078121431
"HOXC10","HOXC10","MA0905.1","-1.18775",0.883577,0.82321,0.827346,0.0634254,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"Pou5f1","Pou5f1::Sox2","MA0142.1","-1.18761",0.883649,0.745227,0.749041,0.0612632,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"Sox2","Pou5f1::Sox2","MA0142.1","-1.18761",0.883649,0.745227,0.749041,0.0612632,316,"False",1,0.000218318651694284,0.258759275052389,0.515993456745991,NA,-0.116642296761977,0.912417500092168,0.724769227878771
"PITX1","PITX1","MA0682.2","-1.19256",0.884479,0.843923,0.848458,0.0679207,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"TCF7L1","TCF7L1","MA1421.1","-1.19664",0.885178,0.763894,0.767411,0.0498975,316,"False",1,1.78615492386166e-05,0.0718305110420511,0.483206774345032,0.458169793427406,-0.427595927719571,0.927182845932901,0.814885047220339
"TBX2","TBX2","MA0688.1","-1.20302",0.886582,0.816319,0.819378,0.0470111,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"ATOH1","ATOH1","MA1467.1","-1.20562",0.886867,0.826764,0.83003,0.0446811,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"TBX19","TBX19","MA0804.1","-1.207",0.887248,0.680139,0.682991,0.0415584,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"LEF1","LEF1","MA0768.1","-1.20792",0.887492,0.741205,0.744781,0.053849,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"Nr2f6","Nr2f6","MA0677.1","-1.21506",0.888702,0.741351,0.744364,0.0415748,316,"False",1,0.466310874791439,0.231327534944188,NA,NA,NA,0.535531709662165,0.804653325676906
"Rxra","Rxra","MA0512.2","-1.21498",0.888728,0.71978,0.722924,0.0443972,316,"False",1,9.28769040523331e-06,0.00474500000724265,0.954714451479705,0.95452713909748,-0.0180692110368137,0.551285844498922,0.93803969239934
"NR4A2","NR4A2::RXRA","MA1147.1","-1.22256",0.890072,0.770988,0.773537,0.0338951,316,"False",1,0.627758796239039,0.563687502474084,NA,NA,NA,0.0436097723954286,0.75707089554291
"RXRA","NR4A2::RXRA","MA1147.1","-1.22256",0.890072,0.770988,0.773537,0.0338951,316,"False",1,9.28769040523331e-06,0.00474500000724265,0.954714451479705,0.95452713909748,-0.0180692110368137,0.551285844498922,0.93803969239934
"FOXA2","FOXA2","MA0047.3","-1.22187",0.890146,0.805246,0.810188,0.073481,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"PDX1","PDX1","MA0132.2","-1.23469",0.892568,0.855709,0.861063,0.0796506,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"TWIST1","TWIST1","MA1123.2","-1.23844",0.893218,0.812908,0.816578,0.0532742,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"MSC","MSC","MA0665.1","-1.24648",0.894609,0.804988,0.808316,0.0458287,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"PPARD","PPARD","MA1550.1","-1.24694",0.894727,0.749904,0.75284,0.0411391,316,"False",1,0.483069263677055,0.818739689630508,NA,NA,NA,0.214872445150905,0.330984272092661
"EOMES","EOMES","MA0800.1","-1.24664",0.894844,0.782405,0.785714,0.0504613,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"FOXI1","FOXI1","MA0042.2","-1.2495",0.895295,0.844259,0.849178,0.0724314,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"SRY","SRY","MA0084.1","-1.25226",0.89584,0.870123,0.874533,0.06606,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"NFATC4","NFATC4","MA1525.1","-1.25772",0.896824,0.85814,0.861923,0.0563496,316,"False",1,0.000325584177647994,0.0220101482843225,0.521296616648109,0.511305819164506,-0.249308406234516,0.107428582843978,0.381426827547125
"FOXD2","FOXD2","MA0847.2","-1.25876",0.89698,0.808097,0.812352,0.0623793,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"Foxl2","Foxl2","MA1607.1","-1.26861",0.898672,0.769625,0.774689,0.0710213,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"NR2F1","NR2F1","MA1538.1","-1.27374",0.899489,0.733672,0.736735,0.0406867,316,"False",1,0.250504035093693,0.758322059074323,NA,NA,NA,0.0226514761041954,0.131649333077433
"Alx1","Alx1","MA0854.1","-1.2811",0.900959,0.738585,0.743078,0.0650417,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"E2F3","E2F3","MA0469.3","-1.28431",0.901365,0.690195,0.69333,0.0417849,316,"False",1,0.0220539744504062,0.000313571095213547,0.55272005064732,0.549156818774005,0.72664497220732,0.896447448931716,1
"TCF7L2","TCF7L2","MA0523.1","-1.28432",0.90143,0.809527,0.81315,0.0499816,316,"False",1,7.49846669104032e-06,0.153129393058632,NA,NA,NA,0.318069881176626,0.620668833477584
"ESRRA","ESRRA","MA0592.3","-1.29027",0.902363,0.772276,0.776198,0.0508457,316,"False",1,0.0179738036133226,0.498302778287886,0.764893821627456,0.77347743199347,-0.776531124354841,0.872649137553663,0.830360136359944
"SOX15","SOX15","MA1152.1","-1.2961",0.903586,0.862407,0.866958,0.0659919,316,"False",1,0.265713992512374,0.986368268259002,NA,NA,NA,0.980533723080236,1
"TP73","TP73","MA0861.1","-1.30137",0.90415,0.739617,0.74256,0.0350441,316,"False",1,NA,NA,NA,NA,NA,NA,NA
