"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"NR5A1 (mouse)",0.0414288875438061,1.52615144418423,4.8589256753117,"['CDKN1A', 'P2RY14', 'ROM1', 'ARID5A', 'WNT7A', 'PIK3CD', 'PLA2G5', 'SOD2', 'PPM1E', 'SLC39A14', 'RAB11A', 'DOCK11', 'HELB', 'PTP4A3', 'PDLIM2', 'FNDC4', 'APOC1', 'ATOH8', 'ENPP3', 'TMSB10', 'DSC2', 'BCL2L14', 'PDZRN4']",0.352796595246683,0,0,23,"NR5A1",0.352796595246683,NA,NA,NA,NA,NA,NA,NA
"MIB2 (human)",0.042189560753734,1.39054714317351,4.40189165185999,"['NXPH3', 'RPL34', 'IER5L', 'PPM1E', 'LFNG', 'ZFYVE28', 'SPRED3', 'UGCG', 'AIFM3', 'PTCHD1', 'GRK5', 'H2AFJ', 'PIM3', 'JUNB', 'HES5', 'SEMA4A', 'HES6', 'SERPINB1', 'ST6GAL2', 'RBPMS', 'ACTN2', 'ACTN1', 'PLEKHA5', 'ARID5A', 'CDC7', 'ATP11A', 'OSMR', 'SULF1', 'VASN', 'FOSL2', 'KLF6', 'CEACAM1', 'COL4A1', 'S100A6', 'PNPLA3', 'RADIL', 'NUPR1']",0.352796595246683,0,0,37,"MIB2",0.352796595246683,0.00119205033565472,0.520363050427472,0.437563947108559,0.418030422633313,-0.815427129381501,0.782414666112265,0.599528416552802
"ZNF148 (human)",0.043425483736941,1.38691248757318,4.35034064249303,"['CPNE8', 'CEBPB', 'CDKN1A', 'IFITM2', 'C2CD2', 'SHC1', 'LFNG', 'SPRED3', 'RPL7A', 'DOCK11', 'UGCG', 'LCNL1', 'PDLIM2', 'DDT', 'TMSB4X', 'MAN1C1', 'EPS8L2', 'STK32A', 'TMSB10', 'HES4', 'KCND3', 'ROM1', 'WNT7A', 'MMD2', 'VASN', 'TNFRSF1A', 'EFNA1', 'CLDN11', 'BCL6', 'FXYD3', 'SERPING1', 'PTPN7', 'MAPRE2', 'CRYAB', 'SHANK2', 'GALK1', 'HSPA1A']",0.352796595246683,0,0,37,"ZNF148",0.352796595246683,0.0198125982008258,0.373819150172996,NA,NA,NA,0.257998025623098,0.782454308478006
"RBPJ (human)",0.0474919501706421,1.36443148688047,4.15768887615406,"['ITIH4', 'KCNE4', 'RGS16', 'SHB', 'ELK3', 'CNN3', 'RPL7A', 'LGALS3', 'RPS15A', 'PLN', 'HSPH1', 'HES5', 'BCL2L14', 'APOL3', 'SMAD1', 'RPL41', 'CHST6', 'DNAH11', 'GINS3', 'P2RY14', 'KCNJ13', 'VWA5A', 'WNT7A', 'ABCC9', 'BMX', 'SULF1', 'SLC39A14', 'F3', 'TTLL6', 'BCL6', 'FXYD3', 'VEPH1', 'CD9', 'COL21A1', 'RADIL', 'CTXN3', 'FGFR3', 'PDZRN4', 'FKBP5']",0.352796595246683,0,0,39,"RBPJ",0.352796595246683,0.145763492272095,0.777291025069538,NA,NA,NA,0.265172480239993,0.350498752679025
"ZBTB7A (human)",0.0478460724097178,1.35833640670657,4.12902515948493,"['CPNE8', 'CDKN1A', 'TMTC1', 'SLC7A10', 'PPM1E', 'ZFYVE28', 'UGCG', 'AIFM3', 'PDLIM2', 'PTCHD1', 'GRK5', 'RASGEF1A', 'MAN1C1', 'PLCE1', 'EPS8L2', 'PDE8B', 'JUNB', 'RPS12', 'HES4', 'SMAD1', 'HES6', 'YTHDF1', 'ST6GAL2', 'RBPMS', 'CCDC78', 'SAMD4A', 'SMAD9', 'TNFRSF10B', 'F3', 'RUNX1', 'PSMB9', 'EFNA1', 'KLF6', 'P4HA2', 'COL4A1', 'ADAM12', 'FAM20C', 'MYH9', 'PRKCQ', 'TLCD1']",0.352796595246683,0,0,40,"ZBTB7A",0.352796595246683,0.000832177703774841,0.567759892470954,NA,NA,NA,0.986468400133509,0.782311720637924
"IRF2 (mouse)",0.0483571336761562,1.41425326989705,4.28397330748023,"['PTPRR', 'LRRC19', 'SHC1', 'KCNE4', 'PYGL', 'RPL9', 'COX7A1', 'NT5C', 'UGCG', 'CALB1', 'C1QTNF7', 'RASGEF1B', 'PLCE1', 'POLR2I', 'GBP2', 'A4GALT', 'RPL17', 'BCL2L14', 'P2RY12', 'VWA5A', 'TPST1', 'RPS27', 'VEPH1', 'RPL37A', 'RPL22L1', 'PRKCQ', 'RPL26', 'CTXN3', 'MAPRE2', 'PDZRN4', 'GALK1']",0.352796595246683,0,0,31,"IRF2",0.352796595246683,0.0130431834267677,0.776230768043154,NA,NA,NA,0.773158211555077,0.949251663763978
"FOXF1 (mouse)",0.0485574107947543,2.21155104712042,6.68996061258766,"['PRSS51', 'EFNA1', 'C2CD2', 'TLCD1', 'A4GALT', 'VASN', 'CRYZ']",0.352796595246683,0,0,7,"FOXF1",0.352796595246683,NA,NA,NA,NA,NA,NA,NA
"POU2F2 (human)",0.0493870835621904,1.2742795764088,3.83311752107816,"['CDKN1A', 'RPL34', 'PROS1', 'CXCL17', 'RPL10A', 'RGS4', 'RNF19A', 'RPS12', 'HES6', 'ST6GAL1', 'ST6GAL2', 'ACTN1', 'ARRDC3', 'VWA5A', 'MMD2', 'ANO6', 'C1ORF87', 'OVOL2', 'TPST1', 'PALLD', 'RBP1', 'MAPRE2', 'SHANK2', 'FKBP5', 'KCNE4', 'TNFRSF11B', 'CYP3A5', 'NT5C', 'TCEAL7', 'RASD1', 'HSPH1', 'WIF1', 'MAN1C1', 'RPS27A', 'FILIP1L', 'APOL3', 'PIRT', 'BANP', 'SLC38A4', 'P2RY12', 'SEMA4A', 'EGLN3', 'GADD45A', 'ST8SIA1', 'P2RY14', 'KCNJ13', 'LIMK2', 'ARHGEF38', 'PLEKHA5', 'SMAD9', 'BTBD11', 'BMX', 'SULF1', 'FOSL2', 'POLE4', 'TTLL6', 'KLF6', 'FXYD3', 'NEDD4', 'P4HA3', 'VEPH1', 'PNPLA3', 'PSMG4', 'TMCC2', 'SYCP3']",0.352796595246683,0,0,65,"POU2F2",0.352796595246683,NA,NA,NA,NA,NA,NA,NA
"CACYBP (mouse)",0.0495362330831028,1.37613788934268,4.13536439697379,"['IFITM3', 'SYNM', 'OXTR', 'IFITM2', 'LMOD1', 'PLA2G5', 'ADARB2', 'SPRED3', 'NWD1', 'EDNRA', 'RASGEF1A', 'C1RL', 'ATOH8', 'RPS27A', 'PDE8B', 'TMSB10', 'SEMA4A', 'CAV3', 'KCND3', 'WNT7B', 'IL18', 'MMD2', 'ABCA7', 'KCTD3', 'SULF1', 'SYTL4', 'TNFRSF1A', 'EFNA1', 'CEACAM1', 'FABP5', 'P4HA2', 'APOC1', 'RPL22L1', 'FAU', 'PTPN7', 'CRYAB']",0.352796595246683,0,0,36,"CACYBP",0.352796595246683,0.0890577803721636,0.0772414838852257,0.815381772468958,0.823849099723125,0.210008722032613,0.997600918229775,0.975945598278882
"AHR (mouse)",0.0498365065452308,1.72917634488526,5.18581282774532,"['LIMK2', 'IL18', 'ABCA7', 'COX7A1', 'POLE4', 'ZFYVE28', 'TTLL6', 'PTP4A3', 'ACAP1', 'NUP210L', 'RPL37A', 'POLR2I', 'GCLM']",0.352796595246683,0,0,13,"AHR",0.352796595246683,NA,NA,NA,NA,NA,NA,0.988109310598121
