GENE_SYMBOLS,refseq_ids
GADD45GIP1,NM_052850
GCOM1,NM_001018090
ATP5PD,NM_001003785
ADGRL2,NM_001297704
PFDN6,NM_001185181
TMEM176B,NM_001101311
TMED2,NM_001321445
LSM1,NM_014462
NEFH,NM_021076
SMIM1,NM_001163724
FRMPD1,NM_001371223
RPS3,NM_001005
CCDC28B,NM_001301011
SURF2,NM_001278928
NPB,NM_148896
MISP3,NM_001291291
RPL3,NM_000967
LILRB3,NM_001081450
EIF3D,NM_003753
MRTO4,NM_016183
EXOSC5,NM_020158
PYURF,NM_032906
SLC5A3,NM_006933
SOX6,NM_001145811
MRPS23,NM_016070
SERPINE2,NM_001136528
RNF141,NM_016422
FGF1,NM_000800
LSM5,NM_001130710
TRARG1,NM_172367
EIF1,NM_005801
DBNDD2,NM_001048221
AXL,NM_001278599
GSTO1,NM_001191002
BEX2,NM_001168399
GPX4,NM_001039847
SEZ6L2,NM_001114099
UBE2M,NM_003969
COMMD9,NM_001101653
ZNHIT3,NM_001033577
PDCL3,NM_024065
NPFFR1,NM_022146
MCRIP2,NM_001331229
TMEM255B,NM_001348663
FHAD1,NM_001387888
VBP1,NM_001303543
BPGM,NM_001293085
RPL6,NM_000970
DCTPP1,NM_024096
DPM3,NM_018973
RIN2,NM_001242581
NUDT8,NM_001243750
RGS6,NM_001204416
GPR35,NM_001195381
RPS11,NM_001015
AARD,NM_001025357
SARS,NA
FAM50B,NM_012135
VSIR,NM_022153
S100A8,NM_001319196
ZNF593,NM_015871
ARL16,NM_001040025
APRT,NM_000485
CRHBP,NM_001882
PFDN1,NM_002622
PAXX,NM_001329678
AKR1C3,NM_001253908
SKP2,NM_001243120
SLC38A11,NM_001199148
CROCC,NM_014675
CASP8AP2,NM_001137667
CISD3,NM_001136498
CCDC51,NM_001256964
ADAMTS3,NM_014243
BOLA2B,NM_001039182
SUPT4H1,NM_003168
MMD2,NM_001100600
DGKB,NM_001350705
TTC9B,NM_152479
SPARC,NM_001309443
C14orf119,NM_017924
EBF2,NM_022659
RPS6,NM_001010
ZAP70,NM_001079
BEND5,NM_001302082
NFKBIE,NM_004556
HEPHL1,NM_001098672
GJD2,NM_020660
MRPL19,NM_014763
SET,NM_001122821
ILF3-DT,NM_203300
PHPT1,NM_001135860
SIVA1,NM_006427
LSM4,NM_001252129
MICALL1,NM_001410818
COX20,NM_001312871
RPL8,NM_000973
PGA3,NM_001079807
FTH1,NM_002032
PSMC5,NM_001199163
SPSB3,NM_001324081
POLR2J,NM_001371100
HMGN4,NM_006353
PA2G4,NM_006191
PSMC1,NM_001330212
NDUFC1,NM_001184986
SUN2,NM_001199579
BOLA1,NM_001321025
