NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
PEX12	1	PEX12	
ZCCHC18	1	ZCCHC18	
SLC35B1	1	SLC35B1	
CLTC	1	CLTC	
ADRM1	1	ADRM1	
THEMIS	1	THEMIS	
GIPC2	1	GIPC2	
HLA-A	1	HLA-A	
USP2	1	USP2	
SNRPD1	1	SNRPD1	
SELENOS	1	SELENOS	
FABP5	1	FABP5	
FRAT2	1	FRAT2	
ABRACL	1	ABRACL	
UBE2V1	1	UBE2V1	
SMPD2	1	SMPD2	
NRARP	1	NRARP	
ATP10B	1	ATP10B	
TMEM256	1	TMEM256	
ALDH1B1	1	ALDH1B1	
GSG1L	1	GSG1L	
TM7SF2	1	TM7SF2	
KCNAB2	1	KCNAB2	
BLOC1S3	1	BLOC1S3	
FDFT1	1	FDFT1	
MAPK4	1	MAPK4	
AIP	1	AIP	
CENPX	1	CENPX	
HSPB8	1	HSPB8	
CHID1	1	CHID1	
RTL6	1	RTL6	
MROH7	1	MROH7	
MBD5	1	MBD5	
AP5M1	1	AP5M1	
RPL18A	1	RPL18A	
NUDT2	1	NUDT2	
FAAH2	1	FAAH2	
ETF1	1	ETF1	
ZNF891	1	ZNF891	
SPATA18	1	SPATA18	
SIKE1	1	SIKE1	
PCDHB16	1	PCDHB16	
LSM3	1	LSM3	
OMD	1	OMD	
FAM161B	1	FAM161B	
RAB11A	1	RAB11A	
ATP6V1E1	1	ATP6V1E1	
SYT11	1	SYT11	
PABPC5	1	PABPC5	
PTPRJ	1	PTPRJ	
FGD5	1	FGD5	
PLCB4	1	PLCB4	
SLU7	1	SLU7	
ZNF671	1	ZNF671	
POC1A	1	POC1A	
RCE1	1	RCE1	
PTPRT	1	PTPRT	
NUDC	1	NUDC	
HTATSF1	1	HTATSF1	
PATJ	1	PATJ	
ADAP2	1	ADAP2	
NDUFS2	1	NDUFS2	
SYTL3	1	SYTL3	
SATB1	1	SATB1	
SMIM19	1	SMIM19	
ARHGDIG	1	ARHGDIG	
RBP5	1	RBP5	
TTTY14	1	TTTY14	
HSPB3	1	HSPB3	
UBB	1	UBB	
EBNA1BP2	1	EBNA1BP2	
PMVK	1	PMVK	
ZNF574	1	ZNF574	
C11orf97	1	C11orf97	
ACTG1	1	ACTG1	
ARPP19	1	ARPP19	
TMEM199	1	TMEM199	
EHBP1L1	1	EHBP1L1	
RPP25L	1	RPP25L	
SVOP	1	SVOP	
WBP4	1	WBP4	
MIEF1	1	MIEF1	
ENPP5	1	ENPP5	
SNN	1	SNN	
GTF3C6	1	GTF3C6	
MUC20	1	MUC20	
ZNF761	1	ZNF761	
NEFM	1	NEFM	
ZNF486	1	ZNF486	
KIAA2013	1	KIAA2013	
FAM106C	1	FAM106C	
CYC1	1	CYC1	
ARAP3	1	ARAP3	
MNT	1	MNT	
SLC39A1	1	SLC39A1	
YWHAQ	1	YWHAQ	
CCDC170	1	CCDC170	
CDKN2C	1	CDKN2C	
EPHX2	1	EPHX2	
MAGEL2	1	MAGEL2	
DUSP14	1	DUSP14	
OR2L2	1	OR2L2	
NVL	1	NVL	
BSCL2	1	BSCL2	
TRIM59	1	TRIM59	
NECAP1	1	NECAP1	
ST3GAL6	1	ST3GAL6	
RAB5C	1	RAB5C	
RMND5A	1	RMND5A	
WDR54	1	WDR54	
DGCR6L	1	DGCR6L	
C18orf21	1	C18orf21	
NUTF2	1	NUTF2	
CTSK	1	CTSK	
CCDC28A-AS1	1	GVQW2	
CD226	1	CD226	
SYT5	1	SYT5	
HRK	1	HRK	
C15orf61	1	C15orf61	
ATP2C2	1	ATP2C2	
MRPL57	1	MRPL57	
PTPN9	1	PTPN9	
PAFAH1B3	1	PAFAH1B3	
MCHR1	1	MCHR1	
ZNF628	1	ZNF628	
NELL1	1	NELL1	
PHACTR2	1	PHACTR2	
TCTA	1	TCTA	
SPANXA2-OT1	1	SPANXA2-OT1	
SET	1	SET	
GDI2	1	GDI2	
DUSP16	1	DUSP16	
PPP1R26	1	PPP1R26	
HSP90AA1	1	HSP90AA1	
C1orf122	1	C1orf122	
FLOT1	1	FLOT1	
AUTS2	1	AUTS2	
OAZ1	1	OAZ1	
SCG5	1	SCG5	
CLSTN3	1	CLSTN3	
FRMPD3	1	FRMPD3	
EHD2	1	EHD2	
ZNF584	1	ZNF584	
CENPQ	1	CENPQ	
PMEPA1	1	PMEPA1	
MPV17L2	1	MPV17L2	
C1QTNF7	1	C1QTNF7	
ISCA2	1	ISCA2	
RABL3	1	RABL3	
RHOV	1	RHOV	
SLC29A2	1	SLC29A2	
ERBB4	1	ERBB4	
EMC4	1	EMC4	
CALM1	1	CALM1	
RBMS2	1	RBMS2	
SNRPC	1	SNRPC	
ASB8	1	ASB8	
ZMAT2	1	ZMAT2	
WDR93	1	WDR93	
FAM162B	1	FAM162B	
NFATC2	1	NFATC2	
ATP9B	1	ATP9B	
USP27X	1	USP27X	
THBS4	1	THBS4	
BOLA2B	1	BOLA2B	
C11orf24	1	C11orf24	
CHPF	1	CHPF	
KLF10	1	KLF10	
MAP1B	1	MAP1B	
ZNF350	1	ZNF350	
PCSK6	1	PCSK6	
ACTR6	1	ACTR6	
SH3BGRL3	1	SH3BGRL3	
U2AF1L4	1	U2AF1L4	
DBNDD2	1	DBNDD2	
RWDD2B	1	RWDD2B	
IFNLR1	1	IFNLR1	
ATP6V0D1	1	ATP6V0D1	
MFN2	1	MFN2	
NARS1	1	NARS	
COL12A1	1	COL12A1	
NRG1-IT1	1	NRG1-IT1	
PPM1K-DT	1	PPM1K-DT	
BCAS2	1	BCAS2	
RSL1D1	1	RSL1D1	
INVS	1	INVS	
BTF3	1	BTF3	
ATP5F1B	1	ATP5F1B	
CDON	1	CDON	
CAPNS1	1	CAPNS1	
SLC37A4	1	SLC37A4	
RTP1	1	RTP1	
VWA7	1	VWA7	
KIAA0825	1	KIAA0825	
NUF2	1	NUF2	
CLU	1	CLU	
MBLAC1	1	MBLAC1	
MAP3K15	1	MAP3K15	
RBP2	1	RBP2	
TTC39A	1	TTC39A	
NPIPB4	1	NPIPB4	
AHI1	1	AHI1	
CISD2	1	CISD2	
DOCK5	1	DOCK5	
NPAS3	1	NPAS3	
ERICH2	1	ERICH2	
MINAR1	1	MINAR1	
LHFPL2	1	LHFPL2	
ARF6	1	ARF6	
OVOL2	1	OVOL2	
SLC22A17	1	SLC22A17	
PMM1	1	PMM1	
GRSF1	1	GRSF1	
NAPA	1	NAPA	
SLC2A1	1	SLC2A1	
SUV39H1	1	SUV39H1	
TAF6	1	TAF6	
SNHG16	1	SNHG16	
TSEN34	1	TSEN34	
RAC1	1	RAC1	
ZFAND2A	1	ZFAND2A	
GLRX2	1	GLRX2	
ZNF765	1	ZNF765	
INTS7	1	INTS7	
PACSIN1	1	PACSIN1	
GNL3	1	GNL3	
PGAM1	1	PGAM1	
TSPAN33	1	TSPAN33	
CEP112	1	CEP112	
DGLUCY	1	DGLUCY	
IFT70A	1	TTC30A	
SPRYD3	1	SPRYD3	
GUCD1	1	GUCD1	
KLF6	1	KLF6	
ELK1	1	ELK1	
PLCXD3	1	PLCXD3	
PCDHB12	1	PCDHB12	
POLR2K	1	POLR2K	
CSRP2	1	CSRP2	
C1orf43	1	C1orf43	
MFSD10	1	MFSD10	
RPL41	1	RPL41	
SF3B6	1	SF3B6	
SYNPR	1	SYNPR	
RPLP0	1	RPLP0	
PPA1	1	PPA1	
DDA1	1	DDA1	
WDR86	1	WDR86	
RAD23A	1	RAD23A	
PNPLA5	1	PNPLA5	
WBP1	1	WBP1	
PRSS48	1	PRSS48	
CCDC85B	1	CCDC85B	
MRPL2	1	MRPL2	
NFKBIL1	1	NFKBIL1	
EIF4A1	1	EIF4A1	
SMCR5	1	SMCR5	
RRP9	1	RRP9	
TMEM60	1	TMEM60	
ZNF713	1	ZNF713	
PNRC2	1	PNRC2	
SUSD4	1	SUSD4	
CHMP1B	1	CHMP1B	
WTIP	1	WTIP	
CHML	1	CHML	
POLR2L	1	POLR2L	
COMTD1	1	COMTD1	
WDR1	1	WDR1	
PPP6R1	1	PPP6R1	
BOLA3	1	BOLA3	
ZNF211	1	ZNF211	
MPND	1	MPND	
CALR	1	CALR	
SPAG16	1	SPAG16	
COL7A1	1	COL7A1	
SMIM10L1	1	SMIM10L1	
RHOB	1	RHOB	
RPL39	1	RPL39	
NGEF	1	NGEF	
MRPL42	1	MRPL42	
RFX7	1	RFX7	
TRAM2	1	TRAM2	
COL23A1	1	COL23A1	
EIF1	1	EIF1	
NUCB1	1	NUCB1	
TMEM42	1	TMEM42	
PDAP1	1	PDAP1	
PPIA	1	PPIA	
POMZP3	1	POMZP3	
CACFD1	1	CACFD1	
DNAJA4	1	DNAJA4	
ATP1A3	1	ATP1A3	
PIH1D1	1	PIH1D1	
EIF4H	1	EIF4H	
ALAD	1	ALAD	
ZDHHC24	1	ZDHHC24	
EVA1C	1	EVA1C	
CCDC106	1	CCDC106	
MRPL50	1	MRPL50	
TOX	1	TOX	
CHMP3	1	CHMP3	
STXBP5L	1	STXBP5L	
YWHAH-AS1	1	C22orf24	
ISYNA1	1	ISYNA1	
ZFP64	1	ZFP64	
FGD4	1	FGD4	
MRPS33	1	MRPS33	
CAND1	1	CAND1	
GSG1	1	GSG1	
METTL25	1	METTL25	
FAM193B	1	FAM193B	
CFAP46	1	CFAP46	
LAMTOR4	1	LAMTOR4	
PI4K2B	1	PI4K2B	
CAP1	1	CAP1	
KIAA1328	1	KIAA1328	
FNDC5	1	FNDC5	
CPT1B	1	CPT1B	
SEC62	1	SEC62	
KIF3C	1	KIF3C	
SLC66A1L	1	SLC66A1L	
COX11	1	COX11	
MRPS7	1	MRPS7	
CDCA5	1	CDCA5	
EIF4A3	1	EIF4A3	
TIMM10B	1	TIMM10B	
RAB37	1	RAB37	
M6PR	1	M6PR	
DNAH10OS	1	DNAH10OS	
PLET1	1	PLET1	
EEF2KMT	1	EEF2KMT	
EGR1	1	EGR1	
CD274	1	CD274	
ZDHHC11B	1	ZDHHC11B	
WDR74	1	WDR74	
PRH1	1	PRH1	
KCNG1	1	KCNG1	
GDF11	1	GDF11	
GFAP	1	GFAP	
GLRX	1	GLRX	
CD53	1	CD53	
VSNL1	1	VSNL1	
SLC25A11	1	SLC25A11	
NSG1	1	NSG1	
OPCML-IT1	1	OPCML-IT1	
PPP1R35	1	PPP1R35	
VARS2	1	VARS2	
STAB2	1	STAB2	
SERF1A	1	SERF1A	
PRDM5	1	PRDM5	
GPR171	1	GPR171	
SRP72	1	SRP72	
PKP2	1	PKP2	
RTN4	1	RTN4	
EZH2	1	EZH2	
DPCD	1	DPCD	
ADAMTS8	1	ADAMTS8	
CNDP2	1	CNDP2	
MRPS2	1	MRPS2	
HSPE1	1	HSPE1	
ZNF275	1	ZNF275	
ANKRD36C	1	ANKRD36C	
LDHA	1	LDHA	
PLA2R1	1	PLA2R1	
INPP5K	1	INPP5K	
EIF4A2	1	EIF4A2	
DUSP5	1	DUSP5	
RAB4A	1	RAB4A	
SNHG3	1	SNHG3	
COCH	1	COCH	
ADCK1	1	ADCK1	
RPGR	1	RPGR	
TMEM214	1	TMEM214	
MORN2	1	MORN2	
RPA1	1	RPA1	
MAMDC2	1	MAMDC2	
NKAIN3	1	NKAIN3	
LRRTM1	1	LRRTM1	
BPGM	1	BPGM	
VWC2L	1	VWC2L	
BEX4	1	BEX4	
DKC1	1	DKC1	
RTN4RL2	1	RTN4RL2	
PRR7	1	PRR7	
ARHGAP11B	1	ARHGAP11B	
CACHD1	1	CACHD1	
ILF2	1	ILF2	
SSC4D	1	SSC4D	
ITIH2	1	ITIH2	
ASPHD1	1	ASPHD1	
ASGR1	1	ASGR1	
HMGN4	1	HMGN4	
BACH2	1	BACH2	
SSB	1	SSB	
BAG3	1	BAG3	
CRIP2	1	CRIP2	
STOML2	1	STOML2	
AVPI1	1	AVPI1	
RFC2	1	RFC2	
GPR39	1	GPR39	
DCXR	1	DCXR	
ITGA8	1	ITGA8	
C8orf82	1	C8orf82	
COLEC11	1	COLEC11	
MMS22L	1	MMS22L	
MPC2	1	MPC2	
CTXN1	1	CTXN1	
ING1	1	ING1	
RUNDC1	1	RUNDC1	
TTYH1	1	TTYH1	
ACAD10	1	ACAD10	
TMEM106C	1	TMEM106C	
TGFB3	1	TGFB3	
FBXO5	1	FBXO5	
WDR77	1	WDR77	
COPZ1	1	COPZ1	
RTF1	1	RTF1	
CTSO	1	CTSO	
PCDHB15	1	PCDHB15	
USH2A	1	USH2A	
MCM4	1	MCM4	
AKT1	1	AKT1	
DSEL	1	DSEL	
IPO5	1	IPO5	
SMIM13	1	SMIM13	
NAV3	1	NAV3	
MRFAP1	1	MRFAP1	
MRGBP	1	MRGBP	
RUNX1	1	RUNX1	
NEURL4	1	NEURL4	
BRMS1	1	BRMS1	
LY6E	1	LY6E	
PLD3	1	PLD3	
TEX264	1	TEX264	
CHST2	1	CHST2	
DUSP22	1	DUSP22	
C2CD2L	1	C2CD2L	
BLOC1S1	1	BLOC1S1	
ANOS1	1	ANOS1	
TENM2	1	TENM2	
TRAF7	1	TRAF7	
BORCS8	1	BORCS8	
TUSC2	1	TUSC2	
SERTM1	1	SERTM1	
SH3BGRL	1	SH3BGRL	
RPL6	1	RPL6	
FAM32A	1	FAM32A	
RPP25	1	RPP25	
HMCES	1	HMCES	
BFSP2	1	BFSP2	
MED8	1	MED8	
ARMCX2	1	ARMCX2	
CD59	1	CD59	
TUBGCP4	1	TUBGCP4	
LIN7C	1	LIN7C	
YWHAB	1	YWHAB	
TSPAN13	1	TSPAN13	
NPM3	1	NPM3	
MYO5B	1	MYO5B	
CMYA5	1	CMYA5	
CIAO2B	1	CIAO2B	
EGR2	1	EGR2	
PVALEF	1	PVALEF	
NDUFB8	1	NDUFB8	
CDH8	1	CDH8	
AK8	1	AK8	
MRPL19	1	MRPL19	
DNASE2	1	DNASE2	
SDSL	1	SDSL	
RLIM	1	RLIM	
AKIRIN2	1	AKIRIN2	
USP9Y	1	USP9Y	
SNHG29	1	SNHG29	
PIGH	1	PIGH	
UBFD1	1	UBFD1	
TRAF3IP2	1	TRAF3IP2	
VCPKMT	1	VCPKMT	
PYGO2	1	PYGO2	
JUNB	1	JUNB	
GOLGA7	1	GOLGA7	
SSR2	1	SSR2	
C1orf53	1	C1orf53	
TTC9B	1	TTC9B	
IDH3G	1	IDH3G	
C2orf15	1	C2orf15	
TCEAL2	1	TCEAL2	
CLTB	1	CLTB	
CNTD1	1	CNTD1	
ANKRD34C	1	ANKRD34C	
TGFB2	1	TGFB2	
PSPC1	1	PSPC1	
PDE6B	1	PDE6B	
USE1	1	USE1	
RETREG2	1	RETREG2	
MRPS23	1	MRPS23	
BCL7B	1	BCL7B	
C20orf203	1	C20orf203	
LTB4R	1	LTB4R	
FBXO6	1	FBXO6	
MCL1	1	MCL1	
SYF2	1	SYF2	
NKAPD1	1	NKAPD1	
DYNLL1	1	DYNLL1	
UVSSA	1	UVSSA	
CAMK1	1	CAMK1	
GPC5	1	GPC5	
PARD3B	1	PARD3B	
QPRT	1	QPRT	
SVIP	1	SVIP	
STX19	1	STX19	
CYFIP2	1	CYFIP2	
ARL2BP	1	ARL2BP	
EXOC6B	1	EXOC6B	
OAT	1	OAT	
GANAB	1	GANAB	
CALCOCO2	1	CALCOCO2	
DNAH12	1	DNAH12	
NAA60	1	NAA60	
RNF5	1	RNF5	
GCNA	1	GCNA	
TAF4	1	TAF4	
YWHAZ	1	YWHAZ	
COPS3	1	COPS3	
AFF3	1	AFF3	
PEX11B	1	PEX11B	
CEBPZOS	1	CEBPZOS	
TMEM143	1	TMEM143	
SLC18B1	1	SLC18B1	
CLTA	1	CLTA	
ATP6AP1L	1	ATP6AP1L	
MNS1	1	MNS1	
KCTD17	1	KCTD17	
DYNLT5	1	TCTEX1D1	
CHCHD4	1	CHCHD4	
NCL	1	NCL	
SPATA2	1	SPATA2	
VAMP2	1	VAMP2	
KCNB2	1	KCNB2	
POLE	1	POLE	
SLC25A6	1	SLC25A6	
CETN2	1	CETN2	
CARD18	1	CARD18	
PRKAR1A	1	PRKAR1A	
CCKBR	1	CCKBR	
SPR	1	SPR	
ROR1	1	ROR1	
FBXL16	1	FBXL16	
IFT52	1	IFT52	
NDRG4	1	NDRG4	
SNRPG	1	SNRPG	
DSE	1	DSE	
USP19	1	USP19	
WDR46	1	WDR46	
MKNK1	1	MKNK1	
ITGA4	1	ITGA4	
TJP1	1	TJP1	
UBR7	1	UBR7	
SRRM4	1	SRRM4	
PCMT1	1	PCMT1	
MEPCE	1	MEPCE	
NARS2	1	NARS2	
RBSN	1	RBSN	
SORCS1	1	SORCS1	
SRPRB	1	SRPRB	
LUARIS	1	LUARIS	
FRG1	1	FRG1	
VAMP4	1	VAMP4	
FLT3	1	FLT3	
XAB2	1	XAB2	
ENDOG	1	ENDOG	
EIF5	1	EIF5	
ABHD18	1	ABHD18	
IMP3	1	IMP3	
GALNT3	1	GALNT3	
PEBP1	1	PEBP1	
CEP72	1	CEP72	
NSF	1	NSF	
TMED5	1	TMED5	
DNAJA1	1	DNAJA1	
DCDC2B	1	DCDC2B	
ANAPC15	1	ANAPC15	
PPP2CA	1	PPP2CA	
GCC1	1	GCC1	
OR2L3	1	OR2L3	
KLHL34	1	KLHL34	
TEX48	1	TEX48	
NSDHL	1	NSDHL	
CACTIN	1	CACTIN	
CYP4F26P	1	CYP4F26P	
LPL	1	LPL	
TMED4	1	TMED4	
PPP2R5D	1	PPP2R5D	
GNG13	1	GNG13	
TGOLN2	1	TGOLN2	
MRPL15	1	MRPL15	
SRSF9	1	SRSF9	
RPL28	1	RPL28	
RAD1	1	RAD1	
DLL3	1	DLL3	
CDK5	1	CDK5	
TRPV1	1	TRPV1	
SPDYA	1	SPDYA	
CIITA	1	CIITA	
PIM1	1	PIM1	
MRPL51	1	MRPL51	
RPS13	1	RPS13	
ZCCHC12	1	ZCCHC12	
NDEL1	1	NDEL1	
TOR2A	1	TOR2A	
KCNH4	1	KCNH4	
MLLT11	1	MLLT11	
FAM242F	1	FAM242F	
MAL2	1	MAL2	
LRRC37B	1	LRRC37B	
RAB22A	1	RAB22A	
SLX4IP	1	SLX4IP	
KIF1C	1	KIF1C	
ST8SIA1	1	ST8SIA1	
ASIP	1	ASIP	
TMEM203	1	TMEM203	
HEY1	1	HEY1	
DXO	1	DXO	
ZFPL1	1	ZFPL1	
RPS15	1	RPS15	
UQCRH	1	UQCRH	
RAN	1	RAN	
TMEM220	1	TMEM220	
RNF175	1	RNF175	
TMEM219	1	TMEM219	
BTN2A1	1	BTN2A1	
SCN11A	1	SCN11A	
C12orf43	1	C12orf43	
ALG10	1	ALG10	
MRPL12	1	MRPL12	
PHAX	1	PHAX	
TMX4	1	TMX4	
RASSF1	1	RASSF1	
EAF1	1	EAF1	
TESK2	1	TESK2	
MC1R	1	MC1R	
MCM3	1	MCM3	
ZNF630	1	ZNF630	
ABTB1	1	ABTB1	
AMACR	1	AMACR	
HECA	1	HECA	
SLC22A15	1	SLC22A15	
PACRG	1	PACRG	
CADM1	1	CADM1	
MYL5	1	MYL5	
EIF2B2	1	EIF2B2	
ADAMTS10	1	ADAMTS10	
YIPF7	1	YIPF7	
MEA1	1	MEA1	
GSK3A	1	GSK3A	
PLCD4	1	PLCD4	
POLR3GL	1	POLR3GL	
IFI27L1	1	IFI27L1	
PPARA	1	PPARA	
ENO2	1	ENO2	
COLEC10	1	COLEC10	
RPLP2	1	RPLP2	
RAB14	1	RAB14	
BMP3	1	BMP3	
ZNF124	1	ZNF124	
DAPK3	1	DAPK3	
CCDC183	1	CCDC183	
CDKN3	1	CDKN3	
CSTB	1	CSTB	
CNTNAP1	1	CNTNAP1	
ZNF747	1	ZNF747	
GUK1	1	GUK1	
FSD2	1	FSD2	
CEL	1	CEL	
CFAP221	1	CFAP221	
CDH26	1	CDH26	
CSPP1	1	CSPP1	
CCDC150	1	CCDC150	
NOL7	1	NOL7	
LRP1B	1	LRP1B	
HSP90B1	1	HSP90B1	
CPXM2	1	CPXM2	
CHODL	1	CHODL	
SGF29	1	SGF29	
COA3	1	COA3	
NEDD9	1	NEDD9	
MFSD13A	1	MFSD13A	
HSD17B10	1	HSD17B10	
SYCP2	1	SYCP2	
EEPD1	1	EEPD1	
CEACAM1	1	CEACAM1	
ATPSCKMT	1	ATPSCKMT	
ARL1	1	ARL1	
THY1	1	THY1	
STK11IP	1	STK11IP	
LSMEM1	1	LSMEM1	
SKP1	1	SKP1	
FGFBP3	1	FGFBP3	
TOMM6	1	TOMM6	
CHSY3	1	CHSY3	
PIGL	1	PIGL	
RAB33B	1	RAB33B	
SPOCK3	1	SPOCK3	
CNTNAP4	1	CNTNAP4	
MMP15	1	MMP15	
SLC45A2	1	SLC45A2	
DLG2	1	DLG2	
CDH12	1	CDH12	
BVES	1	BVES	
SMAD1	1	SMAD1	
TRAPPC6A	1	TRAPPC6A	
BAG1	1	BAG1	
CCT2	1	CCT2	
CLEC2L	1	CLEC2L	
BARD1	1	BARD1	
KCNQ5	1	KCNQ5	
IMPG2	1	IMPG2	
PRPF8	1	PRPF8	
POLD1	1	POLD1	
NGRN	1	NGRN	
HMGA1	1	HMGA1	
ARPC5L	1	ARPC5L	
RPS11	1	RPS11	
PAPSS1	1	PAPSS1	
UNG	1	UNG	
ADAM21	1	ADAM21	
WNT8A	1	WNT8A	
DNAH11	1	DNAH11	
C11orf96	1	C11orf96	
DYNC1LI2	1	DYNC1LI2	
SH2D3C	1	SH2D3C	
CNEP1R1	1	CNEP1R1	
PDGFRL	1	PDGFRL	
ASB6	1	ASB6	
RUVBL2	1	RUVBL2	
VCP	1	VCP	
ZNF800	1	ZNF800	
AFAP1L2	1	AFAP1L2	
PRDX2	1	PRDX2	
CAPN15	1	CAPN15	
CTXN2	1	CTXN2	
HPCA	1	HPCA	
SNHG4	1	SNHG4	
ARHGAP4	1	ARHGAP4	
CNTRL	1	CNTRL	
GFUS	1	TSTA3	
COL5A2	1	COL5A2	
TOLLIP	1	TOLLIP	
METRN	1	METRN	
MOCS2	1	MOCS2	
CCK	1	CCK	
HTR1E	1	HTR1E	
ZNF770	1	ZNF770	
FSCN1	1	FSCN1	
GGCT	1	GGCT	
PAPSS2	1	PAPSS2	
JUN	1	JUN	
RUSC1	1	RUSC1	
IL6R	1	IL6R	
CBR3	1	CBR3	
RNF187	1	RNF187	
RRAGA	1	RRAGA	
POLR2J	1	POLR2J	
PIP4K2B	1	PIP4K2B	
ARF3	1	ARF3	
OLFML2A	1	OLFML2A	
HTR2B	1	HTR2B	
BANP	1	BANP	
ZPBP	1	ZPBP	
CTNND2	1	CTNND2	
RPL10A	1	RPL10A	
OR2T6	1	OR2T6	
SPTBN4	1	SPTBN4	
OR2M3	1	OR2M3	
DDX60L	1	DDX60L	
INPP5D	1	INPP5D	
C2orf76	1	C2orf76	
SIRPA	1	SIRPA	
EIF1AD	1	EIF1AD	
PDGFRA	1	PDGFRA	
CHRDL1	1	CHRDL1	
ZNF98	1	ZNF98	
CACNA2D2	1	CACNA2D2	
NAP1L5	1	NAP1L5	
WDR83OS	1	WDR83OS	
CALM3	1	CALM3	
RBBP7	1	RBBP7	
TSPAN31	1	TSPAN31	
GM2A	1	GM2A	
ZNF496	1	ZNF496	
ARL9	1	ARL9	
S100A1	1	S100A1	
EXOC8	1	EXOC8	
AP1S2	1	AP1S2	
RIN3	1	RIN3	
PLA2G15	1	PLA2G15	
SGSH	1	SGSH	
CNBD2	1	CNBD2	
PCSK5	1	PCSK5	
ID2	1	ID2	
C5orf63	1	C5orf63	
EIF4G2	1	EIF4G2	
GCAT	1	GCAT	
LTBP1	1	LTBP1	
PRELP	1	PRELP	
TRIM47	1	TRIM47	
FHL3	1	FHL3	
RITA1	1	RITA1	
ARHGAP17	1	ARHGAP17	
FABP6	1	FABP6	
INPP4B	1	INPP4B	
WDR82	1	WDR82	
CRACR2A	1	CRACR2A	
CXCL17	1	CXCL17	
PDC	1	PDC	
DYNLL2	1	DYNLL2	
ERF	1	ERF	
ETNPPL	1	ETNPPL	
CDH18	1	CDH18	
FGF14	1	FGF14	
RANBP1	1	RANBP1	
PNMA8B	1	PNMA8B	
ZNF718	1	ZNF718	
RTN3	1	RTN3	
HCG27	1	HCG27	
MRPL34	1	MRPL34	
FAM43A	1	FAM43A	
STAT1	1	STAT1	
HTR5A	1	HTR5A	
SLC8A1	1	SLC8A1	
ZSCAN18	1	ZSCAN18	
GPR55	1	GPR55	
SOD2	1	SOD2	
VKORC1	1	VKORC1	
UBALD2	1	UBALD2	
CDKL3	1	CDKL3	
RGS4	1	RGS4	
C22orf39	1	C22orf39	
TRIM41	1	TRIM41	
GXYLT2	1	GXYLT2	
GAL3ST1	1	GAL3ST1	
OGFRL1	1	OGFRL1	
ATP6AP1	1	ATP6AP1	
MSRB2	1	MSRB2	
FKBP4	1	FKBP4	
ANKRD62	1	ANKRD62	
SUPT5H	1	SUPT5H	
ARL16	1	ARL16	
COX17	1	COX17	
JPT1	1	JPT1	
B4GALT2	1	B4GALT2	
CCDC124	1	CCDC124	
COPS6	1	COPS6	
SEH1L	1	SEH1L	
ATP6V1C1	1	ATP6V1C1	
DAB2	1	DAB2	
NRGN	1	NRGN	
C1orf216	1	C1orf216	
MIEN1	1	MIEN1	
GPR137	1	GPR137	
C10orf90	1	C10orf90	
PSMB10	1	PSMB10	
ARFRP1	1	ARFRP1	
TMEM130	1	TMEM130	
EPHX1	1	EPHX1	
HYAL1	1	HYAL1	
EPOP	1	EPOP	
ALKBH5	1	ALKBH5	
LRRC59	1	LRRC59	
ACTC1	1	ACTC1	
C17orf49	1	C17orf49	
PSMD3	1	PSMD3	
MUL1	1	MUL1	
DAO	1	DAO	
ZNF483	1	ZNF483	
APOE	1	APOE	
CDC37	1	CDC37	
ZXDB	1	ZXDB	
ACTL6A	1	ACTL6A	
FAM8A1	1	FAM8A1	
CKMT2	1	CKMT2	
FYB2	1	FYB2	
RBPMS2	1	RBPMS2	
TMEM167A	1	TMEM167A	
VPS13B	1	VPS13B	
CDCP1	1	CDCP1	
DLG4	1	DLG4	
KCNS2	1	KCNS2	
RAD51B	1	RAD51B	
NOC4L	1	NOC4L	
ITPR2	1	ITPR2	
TMEM151B	1	TMEM151B	
LRRC8D	1	LRRC8D	
L1CAM	1	L1CAM	
POLR2G	1	POLR2G	
C1orf74	1	C1orf74	
RHD	1	RHD	
NIF3L1	1	NIF3L1	
MPZL1	1	MPZL1	
GPR108	1	GPR108	
SPAG17	1	SPAG17	
PRPS1	1	PRPS1	
UXT	1	UXT	
PRPF4	1	PRPF4	
BLOC1S2	1	BLOC1S2	
HCRTR2	1	HCRTR2	
TSHZ2	1	TSHZ2	
VPS26B	1	VPS26B	
FOSB	1	FOSB	
MGMT	1	MGMT	
ERP29	1	ERP29	
BRF2	1	BRF2	
KBTBD12	1	KBTBD12	
PUF60	1	PUF60	
BCAN	1	BCAN	
ATAD3B	1	ATAD3B	
CTNNA2	1	CTNNA2	
DLD	1	DLD	
TMED2	1	TMED2	
TAGLN	1	TAGLN	
FBXL14	1	FBXL14	
BRIP1	1	BRIP1	
TMEM126B	1	TMEM126B	
CBY3	1	CBY3	
ZNF304	1	ZNF304	
SLC25A22	1	SLC25A22	
PGLYRP1	1	PGLYRP1	
FAM89B	1	FAM89B	
ZNF416	1	ZNF416	
C12orf60	1	C12orf60	
YIPF3	1	YIPF3	
VPS28	1	VPS28	
SLC38A6	1	SLC38A6	
ENPP6	1	ENPP6	
MRPL49	1	MRPL49	
UBE3D	1	UBE3D	
NCOA4	1	NCOA4	
UBXN1	1	UBXN1	
TRIM71	1	TRIM71	
ATCAY	1	ATCAY	
HTR3E	1	HTR3E	
BCL6	1	BCL6	
OST4	1	OST4	
