GENE_SYMBOLS,refseq_ids
SCUBE2,NM_001170690
RPS13,NM_001017
LDHA,NM_001135239
CD59,NM_000611
HSD17B12,NM_016142
ACP2,NM_001131064
CELF1,NM_001025596
NDUFS3,NM_004551
TIMM10,NM_012456
SELENOH,NM_001321335
MRPL16,NM_017840
TMEM258,NM_014206
FTH1,NM_002032
UQCC3,NM_001085372
SLC3A2,NM_001012661
SLC22A10,NM_001039752
OTUB1,NM_017670
VEGFB,NM_001243733
PRDX5,NM_001358511
RASGRP2,NM_001098670
MAP4K2,NM_001307990
FAU,NM_001997
AP5B1,NM_138368
FIBP,NM_004214
CCDC85B,NM_006848
DRAP1,NM_006442
BANF1,NM_001143985
CTSF,NM_003793
GSTP1,NM_000852
NDUFS8,NM_002496
MRPL21,NM_181512
SPCS2,NM_014752
RPS3,NM_001005
NDUFC2,NM_001204054
TMEM126A,NM_001244735
CWC15,NM_001363371
ENDOD1,NM_015036
TIMM8B,NM_012459
FXYD6,NM_001164831
ATP5MG,NM_006476
RPS25,NM_001028
THYN1,NM_001037304
MRPL51,NM_016497
GAPDH,NM_001256799
COPS7A,NM_001164093
USP5,NM_001098536
C12orf57,NM_001301834
GABARAPL1,NM_001363598
PDE3A,NM_000921
ASB8,NM_001319296
COX14,NM_001257133
DAZAP2,NM_001136264
PFDN5,NM_002624
ATP5MC2,NM_001002031
HNRNPA1,NM_002136
COPZ1,NM_001271734
BLOC1S1,NM_001487
CD63,NM_001040034
GDF11,NM_005811
RPS26,NM_001029
RPL41,NM_001035267
MYL6B,NM_001199629
MYL6,NM_021019
RNF41,NM_001242826
ATP5F1B,NM_001686
NACA,NM_001113201
DDIT3,NM_001195053
OS9,NM_001017956
TSPAN31,NM_001330168
GIHCG,NR_038269
CPSF6,NM_001300947
NDUFA12,NM_001258338
SNRPF,NM_001394209
SLC25A3,NM_002635
HELLPAR,NA
TDG,NM_001008411
APPL2,NM_001251904
ARPC3,NM_001278556
ACAD10,NM_001136538
RPL6,NM_000970
COX6A1,NM_004373
SRSF9,NM_003769
RSRC2,NM_023012
SNRNP35,NM_007020
TMED2,NM_001321445
EIF2B1,NM_001414
MRPL57,NM_024026
TNFRSF19,NM_001204458
RPL21,NM_000982
POMP,NM_015932
RFXAP,NM_000538
NAA16,NM_001110798
SERP2,NM_001010897
TPT1,NM_001286272
SETDB2,NM_001160308
PCDH20,NM_022843
COMMD6,NM_001287392
APEX1,NM_001244249
RBM23,NM_001077351
HAUS4,NM_001166269
PSMB5,NM_001130725
DCAF11,NM_001163484
CHMP4A,NM_014169
MDP1,NM_001199821
NEDD8,NM_006156
GMPR2,NM_001002000
TINF2,NM_001099274
COCH,NM_001135058
NPAS3,NM_001164749
RPS29,NM_001030001
RPL36AL,NM_001001
CHURC1,NM_001204063
EIF2S1,NM_004094
ERH,NM_004450
RBM25,NM_021239
SLIRP,NM_001267863
PSMC1,NM_001330212
NDUFB1,NM_004545
IFI27L2,NM_032036
HSP90AA1,NM_001017963
CKB,NM_001362531
COA8,NM_001302652
ATP5MPL,NA
TDRD9,NM_153046
BTBD6,NM_001387567
SCG5,NM_001144757
EMC7,NM_020154
SRP14,NM_001309434
CHP1,NM_007236
SERF2,NM_001018108
MFAP1,NM_005926
FRMD5,NM_001286490
EIF3J-DT,NR_034170
BLOC1S6,NM_001311255
SCG3,NM_001165257
TCF12,NM_001306219
RPS27L,NM_015920
PPIB,NM_000942
HACD3,NM_001411136
SNAPC5,NM_001329613
RPLP1,NM_001003
DRAIC,NR_026979
LARP6,NM_001286679
PKM,NM_001206796
CPLX3,NM_001030005
COX5A,NM_004255
RPP25,NM_017793
SCAMP5,NM_001178111
SNUPN,NM_001042581
SCAPER,NM_001145923
IDH3A,NM_005530
KLHL25,NM_022480
MRPL46,NM_022163
HDDC3,NM_001286451
VPS33B,NM_001289148
MPG,NM_001015052
ARHGDIG,NM_001176
MCRIP2,NM_001331229
ANTKMT,NM_001271285
TSR3,NM_001001410
NME3,NM_002513
MRPS34,NM_001300900
SPSB3,NM_001324081
NDUFB10,NM_004548
RPS2,NM_002952
GFER,NM_005262
ECI1,NM_001178029
ELOB,NM_007108
PAM16,NM_016069
DEXI,NM_014015
NOMO1,NM_014287
RPS15A,NM_001019
LYRM1,NM_001128301
NDUFAB1,NM_005003
SPNS1,NM_001142448
SEZ6L2,NM_001114099
TMEM219,NM_001083613
ZNF48,NM_001214906
DCTPP1,NM_024096
STX4,NM_001272095
BCKDK,NM_001122957
VPS35,NM_018206
AKTIP,NM_001012398
FAM192A,NA
CDH11,NM_001308392
CES2,NM_001365405
NOL3,NM_001185057
TMEM208,NM_001318217
ATP6V0D1,NM_004691
PARD6A,NM_001037281
PSMB10,NM_002801
VPS4A,NM_013245
AARS,NA
ADAT1,NM_001324444
NECAB2,NM_001329748
COX4I1,NM_001318786
TRAPPC2L,NM_001318524
RPL13,NM_000977
SPATA33,NM_001271907
YWHAE,NM_006761
PRPF8,NM_006445
EMC6,NM_001014764
MED11,NM_001001683
PSMB6,NM_001270481
SPAG7,NM_004890
WSCD1,NM_001388405
TXNDC17,NM_032731
RNASEK,NM_001004333
GPS2,NM_004489
TMEM256,NM_152766
SOX15,NM_006942
SAT2,NM_001320845
ATP1B2,NM_001303263
NAA38,NM_001320924
RPL26,NM_000987
NDEL1,NM_001025579
CENPV,NM_181716
UBB,NM_001281716
SNHG29,NM_152350
MIEF2,NM_001144900
ALDOC,NM_005165
RPL23A,NM_000984
OMG,NM_002544
RPL23,NM_000978
RPL19,NM_000981
EIF1,NM_005801
TUBG2,NM_001320509
COA3,NM_001040431
RUNDC1,NM_001321381
RPL27,NM_000988
RND2,NM_005440
DUSP3,NM_004090
ATP5MC1,NM_001002027
SLC35B1,NM_001278784
NME1,NM_000269
NME2,NM_001018137
MRPS23,NM_016070
PPM1E,NM_014906
CLTC,NM_001288653
PSMC5,NM_001199163
CEP112,NM_001037325
WIPI1,NM_001320772
SSTR2,NM_001050
RPL38,NM_000999
ATP5PD,NM_001003785
SUMO2,NM_001005849
H3F3B,NA
WBP2,NM_001330499
OXLD1,NM_001039842
ANAPC11,NM_001002244
CENPX,NM_001271006
MPPE1,NM_001242904
ATP5F1A,NM_001001935
C18orf32,NM_001035005
RPL17,NM_000985
CNDP2,NM_001168499
ZNF516,NM_014643
TPGS1,NM_033513
GPX4,NM_001039847
ATP5F1D,NM_001001975
RPS15,NM_001018
UQCR11,NM_006830
OAZ1,NM_001301020
LSM7,NM_016199
TIMM13,NM_012458
DIRAS1,NM_145173
DOHH,NM_001145165
RPL36,NM_015414
MICOS13,NM_001308240
NDUFA11,NM_001193375
RFX2,NM_000635
PET100,NM_001171155
TRAPPC5,NM_001042461
NDUFA7,NM_005001
RPS28,NM_001031
UBL5,NM_001048241
PIN1,NM_006221
FDX2,NM_001031734
ATG4D,NM_001281504
ILF3-DT,NM_203300
TRIR,NM_001329738
GADD45GIP1,NM_052850
NDUFB7,NM_004146
USE1,NM_018467
RPL18A,NM_000980
LSM4,NM_001252129
UBA52,NM_001033930
REX1BD,NM_001100418
NDUFA13,NM_015965
UQCRFS1,NM_006003
POP4,NM_006627
PDCD5,NM_004708
ZNF302,NM_001012320
SCN1B,NM_001037
TMEM147,NM_001242597
COX6B1,NM_001863
U2AF1L4,NM_001040425
POLR2I,NM_006233
COX7A1,NM_001864
RPS16,NM_001020
TTC9B,NM_152479
BLVRB,NM_000713
RAB4B,NM_016154
RPS19,NM_001022
